"MRs_TFs"	"n_tissues"	"tissues"
"1"	"AATF"	2	"PG_msbb;STG_msbb"
"2"	"ADA2"	2	"cerebellum_mayo;PG_msbb"
"3"	"ADCYAP1"	7	"DLPC_rosmap;FP_msbb;IFG_msbb;PCC_rosmap;PG_msbb;STG_msbb;TC_mayo"
"4"	"AFF1"	1	"PG_msbb"
"5"	"AR"	2	"IFG_msbb;PG_msbb"
"6"	"ARNT2"	1	"cerebellum_mayo"
"7"	"ASCL1"	2	"cerebellum_mayo;HCN_rosmap"
"8"	"ASH2L"	2	"cerebellum_mayo;IFG_msbb"
"9"	"ATF3"	1	"PG_msbb"
"10"	"ATF7"	1	"PG_msbb"
"11"	"BACH1"	1	"PG_msbb"
"12"	"BARD1"	1	"PG_msbb"
"13"	"BATF"	1	"HCN_rosmap"
"14"	"BBX"	1	"PG_msbb"
"15"	"BCL11A"	1	"PG_msbb"
"16"	"BCL11B"	1	"PG_msbb"
"17"	"BCL3"	1	"PG_msbb"
"18"	"BCL6"	5	"cerebellum_mayo;DLPC_rosmap;PG_msbb;STG_msbb;TC_mayo"
"19"	"BCL6B"	2	"IFG_msbb;PCC_rosmap"
"20"	"BHLHE22"	1	"PG_msbb"
"21"	"BHLHE41"	2	"PG_msbb;STG_msbb"
"22"	"BIN1"	1	"TC_mayo"
"23"	"BMI1"	1	"cerebellum_mayo"
"24"	"BMPR1A"	1	"TC_mayo"
"25"	"BRD9"	1	"TC_mayo"
"26"	"BTG2"	1	"cerebellum_mayo"
"27"	"BTN3A2"	1	"PG_msbb"
"28"	"BTN3A3"	1	"PG_msbb"
"29"	"CAT"	1	"TC_mayo"
"30"	"CAVIN1"	2	"PG_msbb;TC_mayo"
"31"	"CDK2"	1	"TC_mayo"
"32"	"CDK9"	1	"cerebellum_mayo"
"33"	"CEBPA"	1	"PG_msbb"
"34"	"CEBPB"	1	"PG_msbb"
"35"	"CEBPD"	2	"PG_msbb;TC_mayo"
"36"	"CEBPG"	1	"TC_mayo"
"37"	"CHAF1B"	2	"cerebellum_mayo;PG_msbb"
"38"	"CHD4"	1	"PG_msbb"
"39"	"CHD7"	1	"PG_msbb"
"40"	"CIITA"	1	"PG_msbb"
"41"	"CRABP2"	1	"TC_mayo"
"42"	"CREB3L1"	1	"TC_mayo"
"43"	"CREB3L2"	2	"PG_msbb;TC_mayo"
"44"	"CREB3L4"	1	"cerebellum_mayo"
"45"	"CREB5"	1	"TC_mayo"
"46"	"CRTC1"	1	"HCN_rosmap"
"47"	"CRY1"	1	"cerebellum_mayo"
"48"	"CSNK2A1"	2	"FP_msbb;TC_mayo"
"49"	"CTBP2"	1	"IFG_msbb"
"50"	"DAXX"	2	"FP_msbb;STG_msbb"
"51"	"DDB2"	1	"PG_msbb"
"52"	"DIDO1"	1	"cerebellum_mayo"
"53"	"DLX1"	3	"IFG_msbb;PG_msbb;TC_mayo"
"54"	"DLX6"	1	"TC_mayo"
"55"	"DMC1"	1	"cerebellum_mayo"
"56"	"E2F1"	1	"cerebellum_mayo"
"57"	"E2F3"	1	"PG_msbb"
"58"	"EAF1"	1	"IFG_msbb"
"59"	"EBF1"	4	"cerebellum_mayo;IFG_msbb;PG_msbb;TC_mayo"
"60"	"EBNA1BP2"	2	"IFG_msbb;PG_msbb"
"61"	"EGF"	2	"PG_msbb;TC_mayo"
"62"	"EGFR"	1	"TC_mayo"
"63"	"EGR1"	1	"TC_mayo"
"64"	"EGR3"	2	"IFG_msbb;PG_msbb"
"65"	"EGR4"	3	"cerebellum_mayo;FP_msbb;IFG_msbb"
"66"	"EHF"	2	"FP_msbb;PG_msbb"
"67"	"ELF1"	2	"PG_msbb;STG_msbb"
"68"	"ELF4"	2	"PG_msbb;TC_mayo"
"69"	"ELK1"	2	"cerebellum_mayo;DLPC_rosmap"
"70"	"ELK3"	1	"PG_msbb"
"71"	"EPAS1"	2	"PG_msbb;TC_mayo"
"72"	"ETS1"	3	"FP_msbb;PG_msbb;TC_mayo"
"73"	"ETV4"	2	"PCC_rosmap;TC_mayo"
"74"	"ETV5"	2	"FP_msbb;TC_mayo"
"75"	"F10"	1	"TC_mayo"
"76"	"FANCD2"	1	"cerebellum_mayo"
"77"	"FGFR1"	1	"PG_msbb"
"78"	"FHL2"	1	"PG_msbb"
"79"	"FLI1"	4	"IFG_msbb;PG_msbb;STG_msbb;TC_mayo"
"80"	"FLT1"	4	"IFG_msbb;PG_msbb;STG_msbb;TC_mayo"
"81"	"FOS"	1	"STG_msbb"
"82"	"FOXC1"	4	"cerebellum_mayo;IFG_msbb;PG_msbb;TC_mayo"
"83"	"FOXF1"	2	"PCC_rosmap;TC_mayo"
"84"	"FOXG1"	1	"TC_mayo"
"85"	"FOXJ1"	1	"PG_msbb"
"86"	"FOXN3"	1	"STG_msbb"
"87"	"FOXO4"	3	"cerebellum_mayo;DLPC_rosmap;PCC_rosmap"
"88"	"GABPB1"	1	"cerebellum_mayo"
"89"	"GABPB2"	1	"PG_msbb"
"90"	"GATA2"	2	"FP_msbb;TC_mayo"
"91"	"GATAD2A"	1	"PG_msbb"
"92"	"GLI1"	4	"DLPC_rosmap;HCN_rosmap;PCC_rosmap;TC_mayo"
"93"	"GLIS2"	1	"PG_msbb"
"94"	"GLIS3"	2	"PG_msbb;TC_mayo"
"95"	"GPIHBP1"	1	"TC_mayo"
"96"	"GRHL1"	1	"PG_msbb"
"97"	"GSPT2"	1	"IFG_msbb"
"98"	"GUCY1B1"	2	"IFG_msbb;PG_msbb"
"99"	"H2AZ1"	1	"cerebellum_mayo"
"100"	"HDAC1"	3	"IFG_msbb;PG_msbb;STG_msbb"
"101"	"HDAC11"	1	"TC_mayo"
"102"	"HDAC7"	2	"IFG_msbb;PG_msbb"
"103"	"HDGF"	2	"PG_msbb;TC_mayo"
"104"	"HEXIM1"	2	"cerebellum_mayo;HCN_rosmap"
"105"	"HIF3A"	2	"IFG_msbb;PG_msbb"
"106"	"HIPK2"	2	"PG_msbb;TC_mayo"
"107"	"HIRA"	1	"HCN_rosmap"
"108"	"HIVEP2"	1	"PG_msbb"
"109"	"HLF"	1	"PG_msbb"
"110"	"HMCES"	1	"PG_msbb"
"111"	"HMG20B"	1	"PG_msbb"
"112"	"HMGN1"	1	"cerebellum_mayo"
"113"	"HNRNPH1"	1	"STG_msbb"
"114"	"HOPX"	2	"PG_msbb;TC_mayo"
"115"	"HR"	1	"TC_mayo"
"116"	"HSD17B8"	1	"cerebellum_mayo"
"117"	"HTATIP2"	1	"PG_msbb"
"118"	"ICE1"	1	"STG_msbb"
"119"	"ID1"	2	"PG_msbb;TC_mayo"
"120"	"ID2"	1	"PG_msbb"
"121"	"ID3"	3	"PCC_rosmap;PG_msbb;TC_mayo"
"122"	"ID4"	1	"TC_mayo"
"123"	"IFI16"	1	"PG_msbb"
"124"	"IKBKB"	3	"cerebellum_mayo;IFG_msbb;PG_msbb"
"125"	"IKZF1"	2	"PG_msbb;STG_msbb"
"126"	"INSM2"	1	"PG_msbb"
"127"	"INSR"	1	"PG_msbb"
"128"	"INTS13"	1	"STG_msbb"
"129"	"IRF5"	3	"cerebellum_mayo;PG_msbb;STG_msbb"
"130"	"IRF7"	1	"PG_msbb"
"131"	"IRF8"	2	"PG_msbb;TC_mayo"
"132"	"IRX3"	1	"TC_mayo"
"133"	"JDP2"	1	"cerebellum_mayo"
"134"	"JMJD6"	3	"cerebellum_mayo;HCN_rosmap;PCC_rosmap"
"135"	"JUNB"	1	"PG_msbb"
"136"	"KAT6A"	1	"IFG_msbb"
"137"	"KAT7"	2	"PCC_rosmap;TC_mayo"
"138"	"KCNIP3"	1	"TC_mayo"
"139"	"KDM1A"	1	"PG_msbb"
"140"	"KDM5A"	1	"cerebellum_mayo"
"141"	"KLF15"	4	"IFG_msbb;PG_msbb;STG_msbb;TC_mayo"
"142"	"KLF2"	1	"TC_mayo"
"143"	"KLF5"	1	"TC_mayo"
"144"	"KLF8"	1	"PG_msbb"
"145"	"KLRG1"	2	"cerebellum_mayo;HCN_rosmap"
"146"	"KMT2C"	1	"IFG_msbb"
"147"	"LEF1"	2	"PG_msbb;TC_mayo"
"148"	"LIMD1"	1	"IFG_msbb"
"149"	"LMNA"	1	"PG_msbb"
"150"	"LMO3"	1	"PG_msbb"
"151"	"LMO4"	2	"IFG_msbb;PG_msbb"
"152"	"MAFB"	1	"PG_msbb"
"153"	"MAFF"	5	"cerebellum_mayo;DLPC_rosmap;HCN_rosmap;PCC_rosmap;PG_msbb"
"154"	"MAL"	2	"cerebellum_mayo;TC_mayo"
"155"	"MAML1"	1	"IFG_msbb"
