"tissue"	"MRs_TFs"	"Adjusted.Pvalue"	"n_regulon"	"gene_types"	"targets"	"n_overlap_PPI"	"overlap_genes_PPI"	"n_overlap_gwas"	"overlap_genes_gwas"
"1"	"cerebellum_mayo"	"ADA2"	1.9e-11	66	"6 antisense; 9 lincRNA; 1 processed_pseudogene; 2 processed_transcript; 38 protein_coding; 3 TEC; 5 transcribed_unprocessed_pseudogene; 1 unprocessed_pseudogene"	"ICA1;CFLAR;CTPS2;ATP1B3;CELSR1;DELE1;DHRS12;DNAJB6;HECA;MTR;PIGZ;KIAA0087;MRPS25;PSMC3IP;KRBA1;TMEM243;FAHD2B;PCYOX1L;CHEK1;PIH1D2;TYSND1;H4C8;H2AZ1;ENSG00000164845;TRANK1;LRRC28;NHLH1;FAM86B3P;RPP38-DT;RCC1;H2AC6;ACBD4;LINC00173;SPMIP10;ZNF334;CFAP99;PRCD;ENSG00000214659;FASTKD5;TIGD1;ENSG00000223745;ENSG00000227719;ENSG00000228146;ENSG00000228274;ENSG00000230910;ENSG00000231584;PPP1R3E;ENSG00000236155;LINC01231;MRPS6;SEC24B-AS1;ENSG00000249679;GMDS-DT;ENSG00000253361;ENSG00000259448;LINC03034;SPMIP1;ENSG00000272983;ENSG00000273143;H2BC6;ENSG00000274356;LINC02033;ENSG00000280057;ENSG00000280157;ENSG00000281100;ENSG00000287895"	0	""	1	"ICA1"
"2"	"cerebellum_mayo"	"ARNT2"	0.03	110	"7 antisense; 8 lincRNA; 1 processed_pseudogene; 91 protein_coding; 1 TEC; 1 transcribed_processed_pseudogene"	"ARSD;CHDH;CC2D2A;ANKRD44;FGFR3;BCKDHB;SLCO1A2;USP40;RFFL;TIMP3;MTHFD1;BMP7;PXMP4;PCYT1B;TJP1;PCOLCE;C5;IQCG;GORASP1;TFCP2L1;ATP10B;GPR75;IFIT3;GPAM;CYREN;AMOT;ATP13A4;DCTD;SLC44A2;SESN2;MCCC2;DMGDH;LGR6;RSAD2;GGACT;IFI44L;PRDM5;SUOX;SLC13A5;MYH15;DAAM2;ARHGAP36;ERLIN2;TMEM218;ENKUR;MARVELD1;KCTD18;CPT2;PEX10;SCUBE1;PCYT1A;UBXN10;ERMAP;HEPACAM;CPSF2;HTRA1;ZMAT1;DPEP2;ACOX2;AXIN2;FAXDC2;TTLL6;PAQR8;DAG1;HEG1;IQCK;VSIG10;DHFR2;ZHX2;ENSG00000179277;CDC42EP4;PIPOX;ZNF572;DHTKD1;H2AC25;SHMT2;ARHGEF37;ACSM5;EMILIN3;RBM43;ZNF396;DIPK1C;COLCA1;NLGN3;IFT70B;SLC30A10;IPP;SLC2A10;IFT70A;TCTN1;LEPROT;LINC02418;B3GALT9;ANXA2R-AS1;DHRS4-AS1;LINC01819;LINC02777;ENSG00000238018;LINC00391;LINC01550;MGC16275;CTSO;FAM181A-AS1;LINC00639;CTXND1;ARNT2-DT;LOC105372703;ENSG00000278291;ENSG00000279400;LOC124909426"	3	"C5;HTRA1;TTLL6"	0	""
"3"	"cerebellum_mayo"	"ASCL1"	0.00048	89	"3 antisense; 7 lincRNA; 77 protein_coding"	"ARSF;FGFR3;GNB5;CLCN4;RFX2;SEC14L2;MLC1;BMP7;SNTA1;CST3;QPRT;SYT17;CTSH;DNASE2;POU6F2;TBC1D9;CD81;DAO;MAPKAPK3;SMG7;PRDX6;GPAM;DNAI1;SSPN;SDC4;TST;PPP1R1B;MMD2;ABHD17C;FHDC1;RLBP1;SLC13A5;APP;SELENBP1;ST6GAL2;AFF3;PDGFC;SLC18B1;PMP2;APCDD1;RNF111;GAREM2;ALDH4A1;SDC3;KCNJ3;BDH2;ETNPPL;LMTK2;NSMF;HTRA1;GABRB3;LDHD;PLIN1;ACAA2;TTYH1;ENHO;MN1;YWHAG;GPR37L1;SPATA24;PAH;CERS6;PURG;FBXO45;ENSG00000174680;PHYHD1;FIBIN;GRAMD1C;SNORC;SLC25A18;SOX1;EMILIN3;SLC38A3;COLCA1;SLC2A10;NRARP;SMOC1;LOH12CR2;SOX21-AS1;LINC00595;LOC102724768;HOGA1;CTB-1I21.1;TRIL;ENSG00000257703;ENSG00000267014;ENSG00000267714;LOC105376387;ENSG00000287620"	1	"HTRA1"	1	"CTSH"
"4"	"cerebellum_mayo"	"ASH2L"	1.2e-08	149	"13 antisense; 17 lincRNA; 3 processed_pseudogene; 104 protein_coding; 3 sense_intronic; 1 sense_overlapping; 3 TEC"	"ZMYND10;P4HA2;CELSR1;PALB2;NFX1;C3orf18;TINF2;HSD3B7;TTLL1;APEX1;IFT52;PARD6A;PDGFRL;PLOD3;CRYAB;DCPS;RARS1;SPR;MRPL37;AKR1A1;KHDRBS1;RNF114;ZC4H2;ADORA2A;MBD4;CCDC62;MPP1;AOC2;DNAJB1;IMMT;LANCL2;RTF1;OIT3;SYCP3;JDP2;TLE3;ADCY10;PI4KB;MRPS5;TMEM177;CCNA2;PNLDC1;GCNA;GNRH1;HERC4;CCDC81;SERPINH1;PAK1;PIH1D2;PLEKHG4B;RMND1;RWDD2B;ZNF689;SLC34A2;TMED4;TOMM40L;FAM131B;CILP2;KLHL21;RFTN2;BNIPL;BOLA3;TMEM169;UBLCP1;TRA2A;HPS6;VPS39;ENGASE;SPRYD3;CDK2AP2;PDHB;ADRA1D;CES2;RELA;RNF26;TNFRSF10D;CCDC13-AS1;XXYLT1;TCAP;SNX31;SNAPC5;TMEM81;RPP38-DT;MAGED1;H2AC6;LSMEM1;TRAPPC5;COPG1;PRKAG1;DCAF4L1;PSMG1;ZNF530;FOXO4;CEND1;NUDT17;MPHOSPH8;ASB13;PDGFA;HIBCH;HSPA1A;HSPA1L;CFAP96;RPL17P50;C17orf67;ENSG00000223749;ENSG00000228113;ENSG00000228862;ENSG00000229512;EHBP1-AS1;LINC-PINT;ENSG00000236255;CSP2;MRPS6;ENSG00000245156;ENSG00000250410;LOC100420020;ENSG00000255384;ENSG00000255389;ZNF878;ENSG00000258384;ENSG00000261168;LINC01003;ENSG00000261668;PCAT19;SPACA6-AS1;ENSG00000270178;ENSG00000270426;ENSG00000271659;LOC105375022;ENSG00000272597;ENSG00000272744;ENSG00000272865;ENSG00000273113;ZBTB8B;ENSG00000273373;ENSG00000274156;ENSG00000274184;ENSG00000276445;ENSG00000277020;ENSG00000277938;ENSG00000278012;ENSG00000279196;ENSG00000280047;ENSG00000280073;LOC105378644;ENSG00000286707;ENSG00000287338;ENSG00000287670;ENSG00000287965"	4	"CRYAB;ADORA2A;CEND1;HSPA1A"	0	""
"5"	"cerebellum_mayo"	"BCL6"	0.00042	42	"4 antisense; 4 lincRNA; 1 processed_pseudogene; 1 processed_transcript; 27 protein_coding; 1 sense_intronic; 1 TEC; 1 unprocessed_pseudogene"	"MBTPS2;TFE3;C3orf18;HSD3B7;MTCH2;PHF13;CCDC62;AOC3;AOC2;PIWIL4;PHF21A;COQ10A;GATAD2B;MINDY3;PIH1D2;SPEF2;CD8A;RBM45;GPD1;ENTPD3;CCDC13-AS1;TRAM1L1;IST1;MIXL1;SOWAHA;ENSG00000205740;ACKR1;PRCD;STARD10;PDYN-AS1;ENSG00000236255;A2M-AS1;ENSG00000246100;ENSG00000253772;ENSG00000258384;ENSG00000260664;ENSG00000260743;ENSG00000261572;ENSG00000274356;ENSG00000279196;ENSG00000285973;ENSG00000287710"	0	""	0	""
"6"	"cerebellum_mayo"	"BMI1"	0.0077	51	"2 antisense; 42 protein_coding; 2 TEC; 2 transcribed_unprocessed_pseudogene; 1 unprocessed_pseudogene"	"CRY1;SLC6A7;EED;SLC35C2;PAPOLA;GTPBP1;TAB1;DHRS12;OGDH;WASL;FBXO5;HECA;VIPR1;RAP1A;SMNDC1;PDS5A;FBXL12;FPGS;PPM1B;WDR93;CYP39A1;PSKH1;ASB16;CGGBP1;RYBP;PGRMC2;GKAP1;POLL;PLD4;COQ4;FAAP100;MOSMO;HPDL;SLX4;ZNF420;SLC9A8;SFI1;SLC5A3;NAGA;CCDC188;ENSG00000237438;HOGA1;ZNF710-AS1;ASB16-AS1;ENSG00000270441;SPMIP1;ENSG00000277072;ENSG00000279422;ENSG00000280332;ENSG00000285928;ENSG00000286977"	0	""	0	""
"7"	"cerebellum_mayo"	"BTG2"	0.006	49	"2 antisense; 3 lincRNA; 3 processed_pseudogene; 1 processed_transcript; 35 protein_coding; 2 transcribed_unprocessed_pseudogene; 1 unitary_pseudogene"	"SYT13;SERPINB1;JADE2;MAP2K4;DHRS12;UNC119;LMNB1;CNNM1;SLC25A51;NDUFAF4;ARMCX5;SCO1;CCNH;KLRG1;C1orf216;CREB3L4;RSPO3;FAM135B;SRP19;HTR5A;SLC25A45;DUSP19;CAVIN4;CTPS1;FAM86B3P;CEP19;ZNF613;WBP2NL;BRI3BP;ZNF284;CEP43;ENSG00000213839;LYRM4;PARLP2;NPTXR;TIGD1;IL6ST-DT;ENSG00000230929;ENSG00000233622;PEDS1;OXCT1-AS1;ENSG00000249896;ENSG00000258472;ZNF710-AS1;ENSG00000271978;ENSG00000277831;LINC00294;ENSG00000286606;ENSG00000287527"	0	""	0	""
"8"	"cerebellum_mayo"	"CDK9"	2.4e-07	53	"2 antisense; 1 lincRNA; 3 processed_pseudogene; 43 protein_coding; 1 sense_overlapping; 2 transcribed_unprocessed_pseudogene"	"REX1BD;SPATA20;ZNF76;PAPOLA;SLC22A17;RNF215;ARSA;WDR13;CCDC22;GABPB1;POLD2;BAG2;SLC29A1;ACTR1B;STK25;ZBTB1;TMEM175;CHTF18;MAN2C1;KATNB1;SCRN2;SH3GLB2;UBXN11;H2BC5;H4C8;CORO6;GPS1;CAVIN4;TDRD12;ALS2CL;H2AC6;ENSG00000182841;UPP1;NRBP2;NOXA1;SPMIP10;GPAA1;H2BC18;C2orf72;FASTKD5;H2BC19P;SOCS5P4;ENSG00000228146;LOC105370670;NAA80;EXTL3-AS1;ENSG00000248159;ENSG00000256925;SLC22A31;H2BC20P;H2BC8;H2BC6;ENSG00000284959"	1	"SLC22A17"	0	""
"9"	"cerebellum_mayo"	"CHAF1B"	3.7e-11	114	"4 antisense; 7 lincRNA; 4 processed_pseudogene; 92 protein_coding; 1 snRNA; 1 TEC; 2 transcribed_unprocessed_pseudogene"	"CRY1;SAMD4A;HSPA5;PACC1;ATP1B3;JMJD6;SNCB;TIMM21;HSP90AA1;EXD2;XPO1;ZMPSTE24;TTC39A;DNAJA1;PAPOLA;P3H2;CDC6;JADE3;POLD2;SGCA;CHORDC1;CDK2AP1;FZD10;BAG2;HECA;MOB1A;NFE2L2;SPR;CRYZ;PDS5A;P4HA1;ORMDL2;RAB9A;KCNS1;GDAP1L1;ENSG00000124593;ZBTB1;ADORA2A;MYO5C;TMEM160;SLC38A2;TMEM243;GDF11;CCDC102A;ACTL6A;CMTR1;GAS2L3;FAM222A;RUSF1;ARK2C;POGK;PDIA6;CORIN;CCNA2;HERC4;FAM151B;RASSF3;ANKRD40;PDIA4;TYSND1;ABHD3;H2BC5;H4C8;PRMT2;RFTN2;RYBP;KIF15;STXBP4;WDR88;ATP6V0E2;TMCC1;CEP19;TRIM72;ADORA2A-AS1;ZNF664;LINC00652;SOCS4;ZNF571;H2AC6;H2BC4;ANKRD37;HEXIM1;PTMA;PCDH18;ZKSCAN5;MAFG;ODAD3;SLC5A3;SYS1;HSPA1L;ENSG00000205959;ENSG00000213839;LTB4R;ENSG00000224411;ENSG00000227455;ENSG00000232611;ENSG00000236155;MRPS6;ENSG00000249896;RNU6-415P;MEX3A;SALL3;PSMA3-AS1;ENSG00000260743;CEDORA;ENSG00000262333;ENSG00000267192;ENSG00000267264;ENSG00000274156;ENSG00000279207;LINC02033;ENSG00000286602;ENSG00000286736;ENSG00000286872"	3	"SNCB;DNAJA1;ADORA2A"	0	""
"10"	"cerebellum_mayo"	"CREB3L4"	1.7e-05	136	"23 antisense; 18 lincRNA; 4 processed_pseudogene; 4 processed_transcript; 71 protein_coding; 1 sense_intronic; 1 TEC; 1 transcribed_unitary_pseudogene; 2 transcribed_unprocessed_pseudogene; 1 unitary_pseudogene; 1 unprocessed_pseudogene"	"AK2;REXO5;CDKL3;MED29;MAP2K4;ATP1B3;JMJD6;ACAP1;TULP3;WDR76;POLE2;PCK2;MROH8;RBM3;PYCR3;PIGL;ACAD10;CDK2AP1;ACRBP;RNF8;HEMK1;GLS;NDP;TRIM45;KCNMB4;MYCBPAP;PTGR2;RUSF1;C1orf216;POGK;C1orf131;GINS4;VIPAS39;ZNF18;PABIR3;NODAL;NLRX1;SLC25A45;ITIH3;KCNJ3;RNF149;POLL;WDR88;ENSG00000167747;TTC21A;STIP1;CAVIN4;FAM86B3P;SLC16A11;ZNF843;LY6S-AS1;ALOXE3;ZNF664;WBP2NL;KNTC1;BRI3BP;TARS3;CXorf38;ENSG00000188662;RHCE;TMEM116;SLC5A3;LOC100130587;ODAD4;TMEM231;C17orf107;ENSG00000205740;LTB4R;PARLP2;HTR5A-AS1;ENSG00000221883;TIGD1;DNAJC27-AS1;ENSG00000224647;PCOLCE-AS1;LENG8-AS1;LOC100505774;BSN-DT;IL6ST-DT;LINC01736;ENSG00000228274;C2orf92;ZFAND2A-DT;FBXW11P1;ENSG00000230929;LOC124904553;ENSG00000233850;EIF2AK3-DT;ENSG00000234585;PPP1R3E;HIPK1-AS1;PAXBP1-AS1;ALKBH6;ENSG00000241014;MRPS6;ENSG00000247373;ENSG00000248671;ENSG00000249679;XNDC1N;ENSG00000254533;TMPO-AS1;ENSG00000257556;LINC02395;ZNF710-AS1;ZNF778-DT;CCDC187;ENSG00000260285;OTULIN-DT;DKFZP434A062;ENSG00000262333;ENSG00000262468;ENSG00000266677;ENSG00000269054;ENSG00000269514;ENSG00000270441;IRF2-DT;ENSG00000271780;ENSG00000272983;CNNM3-DT;ENSG00000273329;ENSG00000273888;ENSG00000274220;ENSG00000275898;ENSG00000276517;LINC02033;ENSG00000280157;LINC01144;ENSG00000285796;ENSG00000286138;ENSG00000286606;ENSG00000286736;ENSG00000286788;ENSG00000286872;ENSG00000287726;ENSG00000287808;ENSG00000288066"	0	""	0	""
