"TF"	"n_tissues"	"tissues"
"1"	"AATF"	9	"cerebellum_mayo_all;DLPC_rosmap_all;FP_msbb_all;HCN_rosmap_all;IFG_msbb_all;PCC_rosmap_all;PG_msbb_all;STG_msbb_all;TC_mayo_all"
"2"	"ABL1"	9	"cerebellum_mayo_all;DLPC_rosmap_all;FP_msbb_all;HCN_rosmap_all;IFG_msbb_all;PCC_rosmap_all;PG_msbb_all;STG_msbb_all;TC_mayo_all"
"3"	"ADA2"	9	"cerebellum_mayo_all;DLPC_rosmap_all;FP_msbb_all;HCN_rosmap_all;IFG_msbb_all;PCC_rosmap_all;PG_msbb_all;STG_msbb_all;TC_mayo_all"
"4"	"ADCYAP1"	9	"cerebellum_mayo_all;DLPC_rosmap_all;FP_msbb_all;HCN_rosmap_all;IFG_msbb_all;PCC_rosmap_all;PG_msbb_all;STG_msbb_all;TC_mayo_all"
"5"	"ADNP"	10	"cerebellum_mayo_all;DLPC_rosmap_all;FP_msbb_all;HCN_rosmap_all;IFG_msbb_all;PC_msbb_all;PCC_rosmap_all;PG_msbb_all;STG_msbb_all;TC_mayo_all"
"6"	"AEBP2"	10	"cerebellum_mayo_all;DLPC_rosmap_all;FP_msbb_all;HCN_rosmap_all;IFG_msbb_all;PC_msbb_all;PCC_rosmap_all;PG_msbb_all;STG_msbb_all;TC_mayo_all"
"7"	"AFF1"	10	"cerebellum_mayo_all;DLPC_rosmap_all;FP_msbb_all;HCN_rosmap_all;IFG_msbb_all;PC_msbb_all;PCC_rosmap_all;PG_msbb_all;STG_msbb_all;TC_mayo_all"
"8"	"AFF4"	9	"cerebellum_mayo_all;DLPC_rosmap_all;FP_msbb_all;HCN_rosmap_all;IFG_msbb_all;PCC_rosmap_all;PG_msbb_all;STG_msbb_all;TC_mayo_all"
"9"	"AGO1"	10	"cerebellum_mayo_all;DLPC_rosmap_all;FP_msbb_all;HCN_rosmap_all;IFG_msbb_all;PC_msbb_all;PCC_rosmap_all;PG_msbb_all;STG_msbb_all;TC_mayo_all"
"10"	"AGO2"	10	"cerebellum_mayo_all;DLPC_rosmap_all;FP_msbb_all;HCN_rosmap_all;IFG_msbb_all;PC_msbb_all;PCC_rosmap_all;PG_msbb_all;STG_msbb_all;TC_mayo_all"
