"tf"	"target"	"mode"	"tissue"
"1"	"ZNF263"	"NOP16"	0.409301361484578	"cerebellum"
"2"	"ZNF263"	"RNF4"	0.217678071019961	"cerebellum"
"3"	"ZNF263"	"RBM22"	0.200611160366069	"cerebellum"
"4"	"ZNF263"	"JOSD1"	0.266898825200273	"cerebellum"
"5"	"ZNF263"	"POLDIP3"	0.378852286790488	"cerebellum"
"6"	"ZNF263"	"SPATA1"	-0.252260410922216	"cerebellum"
"7"	"ZNF263"	"PDE11A"	-0.203930903938762	"cerebellum"
"8"	"ZNF263"	"ARHGAP22"	-0.172592949193833	"cerebellum"
"9"	"ZNF263"	"WDR74"	0.269855308325861	"cerebellum"
"10"	"ZNF263"	"EIF2B5"	0.236965632649256	"cerebellum"
"11"	"ZNF263"	"SSRP1"	0.31994300630694	"cerebellum"
"12"	"ZNF263"	"YTHDF1"	0.294410805565833	"cerebellum"
"13"	"ZNF263"	"WHAMM"	0.350664948055861	"cerebellum"
"14"	"ZNF263"	"DEDD2"	0.421496947738192	"cerebellum"
"15"	"ZNF263"	"SQSTM1"	0.342522567707743	"cerebellum"
"16"	"ZNF263"	"IER5"	0.281873703485522	"cerebellum"
"17"	"ZNF263"	"CDC25A"	0.188960118444109	"cerebellum"
"18"	"ZNF263"	"ZBTB5"	0.356415953612134	"cerebellum"
"19"	"ZNF263"	"ZBTB2"	0.410549621925743	"cerebellum"
"20"	"ZNF263"	"FAM43A"	0.330326087949122	"cerebellum"
"21"	"ZNF263"	"ZNF461"	0.226732380686939	"cerebellum"
"22"	"ZNF263"	"COX3"	-0.323849275780983	"cerebellum"
"23"	"ZNF263"	"C6orf163"	-0.185356922912726	"cerebellum"
"24"	"ZNF263"	"SLC2A1-DT"	-0.213142922617942	"cerebellum"
"25"	"ZNF263"	"LINC01797"	-0.28090250065343	"cerebellum"
"26"	"ZNF263"	"ENSG00000271778"	-0.240934951833414	"cerebellum"
"27"	"ZNF263"	"ENSG00000272129"	-0.319580686688523	"cerebellum"
