tf,tissue,regulon_size
RCOR2,DLPC,86
ELK1,DLPC,16
ZNF300,DLPC,32
GLI1,DLPC,22
NFKBIA,DLPC,20
FOXO4,DLPC,53
UHRF1,DLPC,18
TEAD2,DLPC,55
ADCYAP1,DLPC,110
NHLH2,DLPC,61
BCL6,DLPC,27
MAFF,DLPC,26
MXI1,DLPC,34
ZNF554,DLPC,94
TP53BP1,FP,98
NF1,FP,98
DAXX,FP,25
ETS1,FP,30
EHF,FP,53
ETV5,FP,56
NR2C2,FP,96
PURA,FP,67
CSNK2A1,FP,56
MLLT1,FP,70
EGR4,FP,64
ADCYAP1,FP,76
GATA2,FP,63
ZNF248,FP,163
BATF,HCN,61
GLI1,HCN,64
CRTC1,HCN,55
TFCP2,HCN,34
ZFP36,HCN,27
YBX3,HCN,53
JMJD6,HCN,71
ASCL1,HCN,26
HEXIM1,HCN,60
KLRG1,HCN,22
HIRA,HCN,38
ZNF740,HCN,49
SIX4,HCN,23
ZNF837,HCN,108
XBP1,HCN,66
TEAD2,HCN,31
SPDEF,HCN,36
MAFF,HCN,32
TCF7,IFG,349
SIX1,IFG,15
EBF1,IFG,27
MAP2K1,IFG,545
BCL6B,IFG,18
HDAC7,IFG,428
TBX3,IFG,25
GSPT2,IFG,274
RBFOX2,IFG,578
LIMD1,IFG,131
ASH2L,IFG,89
RXRA,IFG,227
TEAD2,IFG,27
FLT1,IFG,40
ZBTB20,IFG,77
PHF2,IFG,159
IKBKB,IFG,308
RELA,IFG,50
MAML1,IFG,394
TAF4,IFG,171
KLF15,IFG,57
WIZ,IFG,192
TBL1X,IFG,88
DLX1,IFG,106
ZFHX3,IFG,168
RFX2,IFG,56
FOXC1,IFG,48
KAT6A,IFG,51
MEF2C,IFG,555
KMT2C,IFG,208
HDAC1,IFG,68
EGR3,IFG,85
ZNF394,IFG,74
ADCYAP1,IFG,89
SOX13,IFG,207
STAT4,IFG,159
AR,IFG,35
TCF3,IFG,217
YAP1,IFG,73
LMO4,IFG,629
SALL3,IFG,55
HIF3A,IFG,139
CTBP2,IFG,55
RBM14,IFG,136
EAF1,IFG,153
FLI1,IFG,70
XRCC3,IFG,230
ZNF750,IFG,251
PPARGC1A,IFG,83
PAX7,IFG,118
MYH11,IFG,46
NFKBIZ,IFG,21
USP7,IFG,190
EBNA1BP2,IFG,513
