genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000263740	-2.02996888285217	7.28515952711945	68.6534815666673	1.17377298728602e-16	2.66305615355452e-12	RN7SL4P	royalblue
ENSG00000108691	0.267577222500708	2.65725197342079	57.6430966911101	3.14263978391748e-14	3.56501057087599e-10	CCL2	gold
ENSG00000073756	0.862938279501058	4.23707939340196	32.894019013593	9.73222253601039e-09	7.04296451907013e-05	PTGS2	gold
ENSG00000210082	2.24638392843068	12.7668859099289	31.5666685841156	1.92709077325649e-08	7.04296451907013e-05	NA	gold
ENSG00000236714	0.759868837487098	1.9310034539832	31.5022703203238	1.99207207862086e-08	7.04296451907013e-05	LINC01844	gold
ENSG00000105419	0.371229728497021	5.38241372514721	31.3093102994188	2.20021971790735e-08	7.04296451907013e-05	MEIS3	gold
ENSG00000080709	0.296648485545725	5.82796541388339	31.0917443019405	2.4611594444896e-08	7.04296451907013e-05	KCNN2	gold
ENSG00000211459	2.12126619653649	10.6228972381671	31.0742710043922	2.48341485157621e-08	7.04296451907013e-05	NA	gold
ENSG00000132541	0.315805039752323	5.40509056012776	29.7446099531107	4.92874766845179e-08	0.000119292008289697	RIDA	gold
ENSG00000112541	0.313507271853663	6.0327193678783	29.6192801401564	5.25793407482797e-08	0.000119292008289697	PDE10A	gold
ENSG00000224389	-0.634508935485659	3.38856226522545	29.176143747782	6.6087934697868e-08	0.000125979975175543	C4B	royalblue
ENSG00000165092	0.434341267112786	5.62033502055304	28.9943512222291	7.25896623096359e-08	0.000125979975175543	ALDH1A1	gold
ENSG00000223930	0.554796689494805	2.56166624961387	28.9482406439996	7.43383007099307e-08	0.000125979975175543	LOC105374235	gold
ENSG00000251442	-0.494216885601695	4.93063069168554	28.8391302804255	7.86460289436104e-08	0.000125979975175543	NA	royalblue
ENSG00000264862	-1.33000128638291	2.46607907859416	28.7280006186634	8.32907099626739e-08	0.000125979975175543	RN7SL45P	royalblue
ENSG00000275830	-0.660483814719752	2.53845568345793	28.2400991729318	1.07161365814108e-07	0.000151954816724406	NA	royalblue
ENSG00000187951	-1.53457252267594	2.20108942075668	27.6365420598785	1.4638699411018e-07	0.000195366360139515	LOC100288637	royalblue
ENSG00000285939	0.530936100459342	2.44640106174277	27.3934217611975	1.65994940859069e-07	0.000209227401011698	NA	gold
ENSG00000144057	0.251462263053433	5.92172429216084	25.8714609734845	3.6492474446376e-07	0.000409939837894036	ST6GAL2	gold
ENSG00000231185	0.534469906188202	2.37458469956668	25.8213941473469	3.74514150325261e-07	0.000409939837894036	SPRY4-AS1	gold
ENSG00000137501	0.206919651562945	7.71871843900253	25.7961729805156	3.79440082676955e-07	0.000409939837894036	SYTL2	gold
ENSG00000106078	-0.228732949236262	7.31162660456305	25.5909727852315	4.22009066809896e-07	0.00043520644126286	COBL	royalblue
ENSG00000147421	-0.191190630246119	6.53096846135278	25.0771242928773	5.50824450173779e-07	0.000543352396762726	HMBOX1	royalblue
ENSG00000165899	0.416893333007182	5.2313481522566	23.9750218005075	9.75936406886085e-07	0.000888017608935491	OTOGL	gold
