genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000146147	0.459812064888388	5.9564179077368	69.6402388911977	7.11700712427389e-17	1.58353408515094e-12	MLIP	gold
ENSG00000105419	0.514539847674755	5.85911702569028	65.4067902451064	6.09285991805081e-16	6.77830665883152e-12	MEIS3	gold
ENSG00000239932	-4.44084235487445	6.38425219790211	59.7876195551639	1.05665967020906e-14	7.83689255405052e-11	RN7SL606P	royalblue
ENSG00000210082	2.63460076269092	14.2462601337526	58.9480667752842	1.61888824094759e-14	9.00506584027096e-11	NA	gold
ENSG00000211459	2.3683361326471	12.4189151288146	55.7273422289266	8.32522861852786e-14	3.7047267352449e-10	NA	gold
ENSG00000167110	-1.86569240028666	7.57260757613521	55.3128490335751	1.02794441848794e-13	3.81196055189276e-10	GOLGA2	royalblue
ENSG00000135749	0.258992359078436	7.35269646172311	53.8574958693558	2.15571085670267e-13	6.85208093737636e-10	PCNX2	gold
ENSG00000080709	0.4021970911381	5.61295441956825	51.7829254148207	6.19885436196975e-13	1.72405636942284e-09	KCNN2	gold
ENSG00000137501	0.364113794932832	7.47448822774546	50.7974783696514	1.02405191986759e-12	2.53168391300599e-09	SYTL2	gold
ENSG00000079841	0.334731104934196	7.93826058407621	48.8561273263602	2.75443583793064e-12	6.12861973939568e-09	RIMS1	gold
ENSG00000128422	0.683161176390585	3.25595544674095	47.8760278821709	4.54039287591398e-12	9.18397649900782e-09	KRT17	gold
ENSG00000187672	0.343233815986751	7.20300106194653	47.2419375202828	6.27435356878759e-12	1.1633697242127e-08	ERC2	gold
ENSG00000179603	0.370992408707403	3.93105364628472	45.9071074162115	1.2399527616781e-11	2.11385975893655e-08	GRM8	gold
ENSG00000112320	0.188745156151214	6.34569654099747	45.769672042894	1.33006906180277e-11	2.11385975893655e-08	SOBP	gold
ENSG00000216863	0.376862448108777	4.89037707039662	45.226306319927	1.7553136600511e-11	2.60371526240914e-08	LY86-AS1	gold
ENSG00000131095	-0.622995688599747	13.0810997427481	44.0755803147339	3.15937925821979e-11	4.39351178096189e-08	GFAP	royalblue
ENSG00000251442	-0.660342824693631	4.89720259699714	42.1434202175884	8.48188494266383e-11	1.11012905867218e-07	NA	royalblue
ENSG00000223930	0.824115954120049	2.06535173891287	41.9517966888492	9.35513851375512e-11	1.15639906628362e-07	LOC105374235	gold
ENSG00000122877	1.39104201401439	2.115637261836	41.6650818759688	1.0832651232781e-10	1.26856047331251e-07	EGR2	gold
ENSG00000086717	0.803512151673966	2.69258494916413	41.4154651470257	1.23079813059227e-10	1.3692629202839e-07	PPEF1	gold
ENSG00000144057	0.304455997956474	5.789870919474	40.9375993026064	1.57168112276193e-10	1.66523357054538e-07	ST6GAL2	gold
ENSG00000224389	-0.798975199081957	3.89383935729945	40.7765039816229	1.70672869991084e-10	1.72612334422801e-07	C4B	royalblue
ENSG00000129654	-1.00537584279388	3.03532023796101	40.6522863038226	1.81874320457016e-10	1.75943636094287e-07	FOXJ1	royalblue
ENSG00000165899	0.491009958358515	4.33963529785721	40.4040101536515	2.06516788861148e-10	1.9145827300669e-07	OTOGL	gold
ENSG00000089123	0.319450503589009	4.20813452597115	40.2760811773931	2.20492020762092e-10	1.96237898478262e-07	TASP1	gold
ENSG00000137766	0.358301016427615	7.71856645855398	39.3453866186238	3.55090833863831e-10	3.03875809748856e-07	UNC13C	gold
ENSG00000198774	-1.17951809292124	2.06118909237953	38.8137036322461	4.66243186047245e-10	3.84218921835229e-07	RASSF9	royalblue
ENSG00000198576	0.926643974983405	4.14142487282875	38.6095958867583	5.17638004385601e-10	4.00728583112589e-07	ARC	gold
ENSG00000105519	-0.571598747139078	4.09942612264305	38.5921041136774	5.22297928551239e-10	4.00728583112589e-07	CAPS	royalblue
ENSG00000237720	0.334832957206365	5.08691202256648	38.2258983489363	6.30105537353157e-10	4.67328273536924e-07	LOC105373390	gold
ENSG00000279166	-0.396700144518848	4.08068518581116	37.9979677418658	7.08183583114612e-10	5.08293055622584e-07	NA	royalblue
