genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000237973	5.5684741317868	7.3767619581694	40.224083594275	2.26439437359436e-10	5.10847370682887e-06	MTCO1P12	gold
ENSG00000198938	4.32407206109906	14.0847324449235	31.6296288537871	1.86561356550665e-08	0.00021044121018915	COX3	gold
ENSG00000228253	4.23391863725392	6.3351863765795	29.6367204319443	5.21083898831816e-08	0.000391855091921525	ATP8	gold
ENSG00000198712	4.11306721830044	12.8013305315451	28.3167579844607	1.03000436558326e-07	0.00052104434897444	COX2	gold
ENSG00000248527	4.38475611387247	8.31411255764289	27.8218422445893	1.33015902321223e-07	0.00052104434897444	MTATP6P1	gold
ENSG00000198786	4.46709774630417	12.151207077494	27.7426229045292	1.38575624727245e-07	0.00052104434897444	ND5	gold
ENSG00000198727	4.44991891857886	12.2457920294168	27.182940999285	1.85084582383447e-07	0.000596501168367224	CYTB	gold
ENSG00000198886	4.28007652491451	12.3557635436413	26.1215159430511	3.20591622860144e-07	0.000888867600618366	ND4	gold
ENSG00000198804	3.96819728635535	15.2522771595553	25.9268555684853	3.54601436416902e-07	0.000888867600618366	COX1	gold
ENSG00000198840	3.84849079905576	10.9971233583552	25.2861455192823	4.94246108473796e-07	0.00111501922071688	ND3	gold
ENSG00000146122	1.86507786179738	7.92998255178216	24.2988901828845	8.24865746602123e-07	0.00169172465848581	DAAM2	gold
ENSG00000198763	4.1913484730273	10.7568861459521	23.9986304973595	9.64042478612114e-07	0.00172665858675049	ND2	gold
ENSG00000198899	4.20632831708588	11.297654461286	23.9023273316812	1.01349162404252e-06	0.00172665858675049	ATP6	gold
ENSG00000198695	4.08422000604341	8.6060790754566	23.7951736600994	1.07150798823169e-06	0.00172665858675049	ND6	gold
ENSG00000225630	4.25267622456741	6.93228191418619	23.4750359728487	1.26545163484619e-06	0.00190323925880866	MTND2P28	gold
ENSG00000212907	3.95634096764744	10.1885627766478	23.2472336494573	1.42455208188436e-06	0.00200861843545695	ND4L	gold
ENSG00000165424	2.1327925409149	7.98649985741829	22.8917717131085	1.71383940736923e-06	0.00218439762217236	ZCCHC24	gold
ENSG00000197971	2.08439176418533	11.6447086143687	22.8594857685064	1.74287044322263e-06	0.00218439762217236	MBP	gold
ENSG00000198888	4.03187892404984	11.1895129343714	22.0186238349472	2.70017675065158e-06	0.00320610460498419	ND1	gold
ENSG00000021300	1.6475336499107	8.7028820797326	21.1726900037118	4.19702661270662e-06	0.00473424601913307	PLEKHB1	gold
ENSG00000064393	2.03514231646613	10.4634826250084	19.7973882760859	8.61002441379557e-06	0.00893969811532286	HIPK2	gold
ENSG00000263934	4.85801779974012	6.73518105498612	19.7386210292637	8.87887664700362e-06	0.00893969811532286	NA	gold
ENSG00000176533	1.94612017478764	7.1991543112393	19.6886614233854	9.1140539296288e-06	0.00893969811532286	GNG7	gold
ENSG00000065809	1.59337847629883	6.39203746403672	19.0035336775842	1.30476596581816e-05	0.0122648000786907	FAM107B	gold
ENSG00000108381	1.32375314618859	5.75586663673401	18.9140994591598	1.36738318297221e-05	0.0123392658431412	ASPA	gold
ENSG00000071054	1.8221052690202	9.31909786123411	18.8224289816105	1.43470013343638e-05	0.0124487826962787	MAP4K4	gold
ENSG00000078804	2.13562418239467	7.1738416263978	18.7223355094777	1.51201012974087e-05	0.0126336846396126	TP53INP2	gold
ENSG00000064787	2.06743279543704	8.7912027801249	18.512632277143	1.68781926919422e-05	0.0135990009689363	BCAS1	gold
ENSG00000101265	1.46661795463907	7.68580954134947	18.1955542875703	1.99343612351657e-05	0.0155075582574254	RASSF2	gold
ENSG00000211448	1.95355459185324	6.69077521863542	18.032175038269	2.17202765135668e-05	0.0163336479382023	DIO2	gold
ENSG00000210196	3.51408567566045	7.91027583030032	17.7351816596109	2.53887408970068e-05	0.0184764514398862	NA	gold
ENSG00000119699	1.78820466403389	5.65351190243107	17.3095059886026	3.17594108965502e-05	0.0223903846820679	TGFB3	gold
ENSG00000129250	1.9008203354262	8.45731695037383	17.0527037986889	3.63565724962167e-05	0.0248546750155954	KIF1C	gold
ENSG00000160781	1.83967147208742	7.18181541863657	16.9579559184361	3.82168270928136e-05	0.0253579888004081	PAQR6	gold
ENSG00000126878	1.61395141659381	6.92938272570802	16.6537589145219	4.48613205935665e-05	0.0283329192617891	AIF1L	gold
ENSG00000166925	1.46317915935032	7.16603154485781	16.6389847523591	4.52121052049826e-05	0.0283329192617891	TSC22D4	gold
ENSG00000134824	1.3966065614385	7.02188148486505	16.3986008705195	5.13230993941911e-05	0.030711826592442	FADS2	gold
ENSG00000198517	1.99463475651365	5.4996688671035	16.3835992793919	5.173091358656e-05	0.030711826592442	MAFK	gold
ENSG00000114853	1.72099571042988	6.81876987284772	16.290736441825	5.43289003239927e-05	0.0314271792643404	ZBTB47	gold
ENSG00000165795	1.39187431435475	9.58863052662717	16.2310805237404	5.60666933373616e-05	0.0316216150422719	NDRG2	gold
ENSG00000161714	1.6102505415536	5.6785287351	16.0478548872436	6.17615559303428e-05	0.0339839195558179	PLCD3	gold
ENSG00000033327	1.42563549377008	7.04201838493283	15.8145323057201	6.98638503367197e-05	0.0375268681808666	GAB2	gold
ENSG00000187164	1.43613194713738	8.36498643194023	15.7033175190283	7.40940997243591e-05	0.0388735555763149	SHTN1	gold
ENSG00000204388	-1.76868639602486	5.19478904773182	15.418355779581	8.61474130797518e-05	0.0439185753773134	HSPA1B	royalblue
ENSG00000107902	1.32505474801674	4.83225299713597	15.3866823734178	8.76035413111305e-05	0.0439185753773134	LHPP	gold
ENSG00000184208	1.63562362014783	4.82416604158672	15.2645296229125	9.34550600597516e-05	0.0458336120640869	NA	gold
ENSG00000198121	1.82487900952128	7.93726410932494	15.1271609894955	0.000100506812161395	0.0482432698374698	LPAR1	gold
ENSG00000225614	1.81314212635092	5.15857303149838	15.0741925384673	0.000103366860528637	0.0485824244484594	ZNF469	gold
ENSG00000125817	1.82812339314766	6.63257469613078	14.9598111656179	0.000109825500686451	0.0499506482702799	CENPB	gold
ENSG00000113578	1.59428409519419	7.85627402406073	14.9447406759609	0.00011070622400328	0.0499506482702799	FGF1	gold
ENSG00000124374	1.68811396954755	8.17305970470696	14.729959245624	0.000124059218222276	0.0548779600606775	PAIP2B	black
ENSG00000184221	1.55675507489135	5.8751245898541	14.6702642306814	0.000128050548304569	0.0555542378798285	OLIG1	black
ENSG00000168314	1.75218608602596	8.96006392512354	14.597085473709	0.000133120270364792	0.0566640245175417	MOBP	black
ENSG00000166508	1.63029142823205	5.02262673350587	14.2417125403303	0.000160767189726615	0.066269077288579	MCM7	black
ENSG00000150760	1.59484588461466	7.40458280072889	14.2319161846102	0.000161606231810192	0.066269077288579	DOCK1	black
ENSG00000136205	1.60218291250478	8.12306116807534	14.1985444361105	0.000164497709581579	0.066269077288579	TNS3	black
ENSG00000264522	1.28526957498414	6.99755696352459	14.1603081627606	0.000167874784070532	0.0664430724321263	OTUD7B	black
ENSG00000167996	1.63692281301835	4.85857807125919	14.1091206738431	0.000172505304905145	0.0665965646006593	FTH1	black
ENSG00000132613	1.90966361642062	7.21396092467473	14.0910933265324	0.000174166547492859	0.0665965646006593	MTSS2	black
ENSG00000125503	1.5444237813216	6.6113565402429	13.9663121645907	0.00018611571889984	0.069170286553388	PPP1R12C	black
ENSG00000144040	1.46411966467721	7.82166050883079	13.9571036713701	0.000187029586868647	0.069170286553388	SFXN5	black
ENSG00000173511	1.45889093742952	5.33325122506761	13.8030647906904	0.000203004806928798	0.0727168685907113	VEGFB	black
ENSG00000161642	1.82996627444301	5.36869708756005	13.8025010950879	0.000203065723458103	0.0727168685907113	ZNF385A	black
ENSG00000182175	1.72591180637369	6.19241068177024	13.7519630519283	0.00020860270380977	0.0735324530929439	RGMA	black
ENSG00000154945	1.58911955835542	7.80101268195035	13.630179849748	0.000222578556437902	0.076384991716832	ANKRD40	black
ENSG00000184481	1.6358165573565	6.14541734117418	13.5956383945611	0.000226711655777832	0.076384991716832	FOXO4	black
ENSG00000183230	1.67231685428054	6.64802347706134	13.5944717795063	0.000226852590648393	0.076384991716832	CTNNA3	black
ENSG00000108387	1.34404907184838	7.69806246344845	13.5348917916832	0.000234168884413424	0.0776889710642183	SEPTIN4	black
ENSG00000236609	1.6064800197643	5.61132684851833	13.315123938281	0.000263273924022105	0.084749962655067	ZNF853	black
ENSG00000176485	1.14200732591287	6.60499427670057	13.2908748830451	0.000266700998868612	0.084749962655067	PLAAT3	black
ENSG00000149489	1.84899496244751	4.34429751500237	13.2907275576571	0.000266721956937489	0.084749962655067	ROM1	black
ENSG00000060237	1.29316021284348	9.51197636232178	13.1159940390024	0.000292785417907431	0.090525803020941	WNK1	black
ENSG00000271533	-1.53785532683409	5.24681425419461	13.0959975159837	0.000295927379232602	0.090525803020941	NA	black
ENSG00000163517	1.10250117860667	6.08447849172688	13.065997859886	0.000300704960860966	0.090525803020941	HDAC11	black
ENSG00000105357	1.39531867776897	5.88614226392137	13.0455697667062	0.00030400266126666	0.090525803020941	MYH14	black
ENSG00000168309	1.58607125883758	11.0092983550254	13.0396639546949	0.000304962811595369	0.090525803020941	FAM107A	black
ENSG00000136541	1.43023929077787	8.25090793963743	12.8765408701125	0.000332726662209681	0.0974845909019532	ERMN	black
ENSG00000140548	1.57526558688143	5.66676625016045	12.8158567262958	0.000343693992067336	0.0988605315506271	ZNF710	black
ENSG00000105088	1.55734819127098	6.28519150363932	12.802334230169	0.000346187145057604	0.0988605315506271	OLFM2	black
ENSG00000151208	1.25805479410769	5.96942247738364	12.7587394505001	0.000354349618717723	0.0999265924783979	DLG5	black
ENSG00000125844	1.00100545352591	6.2020091445776	12.6913930978171	0.000367342492226109	0.102311686723716	RRBP1	black
ENSG00000148143	1.08950407368892	6.71948997801052	12.6271013444189	0.00038019425771311	0.104599786024485	ZNF462	black
ENSG00000187239	1.01823571853192	6.95358521749836	12.592896907115	0.000387215511987505	0.104924995728625	FNBP1	black
ENSG00000141905	1.32989716165434	7.12389975762687	12.5762580169904	0.000390678175585308	0.104924995728625	NFIC	black
ENSG00000212232	-1.84033014578357	7.41667056492485	12.4908854742653	0.000408942314247818	0.10784490004878	SNORD17	black
ENSG00000196535	1.14518994080254	7.90793729497205	12.4810053844287	0.000411110877845527	0.10784490004878	MYO18A	black
ENSG00000275620	2.16382891877349	3.43030808381072	12.3920623497242	0.000431162778817863	0.11180496885208	FLJ16779	black
ENSG00000146966	1.40236717678994	5.585802386357	12.3624796214483	0.000438048513296308	0.112299709772326	DENND2A	black
ENSG00000167522	1.26204527761471	8.01795889147736	12.3141886211024	0.00044952807375649	0.113844679369232	ANKRD11	black
ENSG00000173473	1.29242926396708	6.80235077173854	12.2764571665043	0.000458708351436058	0.113844679369232	SMARCC1	black
ENSG00000245293	1.20702613539331	4.68609648087797	12.274401484979	0.000459213910576246	0.113844679369232	CYP2U1-AS1	black
ENSG00000169554	1.14580078584367	8.99125409970622	12.1918180827056	0.000479995792721344	0.116792327535922	ZEB2	black
