genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000251442	-1.23118826907068	5.77099580405559	103.280902401076	2.90843458003868e-24	6.57975155042151e-20	NA	royalblue
ENSG00000089169	1.07339261332633	6.07545417432638	99.8692270076808	1.6279921965853e-23	1.84150337316746e-19	RPH3A	gold
ENSG00000131095	-1.10115480877675	12.96841342867	87.805180662868	7.22295073726571e-21	5.04276944159285e-17	GFAP	royalblue
ENSG00000179603	0.543119282244566	4.18183814024313	87.3886247324425	8.91618165865332e-21	5.04276944159285e-17	GRM8	gold
ENSG00000223930	1.22796572828465	2.61009115504591	86.3471115541343	1.50968871080831e-20	6.83073754092327e-17	LOC105374235	gold
ENSG00000138193	-0.568860112656415	6.0314558565874	85.8582567711377	1.93306583580684e-20	7.2886247339097e-17	PLCE1	royalblue
ENSG00000134817	-1.32294253592291	6.62584464156669	84.70871415799	3.45723345643015e-20	1.04937114319758e-16	APLNR	royalblue
ENSG00000135678	-0.831096679871157	5.32960591449568	84.5687668199992	3.71081162780384e-20	1.04937114319758e-16	CPM	royalblue
ENSG00000168743	-1.00501944535569	4.00784587676584	81.6016245777469	1.66477239997241e-19	4.18468288939732e-16	NPNT	royalblue
ENSG00000104044	0.58048635476019	3.46193860640892	80.8671148654716	2.41417887051778e-19	5.46159685877237e-16	OCA2	gold
ENSG00000158270	-0.919673687158151	5.24815291103238	80.1383260216668	3.49095070498546e-19	7.1796161635351e-16	COLEC12	royalblue
ENSG00000131724	-0.729412960397575	5.67700329240112	79.4813734215909	4.86793076265001e-19	9.17726647028593e-16	IL13RA1	royalblue
ENSG00000111799	0.620571779345155	5.29392759450579	74.6167436847343	5.71563882208109e-18	9.86970408879032e-15	COL12A1	gold
ENSG00000147421	-0.404536133723948	6.78527126802311	74.4857484597963	6.10776012213519e-18	9.86970408879032e-15	HMBOX1	royalblue
ENSG00000111863	0.892453449288857	2.3975198623005	73.6270854981435	9.43609357627881e-18	1.42023078535836e-14	ADTRP	gold
ENSG00000177119	-0.587143832169718	6.14836803482279	73.5037512016447	1.00445089359209e-17	1.42023078535836e-14	ANO6	royalblue
ENSG00000182674	0.850715856760387	3.7434451653828	73.3456374846486	1.08822406962167e-17	1.44817018394418e-14	KCNB2	gold
ENSG00000018408	-1.05212205461917	6.01941563371569	72.7489974334236	1.4723300277918e-17	1.82113803737336e-14	WWTR1	royalblue
ENSG00000183196	-1.01288463750936	5.74242513324175	72.6738299686752	1.52948869336931e-17	1.82113803737336e-14	CHST6	royalblue
ENSG00000213064	-0.524805063907825	6.94982440977804	72.0114215440335	2.13955398589511e-17	2.42015649114525e-14	SFT2D2	royalblue
ENSG00000165899	0.864812084650773	4.4752254969054	71.5335911954219	2.72577958172409e-17	2.93644340368305e-14	OTOGL	gold
ENSG00000275830	-1.14966597751663	3.08666007606651	70.4003978708277	4.84101604166992e-17	4.97810481412266e-14	NA	royalblue
ENSG00000166927	-0.90627666107163	4.03855986121666	69.7173081551152	6.84428820787181e-17	6.73210139681235e-14	MS4A7	royalblue
ENSG00000091436	-0.609361354067741	5.66499662586333	68.591193574349	1.21143889586604e-16	1.14193258921572e-13	MAP3K20	royalblue
ENSG00000140798	0.950708779996864	2.36551867407311	68.21770231783	1.46405493432812e-16	1.3248525911722e-13	ABCC12	gold
ENSG00000101096	-0.748510945992241	3.86448854958938	67.6713522414863	1.9314964841481e-16	1.68062480618778e-13	NFATC2	royalblue
ENSG00000171502	0.707251898874208	4.97726112027707	66.3482422404475	3.77895715266979e-16	3.16634620980921e-13	COL24A1	gold
ENSG00000231312	0.43219675074627	5.1465840124828	66.2752726257688	3.92147409988183e-16	3.1684110200581e-13	MAP4K3-DT	gold
ENSG00000139433	-0.661182056072931	5.84246092291019	65.8160304174516	4.95039491707239e-16	3.8294601093628e-13	GLTP	royalblue
ENSG00000182253	-0.523686387678298	7.15682673444683	65.7657987643631	5.07818606201141e-16	3.8294601093628e-13	SYNM	royalblue
ENSG00000136451	-0.511404022801914	6.13571262274659	65.3625431590416	6.23120570652854e-16	4.43868307077159e-13	VEZF1	royalblue
ENSG00000120690	-0.669386501155849	4.96966816079803	65.3476511392186	6.27847139038549e-16	4.43868307077159e-13	ELF1	royalblue
ENSG00000140450	-0.930693994296673	6.85975442233361	65.2239927467903	6.68506397913115e-16	4.58291522423891e-13	ARRDC4	royalblue
ENSG00000106624	-1.27238205689574	5.64576841626923	64.9049688492381	7.85986309276781e-16	5.22981419846136e-13	AEBP1	royalblue
ENSG00000154188	-0.965775014596474	4.23933657423087	64.519363222391	9.55883370318567e-16	6.17855699620484e-13	ANGPT1	royalblue
ENSG00000164619	0.55533360193514	4.68852644441269	63.8960548745412	1.31160040905607e-15	8.2423155705765e-13	BMPER	gold
ENSG00000138434	-0.468625797286051	8.39041874822399	63.5224357716373	1.58550710985696e-15	9.52647146242761e-13	ITPRID2	royalblue
ENSG00000288062	0.566158113785775	3.45716722894401	63.4022314875733	1.6852699521136e-15	9.52647146242761e-13	LOC101929748	gold
ENSG00000131386	-0.902996626892304	7.17537574015143	63.3593898621781	1.72232415835389e-15	9.52647146242761e-13	GALNT15	royalblue
ENSG00000248455	0.758412228656332	3.90574096954699	63.3582696189459	1.72330392749989e-15	9.52647146242761e-13	LINC02217	gold
ENSG00000214688	-1.29406149371751	2.93343113717625	63.354623593321	1.72649661830673e-15	9.52647146242761e-13	C10orf105	royalblue
