genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000275395	-0.319360142322931	6.41924029506896	188.923749147649	5.46080637670865e-43	1.23288625566951e-38	FCGBP	royalblue
ENSG00000128564	1.19048682809464	4.94628930929176	51.6712969370035	6.56150220190452e-13	7.40695176061992e-09	VGF	gold
ENSG00000131095	-0.73704179025409	13.0105609142078	50.014974803517	1.52577107803033e-12	1.1482444542897e-08	GFAP	royalblue
ENSG00000165899	0.654061715131477	4.42117135422689	47.4554400880976	5.62685735488801e-12	3.17593896253267e-08	OTOGL	gold
ENSG00000275830	-0.967049898180626	2.87086463057545	44.483675643108	2.56486951241597e-11	1.15814117963631e-07	NA	royalblue
ENSG00000251442	-0.736238538098177	5.10451947431963	41.2261141084807	1.35598774770448e-10	4.19865592529795e-07	NA	royalblue
ENSG00000171502	0.540885834011779	4.61107015742161	40.9943292994235	1.52671552108789e-10	4.19865592529795e-07	COL24A1	gold
ENSG00000112541	0.450252476956453	5.52104126437703	40.9338969189896	1.57466139146484e-10	4.19865592529795e-07	PDE10A	gold
ENSG00000250722	-0.599429235619351	5.65250449382382	40.814652236175	1.67373447879176e-10	4.19865592529795e-07	SELENOP	royalblue
ENSG00000224389	-0.798537484100857	3.77556588121814	39.3201374943285	3.59712317721105e-10	8.12122499718939e-07	C4B	royalblue
ENSG00000091136	0.348254516993444	5.41746784864216	38.4063805248402	5.74442757512509e-10	1.17901764875999e-06	LAMB1	gold
ENSG00000162975	0.435018837432201	4.77339764189459	37.881783335637	7.51638114843888e-10	1.35719808257534e-06	KCNF1	gold
ENSG00000175287	-0.634420018682692	4.21024412367831	37.6925578832738	8.28199269396361e-10	1.35719808257534e-06	PHYHD1	royalblue
ENSG00000135678	-0.499347326493415	5.14048885846255	37.6612506979984	8.41598669267609e-10	1.35719808257534e-06	CPM	royalblue
ENSG00000162687	0.364342537202933	5.25985962135599	36.9451242847369	1.21501149022964e-09	1.66263651306494e-06	KCNT2	gold
ENSG00000198774	-1.26157512013807	2.08651640122299	36.9116108479479	1.2360764781876e-09	1.66263651306494e-06	RASSF9	royalblue
ENSG00000168743	-0.616374707753756	3.73358641354403	36.7027644522304	1.37584196590544e-09	1.66263651306494e-06	NPNT	royalblue
ENSG00000288062	0.50311046348337	3.49918341821117	36.6904468691387	1.38456277285527e-09	1.66263651306494e-06	LOC101929748	gold
ENSG00000011426	-0.539509096522262	7.62801470347633	36.6669318279534	1.40136532899222e-09	1.66263651306494e-06	ANLN	royalblue
ENSG00000187554	-0.677620136253763	3.09535974372868	36.5699361555405	1.47285867304331e-09	1.66263651306494e-06	TLR5	royalblue
