genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000125885	-0.877167847414188	4.36034033429712	84.5731179616081	3.70265414848525e-20	7.06577491155441e-16	MCM8	royalblue
ENSG00000160991	-0.658533179863591	6.83663316214763	74.8263968832071	5.13978799882414e-18	4.90412871907806e-14	ORAI2	royalblue
ENSG00000133067	1.14973557322698	3.54695084476324	72.0819074753963	2.06447917216581e-17	1.31321520141467e-13	LGR6	gold
ENSG00000165406	-0.537735396338632	6.69642654487843	70.3088698419553	5.07091774545038e-17	2.41920808341074e-13	MARCHF8	royalblue
ENSG00000125462	0.743810625454106	8.46260212853609	67.8669246650858	1.74910754293821e-16	6.67564384837798e-13	MIR9-1HG	gold
ENSG00000100207	-0.47085522789575	6.26490435322119	65.7252358921103	5.18378405749142e-16	1.62689945877313e-12	TCF20	royalblue
ENSG00000205978	-0.538693942681232	7.74214399414326	65.447671581124	5.967770377515e-16	1.62689945877313e-12	NYNRIN	royalblue
ENSG00000204403	-1.16139775018822	3.19031103627647	63.7353414979081	1.42308532914139e-15	3.04031979005066e-12	CASP12	royalblue
ENSG00000164684	-0.43769554097173	7.7647465767021	63.7204442160079	1.43388765448074e-15	3.04031979005066e-12	ZNF704	royalblue
ENSG00000160307	0.781096982356799	8.3592367284336	63.1841203805897	1.88259991333913e-15	3.59256541462507e-12	S100B	gold
ENSG00000089041	-0.709833635840057	5.01542913063807	62.3984856613656	2.8053886501651e-15	4.86683923737278e-12	P2RX7	royalblue
ENSG00000067057	-0.816170236045525	7.54907006431978	62.0512902816566	3.34627041061389e-15	5.10532466998211e-12	PFKP	royalblue
ENSG00000135643	-0.527631490081485	6.52172296316494	61.9753007845355	3.47792384372307e-15	5.10532466998211e-12	KCNMB4	royalblue
ENSG00000172346	0.59938532749593	6.75240259555784	60.5386506929703	7.21478641761519e-15	9.83426922909648e-12	CSDC2	gold
ENSG00000173230	-0.578313759648833	7.67534280190243	60.2379484064508	8.40559134934616e-15	1.06935933146382e-11	GOLGB1	royalblue
ENSG00000181790	0.702527517644305	5.74917848270986	59.2556468469933	1.38462437722575e-14	1.6243378379024e-11	ADGRB1	gold
ENSG00000181555	-0.468211136995156	7.09104645836971	59.1688926044832	1.44703365531315e-14	1.6243378379024e-11	SETD2	royalblue
ENSG00000122484	-0.430132369866234	7.03311975669969	58.8430832262738	1.70760996299751e-14	1.81035116243786e-11	RPAP2	royalblue
ENSG00000196220	-0.381916151198497	7.92723990044891	58.5876099448066	1.94437073984975e-14	1.95286456992383e-11	SRGAP3	royalblue
ENSG00000227906	-0.571178179561953	4.18402386380799	58.3983887012665	2.1406625766129e-14	2.0425131974752e-11	SNAP25-AS1	royalblue
ENSG00000143127	-0.822049640360881	4.20128055939316	57.6155535787638	3.18695531064772e-14	2.89603181871859e-11	ITGA10	royalblue
ENSG00000074590	-0.593133560358003	7.11065537908827	57.4222222773449	3.51612079691568e-14	3.04991514397917e-11	NUAK1	royalblue
ENSG00000064651	-0.637840257838808	6.58750766452856	55.3038540079997	1.03265919983229e-13	8.39459180999693e-11	SLC12A2	royalblue
ENSG00000196705	-0.369094831654561	5.77855893257279	55.2092039990889	1.08360145193805e-13	8.39459180999693e-11	ZNF431	royalblue
ENSG00000170075	0.763866675648267	7.21031996803038	55.180132471562	1.09974739427723e-13	8.39459180999693e-11	GPR37L1	gold
