genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000168743	-1.65218945310915	3.60276561241156	130.37924743788	3.38510806481731e-30	6.46081725251031e-26	NPNT	royalblue
ENSG00000106809	-3.89522404231325	3.67683010365742	108.803099057871	1.79235035783129e-25	1.7104399464784e-21	OGN	royalblue
ENSG00000003989	-1.56960936325412	6.23553169572797	87.8511509882455	7.05701625995096e-21	4.4896737445808e-17	SLC7A2	royalblue
ENSG00000124107	-3.59404429355031	2.87508683660442	84.9088433820686	3.12442574794143e-20	1.49081974563025e-16	SLPI	royalblue
ENSG00000178104	-0.742662173566603	7.80703274145221	80.7855923391499	2.51585578163286e-19	9.60352468964894e-16	PDE4DIP	royalblue
ENSG00000096696	-2.30863345796114	4.24137160955129	78.065084125057	9.97007908580512e-19	3.17148215719461e-15	DSP	royalblue
ENSG00000087116	-0.977934566411438	3.28324474011712	75.6561654164751	3.37620111113485e-18	9.20545348673139e-15	ADAMTS2	royalblue
ENSG00000134294	-0.961375588094572	7.82817667871556	74.1608425290489	7.20045078196967e-18	1.71784754530842e-14	SLC38A2	royalblue
ENSG00000122176	-2.07038169373697	2.67330579415615	70.5514340688482	4.4842149090192e-17	9.50952508372671e-14	FMOD	royalblue
ENSG00000164949	-1.30164074499729	3.80883912261203	70.1228442037681	5.57238980371475e-17	1.063546317937e-13	GEM	royalblue
ENSG00000168079	-3.3394642952178	2.96298405779831	68.7817410021834	1.09986314109024e-16	1.90836253734985e-13	SCARA5	royalblue
ENSG00000188783	-1.07415832939993	5.5450592192434	67.208611621498	2.44244903125845e-16	3.88471518421657e-13	PRELP	royalblue
ENSG00000149809	0.524785674897636	4.94915656304731	65.7372689370501	5.15223108926094e-16	7.05582941769803e-13	TM7SF2	gold
ENSG00000275830	-1.52831496614453	2.86120869822235	65.7283477133291	5.17560577636867e-16	7.05582941769803e-13	NA	royalblue
ENSG00000106823	-1.56174240046975	3.00925081879545	65.3317059579004	6.32947739383059e-16	8.05362703591004e-13	ECM2	royalblue
ENSG00000177119	-0.84375126294031	5.20111763720727	64.5768609472393	9.28392408413679e-16	1.10745609418647e-12	ANO6	royalblue
ENSG00000142494	-2.02007463940678	3.57551961925995	63.6096314808272	1.51685730515615e-15	1.70298461918884e-12	SLC47A1	royalblue
ENSG00000183723	-0.384578172145969	7.32916597072645	62.8562044036765	2.22362053035985e-15	2.3577789690249e-12	CMTM4	royalblue
ENSG00000251442	-1.13194838283161	4.17160067547261	62.4864389754042	2.68285651644056e-15	2.69499997225182e-12	NA	royalblue
ENSG00000138061	-1.65669270888169	4.48374501940142	61.9804804737265	3.46878760274575e-15	3.24632716744208e-12	CYP1B1	royalblue
ENSG00000128564	1.33990890418717	5.23246197527903	61.9228105378804	3.57187836719499e-15	3.24632716744208e-12	VGF	gold
ENSG00000205542	0.496971286110325	9.51223785649043	61.4702364006678	4.49486742361321e-15	3.89950180214008e-12	TMSB4X	gold
ENSG00000127954	-2.32399625457474	2.17509503118076	61.3721689070562	4.72441686977697e-15	3.9204443641984e-12	STEAP4	royalblue
ENSG00000166535	-1.06273898765823	3.57290411660579	61.0341386870356	5.60936293867621e-15	4.46084587698226e-12	A2ML1	royalblue
ENSG00000154188	-1.02773586113183	2.87993401724635	60.3392786953903	7.98382334178696e-15	5.95002366530416e-12	ANGPT1	royalblue
ENSG00000067113	-0.444461413586947	4.94308611961871	60.2658927464842	8.28710077264415e-15	5.95002366530416e-12	PLPP1	royalblue
ENSG00000112936	-1.64052245866402	2.98400785595906	60.2352323901974	8.41719789181664e-15	5.95002366530416e-12	C7	royalblue
ENSG00000115461	-1.39302593773226	7.31856771964926	59.1507968693118	1.46040198839617e-14	9.63373682796923e-12	IGFBP5	royalblue
ENSG00000174939	0.631735149098663	6.52450399690752	59.1462412543214	1.46378690145189e-14	9.63373682796923e-12	ASPHD1	gold
ENSG00000213694	-0.985782390164477	4.19183985514369	58.6404147797858	1.89288048756004e-14	1.2042505661857e-11	S1PR3	royalblue
ENSG00000159239	0.773032815403495	3.56336451516955	57.9803483662651	2.64749425743726e-14	1.63000243217573e-11	NA	gold
ENSG00000091436	-0.556621633270818	4.85837227409914	57.3910966097689	3.57220679230539e-14	2.13059808868565e-11	MAP3K20	royalblue
ENSG00000163817	-1.86781453021341	2.60141637227551	56.0542586324491	7.04983381024652e-14	3.98382730683011e-11	SLC6A20	royalblue
ENSG00000160781	1.19733132444226	8.72798046651498	56.0411952666543	7.09683162696342e-14	3.98382730683011e-11	PAQR6	gold
ENSG00000170439	-1.11903867742433	2.7343872035567	55.8939825666775	7.64863094780251e-14	4.17090772199311e-11	TMT1B	royalblue
ENSG00000114126	-0.30022129963273	5.75374928895181	55.6687076167463	8.57727932174064e-14	4.54738758707616e-11	TFDP2	royalblue
ENSG00000141646	-0.283860864497257	5.99467761455027	54.7834549922332	1.34568874116928e-13	6.94157170647482e-11	SMAD4	royalblue
ENSG00000164707	-1.76400118458647	3.17964638347868	53.9263553620162	2.08146856909296e-13	1.04544497657127e-10	SLC13A4	royalblue
ENSG00000166482	-1.21714369500777	2.7280881035184	53.7614885609065	2.26366652064593e-13	1.08483465049941e-10	MFAP4	royalblue
ENSG00000163349	-0.361088591350111	6.69387226628649	53.7529104848771	2.27357151943709e-13	1.08483465049941e-10	HIPK1	royalblue
ENSG00000102547	-0.538070880998391	6.14086464364454	53.4980780120498	2.58845948315274e-13	1.20495945598666e-10	CAB39L	royalblue
ENSG00000100360	0.40978483423006	4.60576586761423	53.3342323714725	2.81360537931872e-13	1.27858267308755e-10	IFT27	gold
ENSG00000136895	0.360030109652127	5.30488218254654	53.2222258797336	2.97869389225568e-13	1.30834910271954e-10	GARNL3	gold
ENSG00000197256	-0.870473472340962	5.35675112361027	53.1976404881838	3.0162087666174e-13	1.30834910271954e-10	KANK2	royalblue
ENSG00000107779	-0.496750191030986	5.1798960502119	52.6582458235132	3.96940843182334e-13	1.68355842955067e-10	BMPR1A	royalblue
ENSG00000270021	1.3018386259407	2.94947256130292	52.6026272783033	4.08342596976524e-13	1.69426669693346e-10	NA	gold
ENSG00000065882	-0.302260259029548	5.51810482592142	52.2584211390038	4.86568354023111e-13	1.97588161806066e-10	TBC1D1	royalblue
ENSG00000171189	0.589896922937697	3.68594495601051	52.1864071957093	5.04743144737398e-13	2.00698492926208e-10	GRIK1	gold
ENSG00000168542	-1.96348224864899	2.1180018639407	51.9121269520952	5.80408360143342e-13	2.26074978810119e-10	COL3A1	royalblue
ENSG00000165006	-0.239085972745982	6.19599498500675	51.827689073089	6.05912798413173e-13	2.31289033410276e-10	UBAP1	royalblue
ENSG00000158186	-0.648473619858132	7.98800196150161	51.6509776027053	6.62976216980287e-13	2.48109099554623e-10	MRAS	royalblue
ENSG00000172296	-1.91821212551138	2.82312945283226	51.3856458319805	7.58914164424508e-13	2.78550687350118e-10	SPTLC3	royalblue
ENSG00000078804	1.24340835610365	8.31600453533365	51.296106751144	7.94330134917405e-13	2.84231745951632e-10	TP53INP2	gold
ENSG00000164692	-1.5096331959691	4.071109790374	51.2526414168454	8.121138680328e-13	2.84231745951632e-10	COL1A2	royalblue
ENSG00000144810	-1.39807385341083	2.40181040643621	51.2359015205634	8.19068742918356e-13	2.84231745951632e-10	COL8A1	royalblue
