genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000145832	-0.723779921406327	3.76636693727874	60.0320839537882	9.33236377721735e-15	1.74440543723747e-10	SLC25A48	royalblue
ENSG00000166535	-0.76614785637858	3.3782254851	56.9154007697494	4.54968850177117e-14	4.25213887375533e-10	A2ML1	royalblue
ENSG00000260788	-0.832138013144473	3.57677343568771	53.3246291207292	2.8273935466614e-13	1.76165467247316e-09	CEDORA	royalblue
ENSG00000120729	-0.871610964468676	2.51273105219329	51.9178797717657	5.78710332348388e-13	2.70431338306402e-09	MYOT	royalblue
ENSG00000286084	0.718891011901836	2.80080551159794	51.2668555054504	8.06254795838838e-13	2.99014118226095e-09	NA	gold
ENSG00000108349	-0.350199559729981	7.04042666880402	50.6719921920965	1.09166326803467e-12	2.99014118226095e-09	CASC3	royalblue
ENSG00000064886	2.15197838540985	3.49827652172166	50.6220768707465	1.1197832375255e-12	2.99014118226095e-09	CHI3L2	gold
ENSG00000287689	-1.26178241717	1.52044944208501	50.2945668115268	1.32315369810512e-12	3.09154861562261e-09	NA	royalblue
ENSG00000135119	0.382610725869448	5.09608196898118	49.5958554061555	1.88912370313683e-12	3.88379022346059e-09	RNFT2	gold
ENSG00000011426	-0.743517592435126	6.18742785399437	49.2529045904472	2.2499994221739e-12	3.88379022346059e-09	ANLN	royalblue
ENSG00000233123	0.72787559770162	3.04308587638143	49.2121283009905	2.29725950489578e-12	3.88379022346059e-09	LINC01007	gold
ENSG00000157833	-0.75937268863215	5.52750040437127	49.051465711395	2.49333847001536e-12	3.88379022346059e-09	GAREM2	royalblue
ENSG00000158186	-0.462445461795001	7.76350063100429	47.9174000881868	4.44558712789579e-12	6.39207035343294e-09	MRAS	royalblue
ENSG00000187446	0.317597977211349	6.04069583266248	47.6049719928006	5.21360863381632e-12	6.96091232737818e-09	CHP1	gold
ENSG00000154945	-0.465704857502496	7.16208871869441	47.0191666265187	7.02958875331948e-12	8.00185786974181e-09	ANKRD40	royalblue
ENSG00000113621	0.48966609141355	5.6535883369519	46.8587673559025	7.6291037031361e-12	8.00185786974181e-09	TXNDC15	gold
ENSG00000287611	0.740898737433311	2.36395550452131	46.8586777814924	7.6294524067752e-12	8.00185786974181e-09	NA	gold
ENSG00000100600	0.286250676337607	4.90237656232954	46.8392096221482	7.70561960493006e-12	8.00185786974181e-09	LGMN	gold
ENSG00000119950	-0.404229440546632	6.60916216067441	46.6675691122848	8.41095058047348e-12	8.27460464474791e-09	MXI1	royalblue
ENSG00000128564	1.38466172609847	5.95898780661236	46.5443634900115	8.95675186103211e-12	8.37098028932061e-09	VGF	gold
ENSG00000188783	-0.639468863130507	5.30687513721286	45.6454789120058	1.4171278405751e-11	1.26137874266809e-08	PRELP	royalblue
ENSG00000053702	-0.57202543783616	3.67514931390638	44.8258366267032	2.15362169145977e-11	1.77965674739476e-08	NRIP2	royalblue
ENSG00000185414	0.41505846581041	4.40953846865221	44.7931992744537	2.18981945164132e-11	1.77965674739476e-08	MRPL30	gold
ENSG00000166111	0.560125213153405	6.01315667017698	43.8050068294598	3.62775785159837e-11	2.82541874008653e-08	SVOP	gold
ENSG00000196154	-1.05594317306582	2.17756189282157	43.6990501818532	3.82957594133875e-11	2.86329733982015e-08	S100A4	royalblue
ENSG00000071054	-0.482341882158741	8.45166785072205	42.6395810513238	6.58140540175653e-11	4.73152422190896e-08	MAP4K4	royalblue
ENSG00000018610	0.522909636337311	4.31370858490939	42.3595790376727	7.59434663145208e-11	5.00140627384661e-08	STEEP1	gold
ENSG00000260328	0.424696547482884	3.58578438075749	42.3514106325196	7.62613102507947e-11	5.00140627384661e-08	NA	gold
ENSG00000158169	-0.546128083742936	2.85677583119189	42.3175002491349	7.75951112462828e-11	5.00140627384661e-08	FANCC	royalblue
ENSG00000111181	-0.735548988366142	5.45292305581201	42.201430376925	8.23397724668394e-11	5.13031675650054e-08	SLC6A12	royalblue
ENSG00000277531	0.391096107545735	5.4881085160904	41.0591290669234	1.47692702887714e-10	8.90539355605531e-08	PNMA8C	gold
ENSG00000084710	0.274376845571887	6.94911711416531	40.8701620533716	1.626861471315e-10	9.14960356714004e-08	EFR3B	gold
ENSG00000126067	0.531157011511162	5.91389497442136	40.7630381939197	1.71853001072565e-10	9.14960356714004e-08	PSMB2	gold
ENSG00000147571	1.06934596086016	1.95276993827439	40.7563173488243	1.72445063123382e-10	9.14960356714004e-08	CRH	gold
ENSG00000140795	0.688364549240314	1.94191195564828	40.6858978019455	1.78772690821041e-10	9.14960356714004e-08	MYLK3	gold
ENSG00000159176	-0.53695685493103	8.98794783604436	40.6789893071382	1.79405845528147e-10	9.14960356714004e-08	CSRP1	royalblue
ENSG00000163626	0.44785506548927	3.91408272863663	40.6524808347793	1.81856215276839e-10	9.14960356714004e-08	COX18	gold
ENSG00000149428	0.242531087063059	6.87767875409605	40.6083787842078	1.86007348358293e-10	9.14960356714004e-08	HYOU1	gold
ENSG00000163257	0.368503748507268	4.92206468498564	40.2860371378203	2.19371235530644e-10	1.05140695757405e-07	DCAF16	gold
ENSG00000137269	-0.431601628692842	3.73143409352249	40.0559392551029	2.46793229862371e-10	1.15326476314686e-07	LRRC1	royalblue
ENSG00000143157	-0.350661944214139	6.14043179259526	39.4942285649041	3.29030426862988e-10	1.50005774120073e-07	POGK	royalblue
ENSG00000088836	-0.839528020861815	2.81146288335729	38.9428082886017	4.3640502869247e-10	1.94221018959992e-07	SLC4A11	royalblue
ENSG00000145882	0.414585769652667	4.14180137570364	38.8879707795388	4.48837914826616e-10	1.95108797766026e-07	PCYOX1L	gold
ENSG00000154079	0.613194067720118	3.73450801371642	38.7248444260725	4.87958464636083e-10	2.07293627749492e-07	SDHAF4	gold
ENSG00000196517	-0.534622239628372	4.32306285492292	38.272184029261	6.15335455704417e-10	2.55596674178377e-07	SLC6A9	royalblue
ENSG00000087116	-0.648277570655874	3.60219367446998	37.9743851108947	7.16795479158481e-10	2.91268284705007e-07	ADAMTS2	royalblue
ENSG00000168672	-0.428769587960765	3.78514494811917	37.7013144578239	8.24489849710799e-10	3.27901367463708e-07	LRATD2	royalblue
ENSG00000228058	-0.760159659598054	2.13567430937633	37.458104594762	9.33977886115399e-10	3.63706555151438e-07	LINC01736	royalblue
ENSG00000089169	0.484934930512318	7.43610367743033	37.3314178717121	9.96659937493363e-10	3.80195256155632e-07	RPH3A	gold
ENSG00000166912	-0.407151753631172	5.99480073404375	37.092223851945	1.12672149749429e-09	4.21213564623265e-07	MTMR10	royalblue
ENSG00000261195	-0.664532042584405	2.37558472531897	37.0011004651544	1.18062594206212e-09	4.29646687359079e-07	LOC105371115	royalblue
ENSG00000188766	0.473183866042137	3.59465527408738	36.9770957821181	1.19525078871561e-09	4.29646687359079e-07	SPRED3	gold
ENSG00000134294	-0.574684911964976	7.19167245088009	36.8264167495464	1.291286622362e-09	4.52707390786481e-07	SLC38A2	royalblue
ENSG00000133195	-0.407826640639088	4.40403380263084	36.801578916938	1.3078428794388e-09	4.52707390786481e-07	SLC39A11	royalblue
ENSG00000124243	0.369741098820712	5.05930690226483	36.7396291062765	1.3500691574249e-09	4.5882713982884e-07	BCAS4	gold
ENSG00000158865	-0.723003456985739	4.09943156761889	36.6717983931894	1.39787127531984e-09	4.6031805544085e-07	SLC5A11	royalblue
ENSG00000189410	0.434497255929586	5.38356312836541	36.6636742948006	1.40370902846825e-09	4.6031805544085e-07	SH2D5	gold
ENSG00000111218	0.449808467155793	4.36098205309065	36.5722157805679	1.47113721519554e-09	4.74112014248881e-07	PRMT8	gold
ENSG00000157005	0.99323500921248	3.27374857845784	36.4869716496348	1.53690093803752e-09	4.86911056505038e-07	SST	gold
ENSG00000177807	-0.506223823260712	7.40130383932674	36.3936483431175	1.61227779552057e-09	5.02278275897842e-07	KCNJ10	royalblue
