genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000134294	-0.654498661945455	7.30519287823446	64.9440794841126	7.70539940861753e-16	1.43197142609748e-11	SLC38A2	royalblue
ENSG00000064886	3.15991513487041	4.83621999652597	60.0197393012131	9.39108014373421e-15	8.72619166955782e-11	CHI3L2	gold
ENSG00000196517	-0.433334444655226	5.12496343018168	53.7458522435476	2.28175409834382e-13	1.41347060545405e-09	SLC6A9	royalblue
ENSG00000198743	-0.720173849423207	6.95550376246618	50.9491891304972	9.47881627445661e-13	4.29217137507034e-09	SLC5A3	royalblue
ENSG00000186834	-0.37407431775167	6.01465610960519	50.5616392642825	1.15480288825612e-12	4.29217137507034e-09	HEXIM1	royalblue
ENSG00000172922	-0.388272750509947	4.69349766567625	49.7937947079682	1.70783241052715e-12	5.28972625287275e-09	RNASEH2C	royalblue
ENSG00000164841	-0.507003964695822	3.5686580998018	45.8720390285827	1.26234927717336e-11	3.35135699528425e-08	TMEM74	royalblue
ENSG00000157833	-0.558851792455689	5.85287362869398	45.3915844629162	1.6132607162689e-11	3.53119594221413e-08	GAREM2	royalblue
ENSG00000178104	-0.357824847807203	8.30927803418494	45.2773971727274	1.71011426387899e-11	3.53119594221413e-08	PDE4DIP	royalblue
ENSG00000198417	-0.862442905284682	5.06230436203982	43.5921351971267	4.04461263593526e-11	7.51650812262209e-08	MT1F	royalblue
ENSG00000205358	-1.27776528717492	3.69560125016317	42.2853711581731	7.88803854686565e-11	1.28853186157336e-07	MT1H	royalblue
ENSG00000198894	-0.214038995834519	6.61859750120328	42.1810428793868	8.32026600241084e-11	1.28853186157336e-07	CIPC	royalblue
ENSG00000198830	0.403066604315815	6.02752762380506	40.7699958383711	1.71242222165667e-10	2.44797342825136e-07	HMGN2	gold
ENSG00000125144	-1.09749380336673	5.98459225950044	40.6201715370524	1.84888145589533e-10	2.45425806973992e-07	MT1G	royalblue
ENSG00000112406	-0.278617127261596	5.69217013959984	40.0111066091313	2.52522945201513e-10	3.12859094241661e-07	HECA	royalblue
ENSG00000164576	-0.185412804857177	5.90187687931136	37.2939473040266	1.01599442795303e-09	1.18007752806744e-06	SAP30L	royalblue
ENSG00000146834	-0.189607266995171	5.76093595537687	36.1275593907164	1.84814521797473e-09	2.02034886652014e-06	MEPCE	royalblue
ENSG00000167703	0.508050485071516	5.59224230165602	35.8692694634339	2.11010746331504e-09	2.17856872768037e-06	SLC43A2	gold
ENSG00000171843	-0.303466437338297	5.89187161753081	35.4804583277145	2.57622231659384e-09	2.45551973292654e-06	MLLT3	royalblue
ENSG00000145832	-0.557891233133991	3.9189131202359	35.430895407488	2.64261701778578e-09	2.45551973292654e-06	SLC25A48	royalblue
ENSG00000125534	0.424878965461922	6.65017336228425	35.1808709603924	3.00460432067957e-09	2.6589317474052e-06	PPDPF	gold
ENSG00000133195	-0.463475808962452	4.69589669556231	34.6618808975582	3.92237365440925e-09	3.31333599970643e-06	SLC39A11	royalblue
ENSG00000166716	-0.169912720783423	6.17178725341675	34.0319972623429	5.4213183779916e-09	4.19791395109748e-06	ZNF592	royalblue
ENSG00000197044	0.301374943199372	4.06993592767313	34.0319942864166	5.42132666951892e-09	4.19791395109748e-06	ZNF441	gold
ENSG00000164638	-0.466141891659125	4.92475918878334	33.662792332744	6.55424311730197e-09	4.87216216367759e-06	SLC29A4	royalblue
ENSG00000112096	0.818533631753375	8.08557412667041	33.4425099592063	7.3401913360476e-09	5.24654291496571e-06	NA	gold
ENSG00000163257	0.260884163754634	4.87010766131325	33.3542140828791	7.68111976188781e-09	5.28688628351567e-06	DCAF16	gold
ENSG00000089169	0.466814993123033	6.64873628650598	33.278532370623	7.98593815393671e-09	5.30038123759856e-06	RPH3A	gold
ENSG00000070610	-0.171271328087861	6.19999644959216	32.8533082070435	9.93818038183356e-09	6.36866014537913e-06	GBA2	royalblue
ENSG00000163605	-0.238812174787904	5.98138207498343	32.5037935667888	1.18960093027488e-08	7.36918122940949e-06	PPP4R2	royalblue
ENSG00000149577	0.164540742108658	5.65917277607881	32.3442669450935	1.29137650794623e-08	7.51202516131507e-06	SIDT2	gold
ENSG00000096070	-0.185623141036704	5.91815907740685	32.3410681183594	1.29350411731641e-08	7.51202516131507e-06	BRPF3	royalblue
ENSG00000107779	-0.213118257447069	5.80553476127889	31.9517979252053	1.58046023873204e-08	8.90038578078675e-06	BMPR1A	royalblue
ENSG00000275395	1.1854540431372	6.99863468857531	31.5855117760655	1.90848163719132e-08	1.04315361016363e-05	FCGBP	gold
ENSG00000121671	0.234800407342933	6.69253412759949	31.3566670457555	2.14720093004996e-08	1.08486755139412e-05	CRY2	gold
ENSG00000161642	-0.268093941320328	6.74286637191287	31.3325578307159	2.17403078840965e-08	1.08486755139412e-05	ZNF385A	royalblue
ENSG00000214530	-0.284980807592541	4.73894119406639	31.3122773616651	2.19685973371434e-08	1.08486755139412e-05	STARD10	royalblue
ENSG00000100600	0.257208999142307	4.82695991764677	31.2934181186306	2.21830429148605e-08	1.08486755139412e-05	LGMN	gold
ENSG00000146648	-0.305572843376236	7.3110130676724	31.0200493123913	2.55376762473271e-08	1.21690301379571e-05	EGFR	royalblue
ENSG00000100796	-0.170660406539949	5.9386805775447	30.9591833753777	2.63512266874712e-08	1.22427799189991e-05	PPP4R3A	royalblue
ENSG00000125779	-0.168380945987585	5.59075075623144	30.8744651068139	2.75269937402054e-08	1.24771134553165e-05	PANK2	royalblue
ENSG00000112972	0.383843953243046	5.59199993298123	30.7487050333918	2.93699777036384e-08	1.29955158486766e-05	HMGCS1	gold
