genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000134668	2.08996216614071	1.60305744078609	58.8308544023078	1.71825592397823e-14	3.10604752203899e-10	SPOCD1	gold
ENSG00000166535	-0.751546923994769	3.3892981452088	57.5334121904839	3.32286442582401e-14	3.10604752203899e-10	A2ML1	royalblue
ENSG00000281327	-1.1692776943476	2.26863965783712	47.5939937610745	5.2428869120424e-12	3.26719236068775e-08	NA	royalblue
ENSG00000178104	-0.347954791257885	8.30415076172124	41.3309089930059	1.28520532624689e-10	6.00672839354641e-07	PDE4DIP	royalblue
ENSG00000188783	-0.790054671756718	5.65825054771456	39.9416510756713	2.61663609902195e-10	9.78360237424306e-07	PRELP	royalblue
ENSG00000185532	-0.324166370227607	4.44284173391505	38.8861839829565	4.49248932957527e-10	1.3997848002735e-06	PRKG1	royalblue
ENSG00000088836	-0.813011504276781	2.71241093112636	38.1497940941553	6.55166549308362e-10	1.54193278413877e-06	SLC4A11	royalblue
ENSG00000087116	-0.796469605574401	3.72887611539214	38.1359639340376	6.59826813217983e-10	1.54193278413877e-06	ADAMTS2	royalblue
ENSG00000125772	0.489386152522531	5.38332870034888	36.9145584991682	1.23420914618396e-09	2.376044716377e-06	GPCPD1	gold
ENSG00000158186	-0.517637596131733	7.93804919995689	36.8573629758854	1.27095197452635e-09	2.376044716377e-06	MRAS	royalblue
ENSG00000182310	-0.630733064607601	3.49308983809584	35.6196479774654	2.39856066188331e-09	3.58861471394078e-06	SPACA6	royalblue
ENSG00000042062	-0.964481688525965	2.73628485530391	35.5923818880332	2.43236923890704e-09	3.58861471394078e-06	RIPOR3	royalblue
ENSG00000134294	-0.479642635039765	7.54287930312178	35.3681883191637	2.72908072858938e-09	3.58861471394078e-06	SLC38A2	royalblue
ENSG00000145358	-0.94513785453597	3.52238381114168	35.2682948742973	2.87270790014921e-09	3.58861471394078e-06	DDIT4L	royalblue
ENSG00000108932	0.590361271987503	3.03955770199793	35.2638053267035	2.87933782878372e-09	3.58861471394078e-06	SLC16A6	gold
ENSG00000020577	-0.539735738186341	6.74154782205074	34.2892477778822	4.74998825373445e-09	5.55006440022285e-06	SAMD4A	royalblue
ENSG00000157833	-0.670287405691837	5.64812193553046	32.7232141677193	1.06260549675726e-08	1.14356638717562e-05	GAREM2	royalblue
ENSG00000187134	-0.69703059672255	3.41571395237972	32.6541275486568	1.10105348858845e-08	1.14356638717562e-05	AKR1C1	royalblue
ENSG00000100364	-0.393505697996997	7.55483193757565	32.10809226801	1.45828625123354e-08	1.43487691930584e-05	KIAA0930	royalblue
ENSG00000143157	-0.325285630288952	6.47299271166468	31.6370912124827	1.85845844521259e-08	1.73719403166247e-05	POGK	royalblue
ENSG00000178031	0.465795896394162	2.82341538877462	30.8996903528227	2.71715127103691e-08	2.41891157200167e-05	ADAMTSL1	gold
ENSG00000112139	-0.400299783303811	4.49705551643042	30.6961522052795	3.0176285990623e-08	2.56429848452135e-05	MDGA1	royalblue
ENSG00000150175	0.75954729104887	2.38231924143186	30.5949703536892	3.17916831068121e-08	2.58411093774718e-05	NA	gold
ENSG00000172922	-0.32228299155171	4.75081960363113	30.4939067036848	3.34916787109163e-08	2.60886222291909e-05	RNASEH2C	royalblue
ENSG00000119950	-0.459077283589261	6.6098723088408	30.1098439753391	4.0825361750496e-08	2.95526324949354e-05	MXI1	royalblue
ENSG00000145832	-0.560818919759934	3.61103795681752	30.096831863464	4.11002110119454e-08	2.95526324949354e-05	SLC25A48	royalblue
ENSG00000153012	0.527949651430231	3.7692106596857	29.8639370128662	4.63453393998882e-08	3.20898562992929e-05	LGI2	gold
ENSG00000151632	-0.878786221524531	2.62896315528931	29.6463186845736	5.18510078263933e-08	3.3247741241644e-05	AKR1C2	royalblue
ENSG00000184481	-0.811070408220574	6.0441666241143	29.6258405661912	5.24016872472203e-08	3.3247741241644e-05	FOXO4	royalblue
ENSG00000129654	-1.02157630662517	2.64744184142124	29.5094555404355	5.56445697858585e-08	3.3247741241644e-05	FOXJ1	royalblue
ENSG00000048052	0.351515284509799	5.76191936993863	29.4733839805203	5.66898988421482e-08	3.3247741241644e-05	HDAC9	gold
ENSG00000053254	-0.253312496007987	6.50213927478377	29.4235269782502	5.81671902004674e-08	3.3247741241644e-05	FOXN3	royalblue
ENSG00000053702	-0.53521461224282	3.25586689654157	29.3436247054146	6.06156072807648e-08	3.3247741241644e-05	NRIP2	royalblue
ENSG00000256193	0.699340459541534	3.58566793202024	29.2954839063644	6.2140346568274e-08	3.3247741241644e-05	LINC00507	gold
ENSG00000111961	-0.411427135592178	7.84587773882063	29.2922220914284	6.2245035755953e-08	3.3247741241644e-05	SASH1	royalblue
ENSG00000279118	-0.569838428319655	4.24443841961276	28.9003518076295	7.61990718316384e-08	3.95706013303467e-05	NA	royalblue
ENSG00000248837	0.687199781211925	2.0029366141716	28.7886336682774	8.07234705598406e-08	4.07871697869249e-05	LOC105374524	gold
ENSG00000162692	1.0209774132622	2.48314558443768	28.735366109337	8.29745362878847e-08	4.08212883132106e-05	VCAM1	gold
ENSG00000198743	-0.559347729541491	6.86577735906537	28.5884805234323	8.95131213725566e-08	4.2181658125573e-05	SLC5A3	royalblue
ENSG00000243927	-0.709561665835708	4.04480021322808	28.5725569462767	9.02522773481101e-08	4.2181658125573e-05	MRPS6	royalblue
ENSG00000111181	-0.833238541842429	5.2255559841274	28.4149563604124	9.79060059149642e-08	4.46427507458599e-05	SLC6A12	royalblue
ENSG00000151552	-0.563367680024688	7.63437639284102	28.1029695624242	1.15029223997258e-07	5.12016986340176e-05	QDPR	royalblue
ENSG00000111087	-0.63367518225583	2.34567859660348	27.6878207502774	1.42557422367271e-07	6.19793258408404e-05	GLI1	royalblue
ENSG00000177807	-0.452867415767214	7.59468034430823	27.6110357823376	1.4833006722343e-07	6.30234228805007e-05	KCNJ10	royalblue
ENSG00000186352	-0.785115922963942	3.52430074157578	27.4216002718597	1.63593721851705e-07	6.79641028892807e-05	ANKRD37	royalblue
ENSG00000172794	0.349493719575482	4.11614049525158	27.2547406947486	1.78337332531425e-07	7.2478618079891e-05	RAB37	gold
ENSG00000278962	0.685510505166368	2.31384360156682	27.1821180430096	1.85163383180194e-07	7.27114253244494e-05	NA	gold
ENSG00000197322	0.584455652422693	2.35857006604302	27.1662554208165	1.866888695145e-07	7.27114253244494e-05	TMEM132E-DT	gold
ENSG00000114126	-0.179985819816171	5.87222894718501	26.9268782397398	2.11299843404917e-07	8.06173586215289e-05	TFDP2	royalblue
ENSG00000175287	-0.603496639398545	3.78889941169313	26.875840983333	2.16953988670363e-07	8.11190963638487e-05	PHYHD1	royalblue
ENSG00000139410	0.604123638441091	2.42354367570644	26.8195613778656	2.23364885325961e-07	8.18785594346833e-05	SDSL	gold
ENSG00000159176	-0.528159998167453	8.65327090544315	26.7783996768342	2.28173586948287e-07	8.20327924615045e-05	CSRP1	royalblue
ENSG00000166750	0.329673921933959	4.40194733430888	26.6766833278118	2.40506337044062e-07	8.48352070007309e-05	SLFN5	gold
ENSG00000108349	-0.399656612224354	7.11367208955693	26.5816124372983	2.52636793233339e-07	8.74637935092088e-05	CASC3	royalblue
ENSG00000183963	-0.691513652676169	4.4340604735729	26.4666573961819	2.68126361019227e-07	9.05600521960785e-05	SMTN	royalblue
ENSG00000125733	-0.763852772878306	3.65984921483305	26.42078622755	2.74569798637962e-07	9.05600521960785e-05	TRIP10	royalblue
ENSG00000003147	0.324742842627457	5.196204561464	26.4099638612852	2.76112488642764e-07	9.05600521960785e-05	ICA1	gold
ENSG00000198417	-0.832830642460799	4.93722905249002	26.1613525477835	3.14045334743294e-07	0.0001008903276043	MT1F	royalblue
ENSG00000092820	-0.465249467710265	7.07711075715968	26.1347478531255	3.18402210679524e-07	0.0001008903276043	EZR	royalblue
ENSG00000205978	-0.353880277244521	4.36596418407952	25.8328081367512	3.72306010441476e-07	0.00011600434775339	NYNRIN	royalblue
ENSG00000143479	-0.35392013622231	3.30895030514405	25.4949611888031	4.4353978106457e-07	0.000132481373288746	DYRK3	royalblue
ENSG00000106078	-0.29052914247665	7.65498725533836	25.4734044108874	4.48523354377868e-07	0.000132481373288746	COBL	royalblue
ENSG00000153048	-0.731023860770661	5.06981014244236	25.469132885419	4.4951750492682e-07	0.000132481373288746	CARHSP1	royalblue
ENSG00000165406	-0.257517237091238	5.33580664423027	25.4519735955711	4.53533452285626e-07	0.000132481373288746	MARCHF8	royalblue
ENSG00000260293	-0.370252663274084	3.18898970275125	25.2354265672076	5.0741531253411e-07	0.000145940450274234	NA	royalblue
ENSG00000162433	-0.34547149644977	6.56255430299926	25.2037559975009	5.15816432251602e-07	0.000146108912135511	AK4	royalblue
ENSG00000214530	-0.42212027797097	4.25260379141096	25.1430345249649	5.32315758914069e-07	0.000148011910696337	STARD10	royalblue
ENSG00000196154	-1.03583206079509	1.93623413288451	25.1212288795773	5.383690787564e-07	0.000148011910696337	S100A4	royalblue
ENSG00000196083	0.263963200717187	4.48995410491762	25.0378042496952	5.62172045668161e-07	0.000152316034692265	IL1RAP	gold
ENSG00000188039	-0.519025449409929	5.71894811310816	24.9319377997242	5.93903432602922e-07	0.000158614638178738	NWD1	royalblue
ENSG00000141337	0.333968182058081	3.30959539071151	24.7418618945656	6.55449675977129e-07	0.000172586361864682	ARSG	gold
ENSG00000121005	0.475480140724594	2.95036333190286	24.7111446320968	6.65979567447726e-07	0.000172923444631045	CRISPLD1	gold
ENSG00000140105	0.525338795614078	6.16123031051649	24.665442925403	6.81960875727355e-07	0.000174647377694834	WARS1	gold
ENSG00000197256	-0.52604312659645	5.25216795942266	24.6197218764728	6.98333739004628e-07	0.000176423638522858	KANK2	royalblue
ENSG00000154945	-0.518203453038342	7.36131925183345	24.5913372013698	7.08696100602089e-07	0.000176654314676747	ANKRD40	royalblue
ENSG00000166592	-0.971013819139414	1.82161488860344	24.4645763964235	7.56887018797104e-07	0.000186184247584367	RRAD	royalblue
ENSG00000145882	0.376355900221136	3.9063541404499	24.4007555664471	7.82380028120655e-07	0.000189955774359944	PCYOX1L	gold
ENSG00000106351	-0.318461795211531	5.3923613620978	24.3535064307927	8.01806631736862e-07	0.000192176602311803	AGFG2	royalblue
ENSG00000119729	-0.468980559656818	6.54717656639541	24.3002679313374	8.24275961112506e-07	0.000195061254341751	RHOQ	royalblue
ENSG00000105643	-0.595382061674395	5.19824302834618	24.2700165823646	8.37323762890563e-07	0.000195672096840488	ARRDC2	royalblue
ENSG00000164949	-0.74254421891431	3.60241985878398	24.1949987013034	8.70580619192003e-07	0.000200611618203255	GEM	royalblue
ENSG00000251442	-0.546691736902071	3.91668108018923	24.1744425437547	8.79922583186247e-07	0.000200611618203255	NA	royalblue
ENSG00000100968	-0.47076624855748	4.20762692978336	24.1459306802987	8.93046747629358e-07	0.000201150710203986	NFATC4	royalblue
ENSG00000100600	0.269420618035161	4.95149573415069	24.0800312782644	9.24136708387505e-07	0.000205675425753624	LGMN	gold
ENSG00000247081	0.696035635425249	4.1446155048186	24.0066040774387	9.6005835945071e-07	0.00021113268303794	LOC105369147	gold
ENSG00000124160	-0.2068278677445	4.72641913379772	23.9843008478414	9.71244222586939e-07	0.00021113268303794	NCOA5	royalblue
ENSG00000173530	-0.945833562417832	3.00238679561279	23.6929337152415	1.12996666951889e-06	0.000242812952720181	TNFRSF10D	royalblue
ENSG00000169064	0.425938228387129	3.78114011676712	23.5775879212131	1.19976829830468e-06	0.000254882594736431	ZBBX	gold
ENSG00000162631	0.321577161886094	4.46824959092475	23.3200641789662	1.37161694006076e-06	0.000288116614544223	NTNG1	gold
ENSG00000074219	-0.713807853760677	2.96682531505431	23.2492952710939	1.42302582619044e-06	0.000294031286647192	TEAD2	royalblue
ENSG00000163257	0.201626257651546	4.85936168233115	23.2030020139161	1.45769597390511e-06	0.000294031286647192	DCAF16	gold
ENSG00000106236	0.720115620492377	4.85341324389322	23.2016677661688	1.45870768777152e-06	0.000294031286647192	NPTX2	gold
ENSG00000121966	-0.709614130446349	2.69998363294965	23.1964305147991	1.46268572656801e-06	0.000294031286647192	CXCR4	royalblue
ENSG00000089123	0.316008035029698	3.3677442434532	23.1324487323674	1.51217163764793e-06	0.000298377056094031	TASP1	gold
ENSG00000164326	0.862968893035593	2.9481861986283	23.1273018312244	1.51622467659443e-06	0.000298377056094031	CARTPT	gold
ENSG00000152034	0.521894511208567	3.09106488897785	23.0048602313869	1.61592358007582e-06	0.000310315337117339	MCHR2	gold
ENSG00000183090	0.807602959857619	2.90208836642117	22.9866303589977	1.63131961713408e-06	0.000310315337117339	FREM3	gold
ENSG00000143772	-0.458500006293591	8.43316366199833	22.9767896322649	1.63969166357306e-06	0.000310315337117339	ITPKB	royalblue
ENSG00000168538	0.212719732609149	5.37760302734022	22.9725810452996	1.64328528347775e-06	0.000310315337117339	TRAPPC11	gold
ENSG00000149451	-0.575847013280135	3.0633413585013	22.9085719204888	1.69892528828678e-06	0.000317614082645214	ADAM33	royalblue
ENSG00000269935	-0.44059616070551	2.72329290530507	22.8829335146492	1.72173802241753e-06	0.000318692003258373	NA	royalblue
ENSG00000055208	-0.213146435312315	6.5842368722938	22.8531669075454	1.74860972630083e-06	0.000320492733658764	TAB2	royalblue
ENSG00000147862	-0.227837779287926	7.35584178160363	22.8103060458362	1.78804292406301e-06	0.000323243010288644	NFIB	royalblue
ENSG00000105655	-0.701687612349071	4.15217221160397	22.7885981063508	1.80835389480896e-06	0.000323243010288644	ISYNA1	royalblue
ENSG00000130517	-0.322559710940504	5.588275677292	22.7810331348871	1.81548628404962e-06	0.000323243010288644	PGPEP1	royalblue
ENSG00000086159	-0.698795071765648	1.86805492911803	22.5819974449391	2.01362647257182e-06	0.000355139121742737	AQP6	royalblue
ENSG00000287689	-1.17097889106799	1.38141738665406	22.4259485724933	2.18403293139018e-06	0.000381593417311583	NA	royalblue
ENSG00000111218	0.409179424240805	4.27116577252626	22.212699146723	2.44054228126482e-06	0.000422462388409683	PRMT8	gold
