ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0019646	aerobic electron transport chain	12/394	93/18986	0.12903225806451613	6.2177828721139665	7.342895897204816	4.948886365630121e-7	0.0010882311597336333	9.894761724979519e-4	COX3/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/ND6/MTCO2P12/ND2	12
GO:0042026	protein refolding	7/394	27/18986	0.25925925925925924	12.493137807858618	8.699677214256525	9.751437498331795e-7	0.0010882311597336333	9.894761724979519e-4	HSPA8/HSP90AA1/DNAJA1/HSPA1L/HSPA7/HSPA1B/HSPA6	7
GO:0042773	ATP synthesis coupled electron transport	12/394	101/18986	0.1188118811881188	5.725285218877218	6.931393844298313	1.2199900893874813e-6	0.0010882311597336333	9.894761724979519e-4	COX3/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/ND6/MTCO2P12/ND2	12
GO:0042775	mitochondrial ATP synthesis coupled electron transport	12/394	101/18986	0.1188118811881188	5.725285218877218	6.931393844298313	1.2199900893874813e-6	0.0010882311597336333	9.894761724979519e-4	COX3/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/ND6/MTCO2P12/ND2	12
GO:0006119	oxidative phosphorylation	14/394	149/18986	0.09395973154362416	4.527714373317889	6.293192786592234	2.799181839552805e-6	0.0018774067639339372	0.0017070355341174163	ATP8/COX3/ATP6/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/ND6/MTCO2P12/ND2	14
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	12/394	111/18986	0.10810810810810811	5.209493757717109	6.474977078921881	3.3503933768592224e-6	0.0018774067639339372	0.0017070355341174163	ATP8/IMPDH1/ATP6/ND4/ND1/ND4L/ND5/NME5/ND3/ND6/ND2/ADCY10	12
GO:0009145	purine nucleoside triphosphate biosynthetic process	12/394	112/18986	0.10714285714285714	5.162980420594633	6.432381002069431	3.683253180363666e-6	0.0018774067639339372	0.0017070355341174163	ATP8/IMPDH1/ATP6/ND4/ND1/ND4L/ND5/NME5/ND3/ND6/ND2/ADCY10	12
GO:0009201	ribonucleoside triphosphate biosynthetic process	12/394	116/18986	0.10344827586206896	4.9849466129879225	6.266945361061175	5.3242396575059836e-6	0.0023746108872476687	0.002159119292688611	ATP8/IMPDH1/ATP6/ND4/ND1/ND4L/ND5/NME5/ND3/ND6/ND2/ADCY10	12
GO:0009142	nucleoside triphosphate biosynthetic process	12/394	124/18986	0.0967741935483871	4.663337154085475	5.957776667566562	1.0623312389528158e-5	0.0034297581862942532	0.0031185139043423678	ATP8/IMPDH1/ATP6/ND4/ND1/ND4L/ND5/NME5/ND3/ND6/ND2/ADCY10	12
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	9/394	68/18986	0.1323529411764706	6.3777993430874895	6.467133049221252	1.0889298308220599e-5	0.0034297581862942532	0.0031185139043423678	ATP8/ATP6/ND4/ND1/ND4L/ND5/ND3/ND6/ND2	9
GO:0001666	response to hypoxia	20/394	317/18986	0.06309148264984227	3.040240836522602	5.332623172145081	1.1410107418602399e-5	0.0034297581862942532	0.0031185139043423678	ANGPT2/CYGB/CYTB/COX2/ND4/ND1/EGLN1/COX1/ND5/CA9/MTCO2P12/ND2/PDLIM1/FOS/CD38/CCNA2/NOS2/F7/PTGS2/HILPDA	20
GO:0022904	respiratory electron transport chain	12/394	125/18986	0.096	4.626030456852792	5.920991708253453	1.1535061164666772e-5	0.0034297581862942532	0.0031185139043423678	COX3/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/ND6/MTCO2P12/ND2	12
GO:0044849	estrous cycle	5/394	16/18986	0.3125	15.058692893401016	8.189579934841026	1.3572414948748427e-5	0.0037251058874718758	0.0033870593418658017	MDK/OPRK1/CYP1B1/HSPA8/CA12	5
GO:0009060	aerobic respiration	15/394	200/18986	0.075	3.6140862944162437	5.410135161626179	1.9611565716245945e-5	0.0046037125718370805	0.004185934076705772	ATP8/COX3/ATP6/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/ND6/MTCO2P12/ND2/MDH1B	15
GO:0070482	response to oxygen levels	21/394	358/18986	0.05865921787709497	2.8266596716104697	5.079329604071727	2.0722495256968417e-5	0.0046037125718370805	0.004185934076705772	ANGPT2/CYGB/ATP6/CYTB/COX2/ND4/ND1/EGLN1/COX1/ND5/CA9/MTCO2P12/ND2/PDLIM1/FOS/CD38/CCNA2/NOS2/F7/PTGS2/HILPDA	21
GO:0036293	response to decreased oxygen levels	20/394	331/18986	0.06042296072507553	2.9116505896606193	5.107580751454917	2.1338231537882903e-5	0.0046037125718370805	0.004185934076705772	ANGPT2/CYGB/CYTB/COX2/ND4/ND1/EGLN1/COX1/ND5/CA9/MTCO2P12/ND2/PDLIM1/FOS/CD38/CCNA2/NOS2/F7/PTGS2/HILPDA	20
GO:0009205	purine ribonucleoside triphosphate metabolic process	17/394	252/18986	0.06746031746031746	3.2507654500040286	5.236071986817955	2.2126644935386808e-5	0.0046037125718370805	0.004185934076705772	P2RX7/PFKP/ATP8/IMPDH1/ATP6/ND4/ND1/ND4L/ND5/NME5/ND3/ENO3/ND6/ND2/HSPA8/ADCY10/HSPA1B	17
GO:0009152	purine ribonucleotide biosynthetic process	13/394	156/18986	0.08333333333333333	4.01565143824027	5.505650489258288	2.3225007369133253e-5	0.0046037125718370805	0.004185934076705772	ATP8/IMPDH1/ATP6/ND4/ND1/ND4L/ND5/NME5/ND3/ND6/ND2/ADSS1/ADCY10	13
GO:0022900	electron transport chain	12/394	135/18986	0.08888888888888889	4.283361534122956	5.573252888450643	2.5147577985175463e-5	0.0047224504342687395	0.004293896695308076	COX3/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/ND6/MTCO2P12/ND2	12
GO:0009199	ribonucleoside triphosphate metabolic process	17/394	258/18986	0.06589147286821706	3.1751662534923075	5.120907907620421	2.9873181437929605e-5	0.00494644979495625	0.004497568523735887	P2RX7/PFKP/ATP8/IMPDH1/ATP6/ND4/ND1/ND4L/ND5/NME5/ND3/ENO3/ND6/ND2/HSPA8/ADCY10/HSPA1B	17
GO:0015986	proton motive force-driven ATP synthesis	9/394	77/18986	0.11688311688311688	5.632342277012327	5.929281633054499	3.024986112404419e-5	0.00494644979495625	0.004497568523735887	ATP8/ATP6/ND4/ND1/ND4L/ND5/ND3/ND6/ND2	9
