ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0044703	multi-organism reproductive process	10/135	210/18986	0.047619047619047616	6.69700176366843	7.025212271090765	2.6197061718456626e-6	0.0044853711517802404	0.00380488254310885	CRH/SLC38A2/ADCYAP1/HSD11B2/TGFB3/PNOC/TAC1/ANGPT2/MAFF/IL1B	10
GO:0044706	multi-multicellular organism process	10/135	218/18986	0.045871559633027525	6.451240231056746	6.8504572281681515	3.658540906835433e-6	0.0044853711517802404	0.00380488254310885	CRH/SLC38A2/ADCYAP1/HSD11B2/TGFB3/PNOC/TAC1/ANGPT2/MAFF/IL1B	10
GO:0070555	response to interleukin-1	7/135	116/18986	0.0603448275862069	8.486717752234995	6.844464785794607	1.924683232321812e-5	0.01435732072387795	0.01217913014097314	MYLK3/GBP1/CHI3L1/IL1RL2/PCSK1/EGR1/IL1B	7
GO:0015695	organic cation transport	7/135	120/18986	0.058333333333333334	8.203827160493827	6.69913887001187	2.398407064501779e-5	0.01435732072387795	0.01217913014097314	SLC6A12/CRH/SLC6A9/SLC38A2/SLC7A2/SLC32A1/CARTPT	7
GO:0051051	negative regulation of transport	13/135	467/18986	0.027837259100642397	3.914949639146641	5.397413844270499	2.9276755146570047e-5	0.01435732072387795	0.01217913014097314	CRH/SLC6A9/SYTL4/ANGPT1/GEM/OSTN/HAMP/CYP51A1/KCNE4/PRTN3/CARTPT/RRAD/IL1B	13
GO:0010038	response to metal ion	11/135	345/18986	0.03188405797101449	4.484079441760601	5.526726605206501	3.660921415719925e-5	0.014960965518908761	0.012691194241162407	KCNJ10/ITPKB/GIPR/MT1F/NEK7/SCN5A/PCSK1/HAMP/PENK/MT1H/VCAM1	11
GO:0035902	response to immobilization stress	4/135	28/18986	0.14285714285714285	20.091005291005292	8.554931618573239	4.3844218362103914e-5	0.0153580033462684	0.013027996313310877	CRH/FOXO4/UGT8/PENK	4
GO:0007565	female pregnancy	8/135	189/18986	0.042328042328042326	5.952890456594161	5.790957030250956	6.272250431814885e-5	0.0185580506445394	0.015742555196020375	CRH/SLC38A2/ADCYAP1/HSD11B2/TGFB3/PNOC/ANGPT2/IL1B	8
GO:0009306	protein secretion	11/135	371/18986	0.029649595687331536	4.169831286812419	5.217909837399948	7.04423356496089e-5	0.0185580506445394	0.015742555196020375	VGF/CRH/ADCYAP1/TGFB3/SYTL4/GIPR/PCSK1/CYP51A1/CARTPT/GPER1/IL1B	11
GO:0035592	establishment of protein localization to extracellular region	11/135	374/18986	0.029411764705882353	4.136383442265795	5.184100590990847	7.568536151932872e-5	0.0185580506445394	0.015742555196020375	VGF/CRH/ADCYAP1/TGFB3/SYTL4/GIPR/PCSK1/CYP51A1/CARTPT/GPER1/IL1B	11
GO:0034763	negative regulation of transmembrane transport	7/135	147/18986	0.047619047619047616	6.69700176366843	5.867878144741929	8.757708092776834e-5	0.01865396510105523	0.01582391819339106	SLC6A9/GEM/OSTN/HAMP/KCNE4/RRAD/IL1B	7
GO:0071692	protein localization to extracellular region	11/135	382/18986	0.028795811518324606	4.049757611014156	5.095641056225517	9.133233372070114e-5	0.01865396510105523	0.01582391819339106	VGF/CRH/ADCYAP1/TGFB3/SYTL4/GIPR/PCSK1/CYP51A1/CARTPT/GPER1/IL1B	11
GO:0051047	positive regulation of secretion	10/135	322/18986	0.031055900621118012	4.3676098458707155	5.157655515202392	1.038374594572653e-4	0.01865396510105523	0.01582391819339106	CRH/ADCYAP1/TGFB3/SYTL4/GIPR/ALOX12B/PCSK1/CARTPT/GPER1/IL1B	10
GO:0030073	insulin secretion	8/135	206/18986	0.038834951456310676	5.4616325062927	5.448595911099861	1.143849774590647e-4	0.01865396510105523	0.01582391819339106	VGF/CRH/ADCYAP1/SYTL4/GIPR/CARTPT/GPER1/IL1B	8
GO:0003333	amino acid transmembrane transport	6/135	108/18986	0.05555555555555555	7.813168724279835	6.008803739774565	1.2215431686522993e-4	0.01865396510105523	0.01582391819339106	SLC6A12/SLC6A9/SLC38A2/KCNJ10/SLC7A2/SLC32A1	6
GO:0009914	hormone transport	10/135	330/18986	0.030303030303030304	4.261728395061729	5.058252281334406	1.2695213088955364e-4	0.01865396510105523	0.01582391819339106	VGF/CRH/ADCYAP1/SYTL4/GIPR/SLCO4A1/FOXD1/CARTPT/GPER1/IL1B	10
GO:0032413	negative regulation of ion transmembrane transporter activity	5/135	70/18986	0.07142857142857142	10.045502645502646	6.416113834596679	1.4097863375727926e-4	0.01865396510105523	0.01582391819339106	SLC6A9/GEM/HAMP/KCNE4/RRAD	5
GO:0043410	positive regulation of MAPK cascade	12/135	472/18986	0.025423728813559324	3.5755178907721286	4.79502006608949	1.4136212978354052e-4	0.01865396510105523	0.01582391819339106	ADCYAP1/TGFB3/LPAR1/ADRA1D/NPNT/ANGPT1/IQGAP3/ALOX12B/CHI3L1/CARTPT/GPER1/IL1B	12
GO:0050708	regulation of protein secretion	9/135	272/18986	0.03308823529411765	4.6534313725490195	5.1357879209861474	1.4454540657424526e-4	0.01865396510105523	0.01582391819339106	CRH/TGFB3/SYTL4/GIPR/PCSK1/CYP51A1/CARTPT/GPER1/IL1B	9
GO:0007218	neuropeptide signaling pathway	6/135	113/18986	0.05309734513274336	7.467453294001967	5.835217401695853	1.566832254346461e-4	0.01920936343828761	0.016295055445203193	ADCYAP1/PNOC/TAC1/PDYN/PENK/CARTPT	6
GO:0043269	regulation of monoatomic ion transport	12/135	480/18986	0.025	3.5159259259259263	4.724623202976493	1.652188087036885e-4	0.01929126280673544	0.016364529623984384	CRH/SLC6A9/KCNJ10/HSPA2/CXCR4/SCN5A/GEM/HAMP/KCNE4/KCNG2/GPER1/RRAD	12
GO:0034762	regulation of transmembrane transport	12/135	487/18986	0.024640657084188913	3.465389002966005	4.664239012402352	1.8884424841958373e-4	0.020382792693295532	0.01729046035972867	CRH/SLC6A9/KCNJ10/HSPA2/SCN5A/GEM/OSTN/HAMP/KCNE4/GPER1/RRAD/IL1B	12
GO:0009612	response to mechanical stimulus	8/135	222/18986	0.036036036036036036	5.0680013346680015	5.1594077310759365	1.9119259051623053e-4	0.020382792693295532	0.01729046035972867	SLC38A2/PIEZO2/CXCR4/KRT5/CHI3L1/ANGPT2/MDK/IL1B	8
GO:0007204	positive regulation of cytosolic calcium ion concentration	7/135	170/18986	0.041176470588235294	5.790936819172113	5.309898754961574	2.1593851300647301e-4	0.022061718078827994	0.01871467112722766	ADCYAP1/LPAR1/CXCR4/ADRA1D/GIPR/TAC1/GPER1	7
GO:1903532	positive regulation of secretion by cell	9/135	298/18986	0.030201342281879196	4.247427293064877	4.781576891801746	2.8490538335729465e-4	0.027943519999683458	0.023704127895326912	CRH/ADCYAP1/TGFB3/SYTL4/GIPR/PCSK1/CARTPT/GPER1/IL1B	9
GO:0051223	regulation of protein transport	11/135	446/18986	0.02466367713004484	3.4686264740076393	4.464501105696683	3.4909557260267876e-4	0.03292239784699109	0.0279276458082143	CRH/TGFB3/SYTL4/GIPR/ANGPT1/PCSK1/CYP51A1/SFN/CARTPT/GPER1/IL1B	11
GO:0032412	regulation of monoatomic ion transmembrane transporter activity	7/135	188/18986	0.03723404255319149	5.236485421591804	4.940078004449885	3.978785648711812e-4	0.03400715166486204	0.028847828492215753	CRH/SLC6A9/HSPA2/GEM/HAMP/KCNE4/RRAD	7
GO:0071347	cellular response to interleukin-1	5/135	88/18986	0.056818181818181816	7.9907407407407405	5.562392081977414	4.1205200987829555e-4	0.03400715166486204	0.028847828492215753	MYLK3/GBP1/IL1RL2/EGR1/IL1B	5
GO:0030072	peptide hormone secretion	8/135	250/18986	0.032	4.500385185185185	4.714681842043044	4.251264735677424e-4	0.03400715166486204	0.028847828492215753	VGF/CRH/ADCYAP1/SYTL4/GIPR/CARTPT/GPER1/IL1B	8
GO:0043949	regulation of cAMP-mediated signaling	3/135	21/18986	0.14285714285714285	20.091005291005292	7.407420687673198	4.2573819688568055e-4	0.03400715166486204	0.028847828492215753	CRH/LPAR1/GIPR	3
GO:0001837	epithelial to mesenchymal transition	7/135	192/18986	0.036458333333333336	5.127391975308642	4.8643151780751825	4.514578327610385e-4	0.03400715166486204	0.028847828492215753	S100A4/TGFB3/SFRP2/MDK/MIR149/TGFBR3L/IL1B	7
GO:0046879	hormone secretion	9/135	319/18986	0.02821316614420063	3.967816091954023	4.523765158464647	4.678642647613292e-4	0.03400715166486204	0.028847828492215753	VGF/CRH/ADCYAP1/SYTL4/GIPR/FOXD1/CARTPT/GPER1/IL1B	9
