ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006882	intracellular zinc ion homeostasis	5/66	37/18986	0.13513513513513514	38.873873873873876	13.619593489840451	1.7400611397860272e-7	2.796278251636146e-4	2.2071301825706978e-4	MT1F/MT1H/MT1G/S100A9/S100A8	5
GO:0097501	stress response to metal ion	4/66	21/18986	0.19047619047619047	54.79365079365079	14.56736311019337	7.623219554631261e-7	6.010180189976367e-4	4.7438948867923377e-4	MT1F/MT1H/MT1G/SLC11A1	4
GO:0061687	detoxification of inorganic compound	4/66	23/18986	0.17391304347826086	50.028985507246375	13.895686421986648	1.1220000354654078e-6	6.010180189976367e-4	4.7438948867923377e-4	MT1F/MT1H/MT1G/SLC11A1	4
GO:0098754	detoxification	7/66	167/18986	0.041916167664670656	12.057884231536924	8.477127316166088	1.8081960963807633e-6	6.501837254585752e-4	5.131964688550637e-4	MT1F/MT1H/MT1G/HBB/S100A9/HBA2/SLC11A1	7
GO:0071276	cellular response to cadmium ion	4/66	27/18986	0.14814814814814814	42.61728395061728	12.780993233183388	2.200606554046761e-6	6.501837254585752e-4	5.131964688550637e-4	MT1F/MT1H/MT1G/SLC11A1	4
GO:0046942	carboxylic acid transport	9/66	357/18986	0.025210084033613446	7.2521008403361344	7.043394491213658	3.825682243611058e-6	6.501837254585752e-4	5.131964688550637e-4	SLC38A2/SLC43A2/SLC16A6/AKR1C1/NOS2/SLCO4A1/SLC6A20/SLC11A1/IL1B	9
GO:0015849	organic acid transport	9/66	358/18986	0.025139664804469275	7.231843575418995	7.030587939278143	3.9136641469595525e-6	6.501837254585752e-4	5.131964688550637e-4	SLC38A2/SLC43A2/SLC16A6/AKR1C1/NOS2/SLCO4A1/SLC6A20/SLC11A1/IL1B	9
GO:0015711	organic anion transport	10/66	462/18986	0.021645021645021644	6.226551226551226	6.717157251865266	4.116471440962032e-6	6.501837254585752e-4	5.131964688550637e-4	SLC38A2/SLC43A2/SLC16A6/SLC39A12/AKR1C1/NOS2/SLCO4A1/SLC6A20/SLC11A1/IL1B	10
GO:0034605	cellular response to heat	5/66	69/18986	0.07246376811594203	20.845410628019327	9.75383052576373	4.1179305275987755e-6	6.501837254585752e-4	5.131964688550637e-4	CHORDC1/HSPA1A/HSPA6/DNAJB1/HSPA1B	5
GO:0051092	positive regulation of NF-kappaB transcription factor activity	6/66	122/18986	0.04918032786885246	14.147540983606557	8.604472624755005	4.125285005504832e-6	6.501837254585752e-4	5.131964688550637e-4	LTF/HSPA1A/S100A9/S100A8/HSPA1B/IL1B	6
GO:0051085	chaperone cofactor-dependent protein refolding	4/66	32/18986	0.125	35.958333333333336	11.689393340552071	4.450541991315698e-6	6.501837254585752e-4	5.131964688550637e-4	HSPA1A/HSPA6/DNAJB1/HSPA1B	4
GO:0061077	chaperone-mediated protein folding	5/66	76/18986	0.06578947368421052	18.92543859649123	9.247993693235685	6.6438004289638414e-6	8.897156074454077e-4	7.022613611317043e-4	CHORDC1/HSPA1A/HSPA6/DNAJB1/HSPA1B	5
GO:0051091	positive regulation of DNA-binding transcription factor activity	7/66	208/18986	0.03365384615384615	9.6810897435897445	7.435290623926395	7.712368341084738e-6	9.533673787787057e-4	7.52502336113936e-4	LTF/HSPA1A/S100A9/NEUROG2/S100A8/HSPA1B/IL1B	7
GO:0090084	negative regulation of inclusion body assembly	3/66	12/18986	0.25	71.91666666666667	14.513634816247281	8.631613247770123e-6	9.907858920833277e-4	7.820371401175187e-4	HSPA1A/DNAJB1/HSPA1B	3
