ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0045785	positive regulation of cell adhesion	105/1374	499/18986	0.21042084168336672	2.9076056042215437	12.061462489856957	7.12516385919885e-24	4.004342088869754e-20	2.6048099034734325e-20	NPNT/ANGPT1/TGFBR2/PTAFR/ITGA6/HLA-DOA/CCDC80/HLA-DMB/ITPKB/HAVCR2/ECM2/ZFHX3/IL6R/NCKAP1L/LEF1/PRKCE/DOCK5/CD86/RREB1/CR1/HLA-DPB1/FN1/SYK/SPN/THY1/TESPA1/ITGB2/ANXA1/CAV1/MMRN1/CSF1/CD44/SFRP1/IL1RL2/F11R/PTK2B/HLA-DMA/IL7R/MAP4K4/BCL6/SASH3/IL18/EMP2/PTPRC/ITGA5/HLA-DPA1/PREX1/HLA-DRA/LGALS9/CD74/UNC13D/VWC2/CXCL12/COL8A1/YWHAG/APBB1IP/PDPN/S100A10/ACTL6B/FLNA/OLFM4/HLA-E/PODXL/ETS1/TGFB1/EPHA4/LILRB4/HTR2A/ERBB2/KDR/TGM2/RUNX3/FSTL3/TRIOBP/SOX13/ZBTB7B/LAMB2/GLI2/FOXF1/NID1/CASS4/HLA-DRB1/IL4R/EMILIN1/JUP/VSIR/LILRB2/PRKD2/TNFSF18/LILRB1/PIEZO1/RASAL3/PCK1/RRAS/NOD2/HLA-DQA1/VCAM1/EBI3/HLA-DQB1/EGFLAM/IGF1/ICOSLG/HLA-DRB5/IL1B/SELE	105
GO:0031589	cell-substrate adhesion	80/1374	361/18986	0.22160664819944598	3.0621716322523156	11.049041308360572	7.205725830506442e-20	2.0248089583723102e-16	1.3171308320709933e-16	NPNT/ANGPT1/ANTXR1/PRKX/ITGB1/ITGA6/CCDC80/ECM2/POPDC1/HPSE/PRKCE/DOCK5/ITGB5/RREB1/SIGLEC1/FN1/THY1/ITGAX/MMP14/ITGB2/TLN1/PARVG/SERPINE1/CSF1/STON1/ITGB4/CD44/SFRP1/PTK2B/GBP1/FZD7/ITGA10/MAP4K4/BCL6/CDK5/DDR1/EMP2/ITGA5/PREX1/UNC13D/ITGAL/VWC2/COL8A1/FAM107A/ITGA1/PDPN/S100A10/ANXA2/FLNA/OLFM4/NOTCH1/KDR/PXN/TRIOBP/FOXF1/NID1/CASS4/MICALL2/AJUBA/EMILIN1/JUP/COL3A1/FERMT3/SORBS3/CD34/LAMA5/ANGPT2/TNXB/COL1A1/BCAM/RRAS/SMAD6/VWF/ACVRL1/VCAM1/BST1/ITGBL1/WNT1/EGFLAM/PLAU	80
GO:0002064	epithelial cell development	58/1374	219/18986	0.2648401826484018	3.6595747509188916	11.056843444231175	1.4632301900126256e-18	2.7411178892903185e-15	1.783087175408368e-15	VEZF1/PALLD/VIM/RDX/HPSE/FOXJ1/S1PR3/B4GALT1/YAP1/PGR/CEBPA/MSN/PECAM1/ROS1/PLCB1/HEG1/TNFRSF1A/F11R/NOTCH2/CLIC4/CXCR4/SOX9/COL27A1/SIPA1/RAB13/GATA2/FLNA/SOX8/PODXL/PLOD3/TGFB1/NOTCH1/KDR/FRZB/BMP5/GJA1/LAMB2/MARVELD2/GPR4/COL18A1/NKX2-2/CLDN5/TFCP2L1/SMO/CDH5/PLEC/F2RL1/BMP6/ICAM1/EPAS1/SOX18/CDKN1A/EPHA2/ROBO4/DACT2/STC1/VSIG1/IL1B	58
GO:0042060	wound healing	87/1374	444/18986	0.19594594594594594	2.7075907785514772	10.169306246667643	7.020582369134454e-18	9.863918228633907e-15	6.416442781053673e-15	ADTRP/ANO6/ITGB1/DDR2/AHNAK/CD109/ADIPOR2/FGF1/IL6R/HPSE/PRKCE/RAB3A/B4GALT1/YAP1/ITGB5/RREB1/PAK1/FN1/MYOF/SYK/PRRG4/TLN1/SERPINE1/ANXA1/CAV1/MMRN1/CD44/F11R/NOTCH2/FZD7/NFATC1/DSP/GNA12/CXCR4/DDR1/ITGA5/C1QTNF1/CLEC7A/PEAR1/DRD5/PDPN/S100A10/ANXA2/GATA2/FLNA/CLIC1/THBD/TGFB1/HTR2A/NOTCH4/ENTPD2/ERBB2/KDR/OCLN/TSPAN8/JAML/GPR4/CNN2/ITPR3/TFPI/AQP1/AJUBA/EMILIN1/COL3A1/FERMT3/SMOC2/NOS3/CD34/PLEC/F2RL1/HSPB1/TIMP1/FCER1G/ENG/TNFRSF12A/PROCR/VWF/F13A1/ACVRL1/SERPINA1/CDKN1A/TSKU/SLC11A1/ADRA2B/MYL9/IGF1/PLAU	87
GO:0030198	extracellular matrix organization	70/1374	339/18986	0.20648967551622419	2.853284555568437	9.616826899830206	7.779573237094667e-16	7.513036386523175e-13	4.887202729049445e-13	GFAP/NPNT/COL12A1/ADTRP/COL24A1/AEBP1/ANTXR1/ITGB1/DDR2/TGFBR3/CCDC80/ADAMTSL1/CTSS/RXFP1/ECM2/CRTAP/COL8A2/B4GALT1/FOXC1/MMP14/CAV1/TNFRSF1A/TGFBI/TNFRSF1B/MMP2/ADAMTS2/LCP1/DDR1/SOX9/COL1A2/COL19A1/ADAMTS3/COL27A1/TNFRSF11B/COL8A1/ELN/PDPN/COL5A2/ANXA2/COL14A1/ADAMTS1/OLFML2A/PLOD3/TGFB1/NFKB2/CHADL/TIE1/VWA1/NOTCH1/KLK7/PHLDB1/LAMB2/COL18A1/FOXF1/NID1/EMILIN1/THSD4/HPN/MFAP4/COL3A1/SMOC2/TNXB/COL1A1/MYH11/SERPINH1/BCL3/COL4A6/ENG/LUM/EGFLAM	70
GO:0043062	extracellular structure organization	70/1374	340/18986	0.20588235294117646	2.844892542169706	9.587646709426723	9.124895345521233e-16	7.513036386523175e-13	4.887202729049445e-13	GFAP/NPNT/COL12A1/ADTRP/COL24A1/AEBP1/ANTXR1/ITGB1/DDR2/TGFBR3/CCDC80/ADAMTSL1/CTSS/RXFP1/ECM2/CRTAP/COL8A2/B4GALT1/FOXC1/MMP14/CAV1/TNFRSF1A/TGFBI/TNFRSF1B/MMP2/ADAMTS2/LCP1/DDR1/SOX9/COL1A2/COL19A1/ADAMTS3/COL27A1/TNFRSF11B/COL8A1/ELN/PDPN/COL5A2/ANXA2/COL14A1/ADAMTS1/OLFML2A/PLOD3/TGFB1/NFKB2/CHADL/TIE1/VWA1/NOTCH1/KLK7/PHLDB1/LAMB2/COL18A1/FOXF1/NID1/EMILIN1/THSD4/HPN/MFAP4/COL3A1/SMOC2/TNXB/COL1A1/MYH11/SERPINH1/BCL3/COL4A6/ENG/LUM/EGFLAM	70
GO:0045229	external encapsulating structure organization	70/1374	341/18986	0.20527859237536658	2.8365497487909095	9.558572123546876	1.0694713717470713e-15	7.513036386523175e-13	4.887202729049445e-13	GFAP/NPNT/COL12A1/ADTRP/COL24A1/AEBP1/ANTXR1/ITGB1/DDR2/TGFBR3/CCDC80/ADAMTSL1/CTSS/RXFP1/ECM2/CRTAP/COL8A2/B4GALT1/FOXC1/MMP14/CAV1/TNFRSF1A/TGFBI/TNFRSF1B/MMP2/ADAMTS2/LCP1/DDR1/SOX9/COL1A2/COL19A1/ADAMTS3/COL27A1/TNFRSF11B/COL8A1/ELN/PDPN/COL5A2/ANXA2/COL14A1/ADAMTS1/OLFML2A/PLOD3/TGFB1/NFKB2/CHADL/TIE1/VWA1/NOTCH1/KLK7/PHLDB1/LAMB2/COL18A1/FOXF1/NID1/EMILIN1/THSD4/HPN/MFAP4/COL3A1/SMOC2/TNXB/COL1A1/MYH11/SERPINH1/BCL3/COL4A6/ENG/LUM/EGFLAM	70
GO:0070661	leukocyte proliferation	70/1374	341/18986	0.20527859237536658	2.8365497487909095	9.558572123546876	1.0694713717470713e-15	7.513036386523175e-13	4.887202729049445e-13	NFATC2/TGFBR2/DOCK2/HLA-DMB/HAVCR2/NCKAP1L/LEF1/FOXJ1/CD86/INPP5D/CR1/MSN/HLA-DPB1/CD180/SYK/SPN/ANXA1/CSF1/HHEX/TNFRSF1B/IL7R/BCL6/TP53/TREM2/SASH3/IL18/EMP2/PTPRC/HLA-DPA1/SLC4A2/LGALS9/CD74/CD22/BTK/CSF2RB/SLC39A10/HLA-E/TCIRG1/TGFB1/IRF1/LILRB4/ERBB2/MEF2C/TYROBP/ZBTB7B/GJA1/FCGR2B/ELF4/LRRC32/CNN2/HLA-DRB1/TCF3/GPNMB/VSIR/LILRB2/TNFSF18/LILRB1/RASAL3/F2RL1/PRLR/VCAM1/CDKN1A/EBI3/BST1/TNFSF8/SLC11A1/IGF1/ICOSLG/GAPT/IL1B	70
GO:0032943	mononuclear cell proliferation	65/1374	305/18986	0.21311475409836064	2.9448302192951057	9.563698630035471	1.7136209379284947e-15	1.0700610745731267e-12	6.960708207515394e-13	NFATC2/TGFBR2/DOCK2/HLA-DMB/HAVCR2/NCKAP1L/LEF1/FOXJ1/CD86/INPP5D/CR1/MSN/HLA-DPB1/CD180/SYK/SPN/ANXA1/CSF1/TNFRSF1B/IL7R/BCL6/TP53/SASH3/IL18/EMP2/PTPRC/HLA-DPA1/SLC4A2/LGALS9/CD74/CD22/BTK/SLC39A10/HLA-E/TGFB1/IRF1/LILRB4/ERBB2/MEF2C/TYROBP/ZBTB7B/GJA1/FCGR2B/ELF4/LRRC32/CNN2/HLA-DRB1/TCF3/GPNMB/VSIR/LILRB2/TNFSF18/LILRB1/RASAL3/PRLR/VCAM1/CDKN1A/EBI3/BST1/TNFSF8/SLC11A1/IGF1/ICOSLG/GAPT/IL1B	65
GO:0046651	lymphocyte proliferation	63/1374	297/18986	0.21212121212121213	2.93110140708394	9.368813669976483	5.906115719403736e-15	3.3192370343048996e-12	2.159151567735703e-12	NFATC2/TGFBR2/DOCK2/HLA-DMB/HAVCR2/NCKAP1L/LEF1/FOXJ1/CD86/INPP5D/CR1/MSN/HLA-DPB1/CD180/SYK/SPN/ANXA1/TNFRSF1B/IL7R/BCL6/TP53/SASH3/IL18/EMP2/PTPRC/HLA-DPA1/SLC4A2/LGALS9/CD74/CD22/BTK/SLC39A10/HLA-E/TGFB1/IRF1/LILRB4/ERBB2/MEF2C/TYROBP/ZBTB7B/GJA1/FCGR2B/ELF4/LRRC32/HLA-DRB1/TCF3/GPNMB/VSIR/LILRB2/TNFSF18/LILRB1/RASAL3/PRLR/VCAM1/CDKN1A/EBI3/BST1/TNFSF8/SLC11A1/IGF1/ICOSLG/GAPT/IL1B	63
