ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0070482	response to oxygen levels	18/161	358/18986	0.05027932960893855	5.929213366182033	8.707365253295286	1.575302004375384e-9	4.480158900443592e-6	3.6115871216100908e-6	VCAM1/CXCR4/DDIT4/CYTB/ND5/THBS1/LPAR1/COX1/HSD11B2/PGF/ATP6/ND4/ANGPT2/COX2/ND1/DIO3/ND2/DRD2	18
GO:0006119	oxidative phosphorylation	12/161	149/18986	0.08053691275167785	9.497352953436993	9.629897609722125	5.3358914257766816e-9	6.07774699954886e-6	4.899449613227262e-6	NUPR1/CYTB/ND5/COX1/ND3/ATP6/ND4/COX2/ND1/ND2/COX3/ND4L	12
GO:0019646	aerobic electron transport chain	10/161	93/18986	0.10752688172043011	12.680157617044012	10.442162843859906	6.411125526950274e-9	6.07774699954886e-6	4.899449613227262e-6	CYTB/ND5/COX1/ND3/ND4/COX2/ND1/ND2/COX3/ND4L	10
GO:0001666	response to hypoxia	16/161	317/18986	0.050473186119873815	5.952073985539902	8.222558540608448	1.272298513918687e-8	6.819093955479757e-6	5.497071076702535e-6	VCAM1/CXCR4/DDIT4/CYTB/ND5/THBS1/COX1/HSD11B2/PGF/ND4/ANGPT2/COX2/ND1/DIO3/ND2/DRD2	16
GO:0042773	ATP synthesis coupled electron transport	10/161	101/18986	0.09900990099009901	11.675788696882112	9.948392420474592	1.4386274167678811e-8	6.819093955479757e-6	5.497071076702535e-6	CYTB/ND5/COX1/ND3/ND4/COX2/ND1/ND2/COX3/ND4L	10
GO:0042775	mitochondrial ATP synthesis coupled electron transport	10/161	101/18986	0.09900990099009901	11.675788696882112	9.948392420474592	1.4386274167678811e-8	6.819093955479757e-6	5.497071076702535e-6	CYTB/ND5/COX1/ND3/ND4/COX2/ND1/ND2/COX3/ND4L	10
GO:0036293	response to decreased oxygen levels	16/161	331/18986	0.04833836858006042	5.700324632677188	7.978017240332544	2.332861034501543e-8	9.478081117317697e-6	7.640558395705806e-6	VCAM1/CXCR4/DDIT4/CYTB/ND5/THBS1/COX1/HSD11B2/PGF/ND4/ANGPT2/COX2/ND1/DIO3/ND2/DRD2	16
GO:0022904	respiratory electron transport chain	10/161	125/18986	0.08	9.434037267080747	8.749009960561146	1.1160642229137049e-7	3.967608312458221e-5	3.1984051019816434e-5	CYTB/ND5/COX1/ND3/ND4/COX2/ND1/ND2/COX3/ND4L	10
GO:0009060	aerobic respiration	12/161	200/18986	0.06	7.075527950310558	7.987899797445666	1.4175285775001125e-7	4.479390304900355e-5	3.6109675342634445e-5	NUPR1/CYTB/ND5/COX1/ND3/ATP6/ND4/COX2/ND1/ND2/COX3/ND4L	12
GO:0022900	electron transport chain	10/161	135/18986	0.07407407407407407	8.73521969174143	8.341095366807899	2.304831157207888e-7	6.554939811099233e-5	5.284128695156611e-5	CYTB/ND5/COX1/ND3/ND4/COX2/ND1/ND2/COX3/ND4L	10
GO:0034763	negative regulation of transmembrane transport	10/161	147/18986	0.06802721088435375	8.022140533231926	7.904055977712156	5.094502461572032e-7	1.317160454610078e-4	1.0618015656750129e-4	RRAD/GEM/OSTN/KCNE4/FABP5/IL1B/THBS1/RGS4/HAMP/DRD2	10
GO:1902600	proton transmembrane transport	11/161	195/18986	0.05641025641025641	6.652205765249243	7.336874146197546	8.820880491899694e-7	2.0905486765802276e-4	1.6852524308208364e-4	SLC4A11/CYTB/ND5/ND3/ATP6/ND4/COX2/ND1/ND2/COX3/ND4L	11
GO:0045333	cellular respiration	12/161	249/18986	0.04819277108433735	5.683154980169124	6.879215613531618	1.4721790918865514e-6	3.2206748748656554e-4	2.596280212250128e-4	NUPR1/CYTB/ND5/COX1/ND3/ATP6/ND4/COX2/ND1/ND2/COX3/ND4L	12
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	7/161	68/18986	0.10294117647058823	12.13938618925831	8.509986140462994	1.7376408137019974e-6	3.529893195834629e-4	2.845550144543572e-4	ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	7
GO:0046034	ATP metabolic process	11/161	228/18986	0.04824561403508772	5.689386509752642	6.587808007827479	4.043051910361144e-6	7.188002339595073e-4	5.794458914663582e-4	NUPR1/HSPA1A/DDIT4/HSPA1B/ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	11
GO:0015986	proton motive force-driven ATP synthesis	7/161	77/18986	0.09090909090909091	10.720496894409937	7.90406119198993	4.043883172767973e-6	7.188002339595073e-4	5.794458914663582e-4	ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	7
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	6/161	51/18986	0.11764705882352941	13.873584216295212	8.51339253074292	4.44940392768756e-6	7.443591041378482e-4	6.000496442417031e-4	ND5/ND3/ND4/ND1/ND2/ND4L	6
GO:0009205	purine ribonucleoside triphosphate metabolic process	11/161	252/18986	0.04365079365079365	5.1475401754904855	6.129518502054678	1.0458666497967115e-5	0.001652469306678804	0.0013321038381621272	NUPR1/HSPA1A/DDIT4/HSPA1B/ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	11
GO:0009199	ribonucleoside triphosphate metabolic process	11/161	258/18986	0.04263565891472868	5.0278299388511725	6.024014723186344	1.3039185704411318e-5	0.0019224178477403916	0.0015497172523423542	NUPR1/HSPA1A/DDIT4/HSPA1B/ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	11
GO:0009144	purine nucleoside triphosphate metabolic process	11/161	259/18986	0.04247104247104247	5.008417468044797	6.006748784372808	1.3519112853307959e-5	0.0019224178477403916	0.0015497172523423542	NUPR1/HSPA1A/DDIT4/HSPA1B/ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	11
GO:0046688	response to copper ion	5/161	37/18986	0.13513513513513514	15.93587376196072	8.409866364197436	1.442331634540769e-5	0.001953329127920927	0.0015746357393633056	MT1F/CYTB/MT1H/COX1/MT1G	5
GO:0009612	response to mechanical stimulus	10/161	222/18986	0.04504504504504504	5.3119579206535725	5.976391445425072	2.0340855112623185e-5	0.00260248977880894	0.002097943126155108	CXCR4/IGFBP2/IL1B/CHI3L1/THBS1/EGFR/KRT5/TNC/ANGPT2/DRD2	10
GO:0009141	nucleoside triphosphate metabolic process	11/161	274/18986	0.040145985401459854	4.734234030013148	5.757944250952934	2.2795267750066226e-5	0.00260248977880894	0.002097943126155108	NUPR1/HSPA1A/DDIT4/HSPA1B/ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	11
GO:0006754	ATP biosynthetic process	7/161	100/18986	0.07	8.254782608695653	6.7267479781704385	2.2871578467794226e-5	0.00260248977880894	0.002097943126155108	ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	7
GO:0050878	regulation of body fluid levels	13/161	381/18986	0.03412073490813648	4.023703558794281	5.51362986353308	2.2877019855915436e-5	0.00260248977880894	0.002097943126155108	CSRP1/AQP6/APLN/DGKK/F3/PRLR/THBS1/EGFR/HSD11B2/HSPB1/COX2/ALOX12B/DRD2	13
GO:0045926	negative regulation of growth	10/161	232/18986	0.04310344827586207	5.082994217177126	5.786641105799569	2.9664517869644892e-5	0.0031786712665332825	0.00256241987508679	MT1F/OSTN/HSPA1A/MSX1/SFRP2/HSPA1B/MT1H/RGS4/ALOX15B/MT1G	10
GO:0048732	gland development	14/161	450/18986	0.03111111111111111	3.668792270531401	5.298632072739563	3.0545213688295296e-5	0.0031786712665332825	0.00256241987508679	GLI1/IQGAP3/APLN/MSX1/MET/PRLR/PCSK1/EGFR/ALOX15B/TBX3/CRH/TNC/COX2/DRD2	14
GO:0009410	response to xenobiotic stimulus	14/161	451/18986	0.031042128603104215	3.660657476139979	5.288490038575195	3.1294935113548493e-5	0.0031786712665332825	0.00256241987508679	AKR1C1/CXCR4/IGFBP2/MCM7/IL1B/SFRP2/CYTB/PCSK1/THBS1/EGFR/HSD11B2/CRH/ND1/DRD2	14
GO:0048545	response to steroid hormone	12/161	340/18986	0.03529411764705882	4.162075264888564	5.440885265785453	3.432557865420633e-5	0.003366273989398718	0.0027136519168370742	KANK2/IGFBP2/HSPA1A/DDIT4/HSPA1B/PCSK1/THBS1/EGFR/HSD11B2/ND3/CRH/GPER1	12
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	7/161	111/18986	0.06306306306306306	7.436741088915002	6.28977045262722	4.4894937829929025e-5	0.004256040106277272	0.0034309184067924706	ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	7
GO:0009145	purine nucleoside triphosphate biosynthetic process	7/161	112/18986	0.0625	7.370341614906832	6.253029890179153	4.755060408386211e-5	0.004362384452080769	0.0035166456942156764	ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	7
GO:0015980	energy derivation by oxidation of organic compounds	12/161	356/18986	0.033707865168539325	3.9750157024216626	5.240329317597527	5.353697435553966e-5	0.004758098595848587	0.0038356424390251767	NUPR1/CYTB/ND5/COX1/ND3/ATP6/ND4/COX2/ND1/ND2/COX3/ND4L	12
GO:0031960	response to corticosteroid	8/161	156/18986	0.05128205128205128	6.047459786590221	5.854108307016348	5.6325050861220096e-5	0.004854195292403332	0.003913108796674238	IGFBP2/DDIT4/PCSK1/EGFR/HSD11B2/ND3/CRH/GPER1	8
GO:0009201	ribonucleoside triphosphate biosynthetic process	7/161	116/18986	0.0603448275862069	7.116191904047977	6.110473913844378	5.949461755363924e-5	0.004976549774192647	0.004011742322966757	ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	7
GO:0042026	protein refolding	4/161	27/18986	0.14814814814814814	17.47043938348286	7.920089697729348	7.508282833927979e-5	0.00604068207650058	0.004869570494713991	HSPA1A/HSPA1B/HSPA6/HSPB1	4
GO:0006091	generation of precursor metabolites and energy	14/161	490/18986	0.02857142857142857	3.3692990239574088	4.913938915058204	7.646433008228582e-5	0.00604068207650058	0.004869570494713991	NUPR1/DDIT4/VGF/CYTB/ND5/COX1/ND3/ATP6/ND4/COX2/ND1/ND2/COX3/ND4L	14
GO:2001236	regulation of extrinsic apoptotic signaling pathway	8/161	164/18986	0.04878048780487805	5.752461748219966	5.652732260919634	8.009295048257335e-5	0.006156333815471314	0.004962800743984203	HSPA1A/IL1B/SFRP2/HSPA1B/THBS1/G0S2/GPER1/TNFRSF12A	8
GO:0009142	nucleoside triphosphate biosynthetic process	7/161	124/18986	0.056451612903225805	6.657082748948106	5.844673430155012	9.077050172806368e-5	0.006793455445121397	0.005476403123648828	ND5/ND3/ATP6/ND4/ND1/ND2/ND4L	7
GO:0032275	luteinizing hormone secretion	3/161	11/18986	0.2727272727272727	32.161490683229815	9.5603638623874	9.394368906684386e-5	0.006850662864259075	0.005522519697370739	FOXD1/TBX3/CRH	3
GO:0050920	regulation of chemotaxis	9/161	216/18986	0.041666666666666664	4.913561076604554	5.349554317666292	9.688000859714712e-5	0.0068881686112571595	0.0055527541769628	CXCR4/DUSP1/F3/MET/THBS1/LPAR1/PGF/HSPB1/ANGPT2	9
GO:0030856	regulation of epithelial cell differentiation	8/161	172/18986	0.046511627906976744	5.484905387837642	5.464213823667742	1.1164826350276083e-4	0.007744577107362238	0.006243130113196741	FOXJ1/MSX1/IL1B/PRLR/ATOH8/ALOX15B/TBX3/MAFF	8
GO:0045471	response to ethanol	7/161	129/18986	0.05426356589147287	6.399056285810583	5.690195082609649	1.1634376584385735e-4	0.00787813500142691	0.006350795037792514	VCAM1/CYTB/RGS4/CRH/TNC/ND4/DRD2	7
GO:0090084	negative regulation of inclusion body assembly	3/161	12/18986	0.25	29.481366459627328	9.126888458597106	1.2447870766008385e-4	0.008232963827564615	0.006636832932280602	HSPA1A/DNAJB1/HSPA1B	3
GO:0009266	response to temperature stimulus	8/161	176/18986	0.045454545454545456	5.3602484472049685	5.3743249095589665	1.3091762364963083e-4	0.008462039128626139	0.006821497232270238	CXCR4/HSPA1A/DNAJB1/HSPA1B/VGF/THBS1/HSPA6/HSPB1	8
GO:0051384	response to glucocorticoid	7/161	134/18986	0.05223880597014925	6.160285528877352	5.543680118064085	1.4748700578277134e-4	0.009202917146891207	0.007418740671377987	IGFBP2/DDIT4/PCSK1/EGFR/HSD11B2/ND3/CRH	7
GO:0051085	chaperone cofactor-dependent protein refolding	4/161	32/18986	0.125	14.740683229813664	7.19421851938168	1.4885168381047661e-4	0.009202917146891207	0.007418740671377987	HSPA1A/DNAJB1/HSPA1B/HSPA6	4
GO:2001233	regulation of apoptotic signaling pathway	12/161	403/18986	0.02977667493796526	3.5114282631814193	4.712660272576405	1.7228750308606597e-4	0.01025806631379704	0.008269327274946314	NUPR1/HSPA1A/MSX1/IL1B/SFRP2/HSPA1B/THBS1/HSPB1/FZD9/G0S2/GPER1/TNFRSF12A	12
