ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006119	oxidative phosphorylation	13/40	149/18986	0.087248322147651	41.412416107382555	22.755092816172098	2.5213982206434805e-18	2.226394628828193e-15	1.8207149256436082e-15	COX3/ATP8/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ATP6/ND6/ND4L/ND1	13
GO:0019646	aerobic electron transport chain	11/40	93/18986	0.11827956989247312	56.14139784946237	24.493187848823084	4.351680416197644e-17	1.92126690375126e-14	1.5711856660587285e-14	COX3/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ND6/ND4L/ND1	11
GO:0042773	ATP synthesis coupled electron transport	11/40	101/18986	0.10891089108910891	51.69455445544554	23.471456095679468	1.1218577989112867e-16	2.1982702154742306e-14	1.7977151669730256e-14	COX3/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ND6/ND4L/ND1	11
GO:0042775	mitochondrial ATP synthesis coupled electron transport	11/40	101/18986	0.10891089108910891	51.69455445544554	23.471456095679468	1.1218577989112867e-16	2.1982702154742306e-14	1.7977151669730256e-14	COX3/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ND6/ND4L/ND1	11
GO:0009060	aerobic respiration	13/40	200/18986	0.065	30.852250000000005	19.500755571029064	1.2447736214463368e-16	2.1982702154742306e-14	1.7977151669730256e-14	COX3/ATP8/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ATP6/ND6/ND4L/ND1	13
GO:0022904	respiratory electron transport chain	11/40	125/18986	0.088	41.7692	21.01267621010086	1.2653545464247245e-15	1.862180107488386e-13	1.5228652962234404e-13	COX3/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ND6/ND4L/ND1	11
GO:0045333	cellular respiration	13/40	249/18986	0.05220883534136546	24.780923694779116	17.356209931182384	2.1804100971352874e-15	2.750431593957798e-13	2.2492651528342968e-13	COX3/ATP8/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ATP6/ND6/ND4L/ND1	13
GO:0022900	electron transport chain	11/40	135/18986	0.08148148148148149	38.675185185185185	20.185132898212984	3.011094780400322e-15	3.323495863866856e-13	2.717909235992923e-13	COX3/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ND6/ND4L/ND1	11
GO:1902600	proton transmembrane transport	12/40	195/18986	0.06153846153846154	29.20923076923077	18.19324353257477	4.257776947584764e-15	4.1773522719081634e-13	3.416181270225905e-13	COX3/ATP8/COX2/ND5/CYTB/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1	12
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	9/40	68/18986	0.1323529411764706	62.82132352941177	23.465600594525334	1.4011401621989782e-14	1.2372067632216976e-12	1.0117706855457885e-12	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1	9
GO:0015986	proton motive force-driven ATP synthesis	9/40	77/18986	0.11688311688311688	55.47857142857142	22.009659420444777	4.526293776562165e-14	3.633379458822174e-12	2.971327780594876e-12	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1	9
GO:0015980	energy derivation by oxidation of organic compounds	13/40	356/18986	0.03651685393258427	17.332724719101122	14.29399888013674	2.1711153743015067e-13	1.5975790629235254e-11	1.306478198921784e-11	COX3/ATP8/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ATP6/ND6/ND4L/ND1	13
GO:0006754	ATP biosynthetic process	9/40	100/18986	0.09	42.7185	19.219196279071053	5.159130485389885e-13	3.5042401681532834e-11	2.8657194437064464e-11	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1	9
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	9/40	111/18986	0.08108108108108109	38.48513513513514	18.199255411028165	1.3483870629720346e-12	8.504469832887903e-11	6.954838535329442e-11	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1	9
GO:0009145	purine nucleoside triphosphate biosynthetic process	9/40	112/18986	0.08035714285714286	38.14151785714286	18.113952055822164	1.4640444401278436e-12	8.618341604219239e-11	7.047961304755795e-11	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1	9
GO:0009201	ribonucleoside triphosphate biosynthetic process	9/40	116/18986	0.07758620689655173	36.82629310344828	17.783672385227845	2.0193724727693442e-12	1.1144411834095818e-10	9.113746817893225e-11	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1	9
GO:0009142	nucleoside triphosphate biosynthetic process	9/40	124/18986	0.07258064516129033	34.450403225806454	17.170971190105718	3.714403535920841e-12	1.929304895422413e-10	1.5777590251651375e-10	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1	9
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	7/40	51/18986	0.13725490196078433	65.14803921568628	21.077172469354757	1.1452799765356163e-11	5.618234551560829e-10	4.594514993587327e-10	ND5/ND4/ND3/ND2/ND6/ND4L/ND1	7
GO:0006091	generation of precursor metabolites and energy	13/40	490/18986	0.026530612244897958	12.592755102040815	11.945994845335852	1.2264244779269674e-11	5.699646389523749e-10	4.661092475667035e-10	COX3/ATP8/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ATP6/ND6/ND4L/ND1	13
GO:0009152	purine ribonucleotide biosynthetic process	9/40	156/18986	0.057692307692307696	27.383653846153845	15.203676123827716	2.976161400058493e-11	1.3139752581258247e-9	1.0745509054948033e-9	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1	9
GO:0046034	ATP metabolic process	10/40	228/18986	0.043859649122807015	20.81798245614035	13.832800939165338	3.166860711986568e-11	1.3315895279448283e-9	1.088955613244504e-9	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1/HSPA1B	10
GO:0009260	ribonucleotide biosynthetic process	9/40	171/18986	0.05263157894736842	24.98157894736842	14.474389243537264	6.79166408097349e-11	2.725926992499814e-9	2.229225626577902e-9	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1	9
GO:0009205	purine ribonucleoside triphosphate metabolic process	10/40	252/18986	0.03968253968253968	18.83531746031746	13.096112173961313	8.483133257619271e-11	3.256785507164268e-9	2.663354423215936e-9	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1/HSPA1B	10
GO:0046390	ribose phosphate biosynthetic process	9/40	178/18986	0.05056179775280899	23.999157303370787	14.165344683969302	9.727719070519788e-11	3.578989974695405e-9	2.9268488080599016e-9	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1	9
GO:0009199	ribonucleoside triphosphate metabolic process	10/40	258/18986	0.03875968992248062	18.39728682170543	12.927728004774174	1.0686036211339347e-10	3.769416952979403e-9	3.082577373480206e-9	ATP8/ND5/ND4/ND3/ND2/ATP6/ND6/ND4L/ND1/HSPA1B	10
