ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	46/606	339/18986	0.13569321533923304	4.25127291490211	10.967752691006421	8.926418383166135e-17	1.6511678905196508e-13	1.281951006941477e-13	NPNT/ADAMTS2/FMOD/ECM2/CYP1B1/MFAP4/COL3A1/COL1A2/COL8A1/LAMC1/TNFRSF11B/THSD4/TGFBR3/PHLDB2/ANXA2/TGFB2/NDNF/SFRP2/COL1A1/OLFML2A/ADAMTSL3/CCDC80/AEBP1/FOXC1/DDR2/ANTXR1/COL9A3/LAMB2/GFAP/MYH11/FBLN1/COL27A1/TGFBI/PDPN/SULF1/ABI3BP/ADTRP/NID1/HPSE2/EGFLAM/MMP14/B4GALT1/LUM/CTSV/COL4A1/ADAMTS1	46
GO:0043062	extracellular structure organization	46/606	340/18986	0.13529411764705881	4.23876917103475	10.941968862332386	1.002124603116476e-16	1.6511678905196508e-13	1.281951006941477e-13	NPNT/ADAMTS2/FMOD/ECM2/CYP1B1/MFAP4/COL3A1/COL1A2/COL8A1/LAMC1/TNFRSF11B/THSD4/TGFBR3/PHLDB2/ANXA2/TGFB2/NDNF/SFRP2/COL1A1/OLFML2A/ADAMTSL3/CCDC80/AEBP1/FOXC1/DDR2/ANTXR1/COL9A3/LAMB2/GFAP/MYH11/FBLN1/COL27A1/TGFBI/PDPN/SULF1/ABI3BP/ADTRP/NID1/HPSE2/EGFLAM/MMP14/B4GALT1/LUM/CTSV/COL4A1/ADAMTS1	46
GO:0045229	external encapsulating structure organization	46/606	341/18986	0.1348973607038123	4.226338762908549	10.916283877467842	1.1245184271416464e-16	1.6511678905196508e-13	1.281951006941477e-13	NPNT/ADAMTS2/FMOD/ECM2/CYP1B1/MFAP4/COL3A1/COL1A2/COL8A1/LAMC1/TNFRSF11B/THSD4/TGFBR3/PHLDB2/ANXA2/TGFB2/NDNF/SFRP2/COL1A1/OLFML2A/ADAMTSL3/CCDC80/AEBP1/FOXC1/DDR2/ANTXR1/COL9A3/LAMB2/GFAP/MYH11/FBLN1/COL27A1/TGFBI/PDPN/SULF1/ABI3BP/ADTRP/NID1/HPSE2/EGFLAM/MMP14/B4GALT1/LUM/CTSV/COL4A1/ADAMTS1	46
GO:0001503	ossification	51/606	456/18986	0.1118421052631579	3.5040168490533263	9.827675720089067	6.0004459922492395e-15	6.607991148964475e-12	5.1303813233730995e-12	NPNT/ANO6/IGFBP5/TP53INP2/COL1A2/RANBP3L/BMP6/WWTR1/YAP1/SFRP2/COL1A1/SLC26A2/FOXC1/DDR2/ID3/LRP4/MGP/GJA1/GLI1/MSX2/FZD1/BMP4/CCN2/ID4/KREMEN2/VCAN/FGF2/HGF/SMO/PENK/ALPL/PHEX/CSF1/OSR1/CCN4/CCN3/FFAR4/TACR1/LTF/MMP14/EPHA2/WNT7B/TNC/IGFBP2/EGR2/GPC3/CLEC5A/ERFE/SMAD6/RFLNA/PTHLH	51
GO:0042060	wound healing	47/606	444/18986	0.10585585585585586	3.3164674575565667	8.96826142498232	5.544803071020046e-13	4.88497150556866e-10	3.792645300577712e-10	DSP/ANO6/COL3A1/PRCP/PHLDB2/ANXA2/AHNAK/TGFB2/NDNF/ANXA1/PDIA2/YAP1/FZD7/CD44/DDR2/MMRN1/CD109/ITGA5/TNFRSF12A/MSX2/FBLN1/S100A10/FGF2/NOTCH2/SYTL4/CD34/PDPN/TLR4/P2RY12/F13A1/ITPR3/ADTRP/FN1/GPR4/HBB/CCN4/PEAR1/B4GALT1/MYOF/TIMP1/NOS3/TSKU/AJUBA/PRRG4/CXCR4/JAML/F10	47
GO:0042476	odontogenesis	25/606	136/18986	0.18382352941176472	5.7591972432537375	10.113846094719593	1.1873000067507312e-12	8.716760882894951e-10	6.767610038479168e-10	COL1A2/TNFRSF11B/FAM20A/TGFB2/COL1A1/FOXC1/DLX1/ID3/LRP4/WLS/MSX2/BMP4/PERP/MSX1/SMO/CD34/ALPL/PHEX/CSF1/OSR1/TGFB3/TNC/EDA/NGFR/DLX2	25
GO:0031589	cell-substrate adhesion	41/606	361/18986	0.11357340720221606	3.5582585959426964	8.910842378198192	1.8362589429623513e-12	1.155531520535594e-9	8.9714365499017745e-10	NPNT/ECM2/ANGPT1/COL3A1/COL8A1/LAMC1/PHLDB2/ANXA2/NDNF/COL1A1/CCDC80/FZD7/ITGA10/ITGB8/CD44/ANTXR1/PKP2/ANGPT2/ITGA5/CCN2/VWC2/ITGA6/FBLN1/S100A10/CD34/PDPN/CSF1/ABI3BP/FN1/MADCAM1/NID1/EGFLAM/MMP14/GBP1/AJUBA/SMAD6/EDA/RHOD/MYO1G/LYVE1/VCAM1	41
GO:0001649	osteoblast differentiation	34/606	262/18986	0.1297709923664122	4.06572947371073	9.073064910079236	3.680745609359464e-12	2.0267105511535547e-9	1.5735187480011708e-9	NPNT/IGFBP5/TP53INP2/RANBP3L/BMP6/WWTR1/YAP1/SFRP2/COL1A1/DDR2/ID3/GJA1/GLI1/MSX2/FZD1/BMP4/ID4/VCAN/FGF2/HGF/SMO/PENK/ALPL/CCN4/FFAR4/LTF/EPHA2/WNT7B/TNC/IGFBP2/CLEC5A/ERFE/SMAD6/PTHLH	34
GO:0072006	nephron development	26/606	160/18986	0.1625	5.091130363036304	9.43611319193506	8.015637659366579e-12	3.923209321056642e-9	3.0459423105593e-9	NPNT/ANGPT1/PLCE1/WWTR1/YAP1/FOXC1/ANGPT2/BMP4/PECAM1/LAMB2/FGF2/NOTCH2/SMO/CD34/CALB1/SULF1/GPR4/OSR1/NID1/SLC22A6/HS3ST3B1/EGR1/WNT7B/PDGFD/GPC3/FOXJ1	26
GO:0002009	morphogenesis of an epithelium	48/606	500/18986	0.096	3.0076831683168317	8.260903807894305	1.0863934179387619e-11	4.785563006020246e-9	3.7154654893505654e-9	NPNT/IGFBP5/PHLDB2/TGFB2/TEAD2/YAP1/SFRP2/SLC39A12/APLNR/CD44/MMRN2/FRZB/TBX18/ITGA5/GJA1/KLF4/MSX2/RDH10/BMP4/PERP/ID4/FAT1/EGF/PGR/SEMA3C/PCDH8/FGF2/HGF/NOTCH2/SMO/PDPN/CA2/CSF1/SULF1/OSR1/HS3ST3B1/TBX3/MMP14/EPHA2/TGFB1I1/WNT7B/TNC/ZIC3/COL4A1/GPC3/AJUBA/CXCR4/NGFR	48
GO:0061448	connective tissue development	35/606	290/18986	0.1206896551724138	3.7812108797086608	8.666174470752837	1.4403469694040241e-11	5.754277624354365e-9	4.467566282699642e-9	OGN/COL3A1/BMP6/SFRP2/COL1A1/SLC26A2/PRRX1/ITGB8/CD44/FRZB/MGP/EVC/MSX2/BMP4/CCN2/ID4/FGF2/MSX1/COL27A1/TGFBI/CD34/CSF1/SULF1/GPR4/OSR1/CCN4/CCN3/EGR1/WNT7B/PDGFD/TIMP1/TSKU/RFLNA/PTHLH/DLX2	35
GO:0044706	multi-multicellular organism process	30/606	218/18986	0.13761467889908258	4.311472431646834	8.929132192135201	1.567567116736717e-11	5.754277624354365e-9	4.467566282699642e-9	SLC38A2/IGFBP5/GJB2/CRH/CAPN2/ADCYAP1/TAC1/ANGPT2/ITGA5/DSG2/GJA1/HSD11B2/PGR/SYDE1/TAC3/CRHBP/FBLN1/TEAD3/PNOC/TACR1/PRLHR/FOSB/B4GALT1/TGFB3/IGFBP2/TIMP1/MAFF/PTHLH/PTGFR/PRLR	30
GO:0051216	cartilage development	29/606	209/18986	0.13875598086124402	4.3472294597880845	8.8351593014312	2.7948840047483815e-11	9.470356954551247e-9	7.352694843261127e-9	OGN/COL3A1/BMP6/SFRP2/COL1A1/SLC26A2/PRRX1/ITGB8/CD44/FRZB/MGP/EVC/MSX2/BMP4/CCN2/FGF2/MSX1/COL27A1/TGFBI/SULF1/OSR1/CCN4/CCN3/WNT7B/TIMP1/TSKU/RFLNA/PTHLH/DLX2	29
GO:0044703	multi-organism reproductive process	29/606	210/18986	0.1380952380952381	4.326528367122426	8.801733192529527	3.1471011268450984e-11	9.90212890268047e-9	7.687918467007314e-9	SLC38A2/IGFBP5/GJB2/CRH/CAPN2/ADCYAP1/TAC1/ANGPT2/ITGA5/DSG2/GJA1/HSD11B2/PGR/SYDE1/TAC3/CRHBP/FBLN1/TEAD3/PNOC/TACR1/PRLHR/FOSB/TGFB3/IGFBP2/TIMP1/MAFF/PTHLH/PTGFR/PRLR	29
GO:0032835	glomerulus development	17/606	72/18986	0.2361111111111111	7.397368903557022	9.875175217272934	7.864356811592853e-11	2.309499450337768e-8	1.7930733530431703e-8	ANGPT1/PLCE1/WWTR1/FOXC1/ANGPT2/BMP4/PECAM1/LAMB2/NOTCH2/CD34/SULF1/GPR4/OSR1/NID1/EGR1/PDGFD/FOXJ1	17
GO:0072001	renal system development	36/606	332/18986	0.10843373493975904	3.3972324943337706	8.001327943625178	1.5914849885314582e-10	4.381557109050671e-8	3.4017991629859914e-8	NPNT/ANGPT1/KANK2/PLCE1/BMP6/TGFB2/WWTR1/YAP1/FOXC1/ID3/LRP4/ANGPT2/TBX18/RDH10/BMP4/PECAM1/LAMB2/FGF2/NOTCH2/SMO/CD34/CALB1/SULF1/GPR4/OSR1/NID1/SLC22A6/HS3ST3B1/EGR1/WNT7B/PDGFD/COL4A1/GPC3/ADAMTS1/SMAD6/FOXJ1	36
GO:0060541	respiratory system development	29/606	225/18986	0.1288888888888889	4.038093142647598	8.324021841078622	1.7113769165642808e-10	4.43447959850921e-8	3.4428876792057885e-8	ADAMTS2/IGFBP5/COL3A1/CRH/ANXA2/YAP1/ELK1/GLI1/RDH10/BMP4/CCN2/PGR/FGF2/MSX1/PDPN/PHEX/MMP14/HSD11B1/TGFB3/MSC/KLF2/WNT7B/TNC/ZIC3/NOS3/GPC3/EDA/GNG8/FOXJ1	29
GO:0030879	mammary gland development	22/606	136/18986	0.16176470588235295	5.068093574063289	8.645170646229563	3.585837978502428e-10	8.775342386279552e-8	6.813092159154613e-8	IGFBP5/APLN/GJA1/MTCO2P12/MSX2/BMP4/PERP/EGF/PGR/LBH/FGF2/COX2/MSX1/SMO/CSF1/IRF6/TBX3/EPHA2/TGFB3/WNT7B/IQGAP3/PRLR	22
GO:0048732	gland development	42/606	450/18986	0.09333333333333334	2.924136413641364	7.5007201844835105	5.29645767316594e-10	1.2279418973839984e-7	9.533623811698691e-8	CYP1B1/IGFBP5/CRH/TGFBR3/PPDPF/TGFB2/FOXC1/FRZB/ELK1/APLN/GJA1/WLS/MTCO2P12/GLI1/MSX2/BMP4/PERP/ID4/EGF/PGR/LBH/SEMA3C/PAX6/FGF2/COX2/HGF/NOTCH2/MSX1/SMO/CSF1/SULF1/IRF6/TBX3/EPHA2/TGFB3/WNT7B/TNC/PCSK1/ZIC3/IQGAP3/EDA/PRLR	42
GO:0001822	kidney development	34/606	322/18986	0.10559006211180125	3.308140130783265	7.585017798835123	1.0455469870423522e-9	2.3028172389607809e-7	1.7878853478424224e-7	NPNT/ANGPT1/KANK2/PLCE1/BMP6/TGFB2/WWTR1/YAP1/FOXC1/ID3/LRP4/ANGPT2/RDH10/BMP4/PECAM1/LAMB2/FGF2/NOTCH2/SMO/CD34/CALB1/SULF1/GPR4/OSR1/NID1/SLC22A6/HS3ST3B1/EGR1/WNT7B/PDGFD/GPC3/ADAMTS1/SMAD6/FOXJ1	34
GO:0007565	female pregnancy	25/606	189/18986	0.13227513227513227	4.144184259695811	7.887937846410364	1.818063160140237e-9	3.81360391448464e-7	2.9608457179426714e-7	SLC38A2/IGFBP5/GJB2/CRH/CAPN2/ADCYAP1/ANGPT2/ITGA5/DSG2/GJA1/HSD11B2/PGR/SYDE1/TAC3/CRHBP/FBLN1/TEAD3/PNOC/PRLHR/FOSB/TGFB3/IGFBP2/TIMP1/PTHLH/PRLR	25
GO:0050673	epithelial cell proliferation	42/606	482/18986	0.08713692946058091	2.7300028758062527	6.9856431008169535	4.17359808923357e-9	8.356681628669944e-7	6.48804793871764e-7	IGFBP5/COL8A1/LAMC1/TGFBR3/BMP6/TGFB2/YAP1/SFRP2/FZD7/APLNR/MMRN2/APLN/CD109/ZFP36L1/GLI1/BMP4/EGF/PGR/PAX6/FGF2/HGF/NOTCH2/SMO/CD34/SULF1/OSR1/CCN3/SPARC/TACR1/IRF6/MMP14/EPHA2/B4GALT1/UHRF1/SCG2/GPC3/FLT1/JAML/IQGAP3/DLX6/NGFR/CCL2	42
GO:0097305	response to alcohol	30/606	275/18986	0.10909090909090909	3.4178217821782173	7.33349487226907	4.747227153703969e-9	8.828496028730408e-7	6.854360140353687e-7	CYP1B1/CRH/TGFBR3/AKR1C2/SLC5A5/ELK1/KLF4/CES1/SLC2A4/CDA/ITPR2/PAX6/CRHBP/FGF2/SMO/PENK/FKBP5/CYTB/TACR1/DRD4/FOSB/ND4/KLF2/TNC/S100A8/NQO1/PTGFR/RGS4/P2RY6/VCAM1	30
GO:0030324	lung development	25/606	198/18986	0.12626262626262627	3.9558122478914557	7.591682261326038	4.810077291476272e-9	8.828496028730408e-7	6.854360140353687e-7	ADAMTS2/IGFBP5/COL3A1/CRH/ANXA2/YAP1/ELK1/GLI1/RDH10/BMP4/CCN2/PGR/FGF2/PDPN/PHEX/MMP14/HSD11B1/TGFB3/KLF2/WNT7B/TNC/ZIC3/NOS3/GPC3/FOXJ1	25
GO:0060348	bone development	26/606	217/18986	0.11981566820276497	3.753828839105109	7.4082410117962	7.2476539565042025e-9	1.2319009751515493e-6	9.564361714002945e-7	OGN/COL3A1/RANBP3L/LEPR/ANXA2/BMP6/COL1A1/FOXC1/DDR2/BNC2/EVC/GJA1/MSX2/BMP4/NOTCH2/MSX1/COL27A1/ALPL/PHEX/SULF1/CCN4/LTF/MMP14/TGFB3/TSKU/RFLNA	26
GO:0030323	respiratory tube development	25/606	202/18986	0.12376237623762376	3.877479332091625	7.465565620622574	7.271152180236159e-9	1.2319009751515493e-6	9.564361714002945e-7	ADAMTS2/IGFBP5/COL3A1/CRH/ANXA2/YAP1/ELK1/GLI1/RDH10/BMP4/CCN2/PGR/FGF2/PDPN/PHEX/MMP14/HSD11B1/TGFB3/KLF2/WNT7B/TNC/ZIC3/NOS3/GPC3/FOXJ1	25
GO:0060537	muscle tissue development	39/606	447/18986	0.087248322147651	2.7334928123684854	6.734440402424177	1.4641185119076396e-8	2.388682238871538e-6	1.85455011508301e-6	DSP/IGFBP5/COL3A1/TGFBR3/TGFB2/YAP1/FZD7/FOXC1/PKP2/PLN/TBX18/DSG2/GJA1/GPCPD1/GLI1/MSX2/KEL/BMP4/KLF5/SEMA3C/CDON/MYH11/FGF2/NOTCH2/MSX1/SMO/VAX1/GJA5/OSR1/TBX3/EGR1/MSC/ZIC3/EGR2/MAFF/JPH2/YBX3/RGS4/MYLK3	39
GO:0060485	mesenchyme development	33/606	341/18986	0.0967741935483871	3.0319386777387414	6.875043526987335	1.6278083259692674e-8	2.5425172192870816e-6	1.973986127119596e-6	TGFBR3/RANBP3L/PHLDB2/TGFB2/TEAD2/WWTR1/YAP1/SFRP2/COL1A1/S100A4/FOXC1/APLNR/FRZB/BNC2/ZFP36L1/MSX2/RDH10/BMP4/SEMA3D/SEMA3C/PAX6/HGF/MSX1/SMO/PDPN/FN1/OSR1/TBX3/SEMA3B/TGFB3/TGFB1I1/ZIC3/NOS3	33
GO:0072012	glomerulus vasculature development	10/606	30/18986	0.3333333333333333	10.443344334433442	9.399006769115232	1.7204845467479612e-8	2.5425172192870816e-6	1.973986127119596e-6	ANGPT1/ANGPT2/BMP4/PECAM1/NOTCH2/CD34/GPR4/OSR1/EGR1/PDGFD	10
GO:0045669	positive regulation of osteoblast differentiation	15/606	77/18986	0.19480519480519481	6.103253182461104	8.147550407152629	1.7315667781750838e-8	2.5425172192870816e-6	1.973986127119596e-6	NPNT/BMP6/WWTR1/YAP1/SFRP2/DDR2/MSX2/FZD1/BMP4/FGF2/HGF/CCN4/FFAR4/LTF/WNT7B	15
GO:0022612	gland morphogenesis	19/606	127/18986	0.14960629921259844	4.6871702918323335	7.5701517514100924	2.1453488851426848e-8	3.0484715609850086e-6	2.366804253931607e-6	IGFBP5/TGFB2/GLI1/MSX2/BMP4/PERP/ID4/PGR/SEMA3C/PAX6/HGF/NOTCH2/CSF1/SULF1/TBX3/EPHA2/TGFB3/TNC/EDA	19
GO:0045667	regulation of osteoblast differentiation	21/606	156/18986	0.1346153846153846	4.2175044427519675	7.326982490908802	2.6475736858182535e-8	3.6445506518841894e-6	2.829594376718258e-6	NPNT/IGFBP5/RANBP3L/BMP6/WWTR1/YAP1/SFRP2/DDR2/ID3/GLI1/MSX2/FZD1/BMP4/FGF2/HGF/CCN4/FFAR4/LTF/WNT7B/ERFE/SMAD6	21
GO:0061180	mammary gland epithelium development	14/606	69/18986	0.2028985507246377	6.356818290524705	8.094204778700801	3.0058431536109154e-8	4.012345179289723e-6	3.1151465410149486e-6	MSX2/PERP/PGR/LBH/FGF2/MSX1/SMO/CSF1/IRF6/TBX3/EPHA2/WNT7B/IQGAP3/PRLR	14
GO:0050900	leukocyte migration	36/606	404/18986	0.0891089108910891	2.79178511910597	6.609966210286895	3.106426857008433e-8	4.024650089741808e-6	3.124699956167306e-6	ANO6/TGFB2/ANXA1/CX3CR1/IL1R1/PERP/S100A12/DAPK2/PECAM1/ITGA6/JAM2/CD34/DUSP1/P2RY12/CSF1/ADTRP/CCN3/MADCAM1/TACR1/MMP14/ICAM1/B4GALT1/SCG2/S100A9/PDGFD/S100A8/FLT1/CXCR4/JAML/FOXJ1/CXCL5/MYO1G/LYVE1/CCL2/PRTN3/VCAM1	36
GO:0061437	renal system vasculature development	10/606	32/18986	0.3125	9.790635313531354	9.036779254227456	3.4871240380090245e-8	4.266883718730487e-6	3.3127678361085736e-6	ANGPT1/ANGPT2/BMP4/PECAM1/NOTCH2/CD34/GPR4/OSR1/EGR1/PDGFD	10
GO:0061440	kidney vasculature development	10/606	32/18986	0.3125	9.790635313531354	9.036779254227456	3.4871240380090245e-8	4.266883718730487e-6	3.3127678361085736e-6	ANGPT1/ANGPT2/BMP4/PECAM1/NOTCH2/CD34/GPR4/OSR1/EGR1/PDGFD	10
GO:0042063	gliogenesis	33/606	355/18986	0.09295774647887324	2.9123692650955237	6.604450783585189	4.3109806212787333e-8	5.1323971991169785e-6	3.984744249938721e-6	COL3A1/MOBP/LEPR/TGFB2/DLX1/PARD3/CX3CR1/ID4/LAMB2/VCAN/GFAP/VIM/PAX6/FGF2/SMO/PENK/VAX1/TLR4/P2RY12/CSF1/HAPLN1/PRX/MMP14/MAL/S100A9/LPAR1/ADGRG6/EGR2/S100A8/CXCR4/OPALIN/CCL2/DLX2	33
