ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0062023	collagen-containing extracellular matrix	33/418	430/19960	0.07674418604651163	3.6646266829865364	8.16944407595659	1.5035537370224315e-10	6.014214948089726e-8	5.4444472161654365e-8	MDK/EYS/ANGPT2/SEMA7A/LAMB1/SDC3/S100A4/THBS3/LMAN1L/COL19A1/CCN1/COL9A3/VIT/FMOD/SERPINA5/SLPI/S100A9/COL1A2/MGP/MMRN1/HSP90AA1/OGN/CCN2/GDF10/COCH/S100A8/SERPINE1/CLEC3B/F7/ADAMTS9/COL6A3/TGFBI/COL15A1	33
GO:1902495	transmembrane transporter complex	34/418	499/19960	0.06813627254509018	3.2535885167464116	7.456162131131171	1.778234970154715e-9	3.55646994030943e-7	3.219541209122221e-7	KCNMB4/TTYH1/SLC5A3/ATP8/KCNH3/COX3/ATP6/CYTB/COX2/KCNIP1/ND4/ND1/CATSPERG/ND4L/COX1/ND5/ND3/KCNE4/GLRA1/MTCO2P12/ND2/KCNE5/KCNA3/S100A9/GABRA4/KCNH8/KCNH7/GRIN3B/CLCNKA/GABRE/FXYD1/SCN4A/CHRNA6/CHRNA2	34
GO:0000786	nucleosome	15/418	135/19960	0.1111111111111111	5.3056884635832	7.341349755611066	1.5868829158465033e-7	2.1158438877953378e-5	1.9153955194778848e-5	H2BC5/H2BC18/H2BC8/H2BC19P/H2BC6/H2BC26/SHPRH/H3C6/H4C8/H2BC21/H4C5/H2AC6/H1-2/H1-4/H2BC4	15
GO:0098803	respiratory chain complex	13/418	110/19960	0.11818181818181818	5.643323183993041	7.141970055193444	5.212552119248937e-7	5.2125521192489374e-5	4.718731392162196e-5	ATP8/COX3/ATP6/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/MTCO2P12/ND2	13
GO:0072562	blood microparticle	13/418	144/19960	0.09027777777777778	4.31087187666135	5.8316123846982	1.0882763849455716e-5	8.706211079564573e-4	7.881412135184772e-4	ZBTB38/HBA2/HBA1/HBB/HSPA8/C3/CP/HSPA1L/HSPA7/HSPA1B/KDM4D/HSPA6/ACSM1	13
GO:1990204	oxidoreductase complex	13/418	150/19960	0.08666666666666667	4.138437001594896	5.642737308826686	1.690692100045204e-5	0.0011271280666968028	0.0010203475130097371	COX3/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/HSD17B8/ND3/MTCO2P12/ND2/NOXA1	13
GO:0034702	monoatomic ion channel complex	21/418	365/19960	0.057534246575342465	2.7473290948417124	4.927442127756709	3.187124747090831e-5	0.0018212141411947606	0.0016486780646605202	KCNMB4/TTYH1/SLC5A3/ATP8/KCNH3/ATP6/KCNIP1/CATSPERG/KCNE4/GLRA1/KCNE5/KCNA3/GABRA4/KCNH8/KCNH7/GRIN3B/CLCNKA/GABRE/SCN4A/CHRNA6/CHRNA2	21
GO:0032993	protein-DNA complex	16/418	240/19960	0.06666666666666667	3.1834130781499206	4.976925024981357	4.9762551890099005e-5	0.00248812759450495	0.0022524102434465865	H2BC5/H2BC18/H2BC8/H2BC19P/H2BC6/H2BC26/SHPRH/H3C6/H4C8/H2BC21/FOS/H4C5/H2AC6/H1-2/H1-4/H2BC4	16
GO:0001917	photoreceptor inner segment	8/418	72/19960	0.1111111111111111	5.3056884635832	5.352865381155203	1.283655265169895e-4	0.0057051345118662	0.005164648084426245	ADGRV1/CDH23/HSPA8/INHA/USH1G/USH1C/PPEF2/RCVRN	8
GO:0030964	NADH dehydrogenase complex	6/418	45/19960	0.13333333333333333	6.366826156299841	5.271165532373465	3.320788216726204e-4	0.012075593515368015	0.010931589919175255	ND4/ND1/ND4L/ND5/ND3/ND2	6
