ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0062023	collagen-containing extracellular matrix	102/1438	430/19960	0.2372093023255814	3.292557492641589	13.39085273714499	1.1605022463355814e-27	6.313132220065563e-25	4.2633187786433475e-25	NPNT/COLEC12/COL12A1/COL24A1/AEBP1/ANGPT1/SERPINA5/LTBP1/ERBIN/CCDC80/SPARC/CTSS/A2M/ECM2/COL8A2/IGFBP7/FN1/SPN/SERPINF1/SRPX/FRAS1/TNC/SERPINE1/ANXA1/MMRN1/ITGB4/SFRP1/COL6A2/S100A4/TGFBI/ANXA6/FGL2/MMP2/TIMP3/ADAMTS2/COL1A2/COL19A1/ADAMTS3/COL27A1/LGALS9/BGN/PCSK6/FREM3/VWC2/CXCL12/COL8A1/ELN/S100A10/COL5A2/ANXA2/COL14A1/ADAMTS1/AZGP1/PLOD3/TGFB1/MMRN2/ACAN/CHADL/ENTPD2/SSC5D/VWA1/TGFB1I1/TGM2/TINAGL1/LAMB2/SLPI/PRELP/COL18A1/CBLN4/NID1/EMILIN1/THSD4/NTN1/SRPX2/MFAP4/COL3A1/HSPG2/SMOC2/C1QC/LAMA5/PODN/ANGPT2/TIMP1/MGP/TNXB/COL1A1/ITIH5/SERPINH1/ICAM1/COL4A6/BCAM/SOD3/VWF/OGN/F13A1/SERPINA1/SERPINA3/PCOLCE/LUM/MARCO/EGFLAM/COL6A3	102
GO:0009897	external side of plasma membrane	83/1438	407/19960	0.20393120393120392	2.83064452744564	10.396793503884487	2.683363893334893e-18	7.298749789870909e-16	4.92891578302041e-16	IL13RA1/CD84/ANTXR1/SERPINA5/TGFBR2/ITGB1/ITGA6/IL12RB2/TGFBR3/GFRA2/IL6R/B4GALT1/CD86/PECAM1/SPN/THY1/TMEM123/ITGAX/ITGB2/HEG1/BTN3A2/EPHA5/ITGA10/IL7R/CXCR4/PTPRC/ITGA5/ABCB1/CD74/FCGRT/CD22/ITGAL/HLA-B/CXCL12/CSF2RB/ITGA1/CLEC2B/OSMR/HLA-E/IL1R1/THBD/AZGP1/CSF3R/LRP2/CHADL/KDR/FCGR2A/CXCR6/HLA-C/CD163/CLEC4E/ECE1/FCGR2B/LRRC32/SELL/ABCG2/HLA-DRB1/IL4R/TLR8/TCN2/CD33/SLC7A5/LILRB1/CCR5/ANPEP/CDH5/CD34/PRLR/ICAM1/FCER1G/HYAL2/BCAM/ENG/VCAM1/EBI3/MICB/CCRL2/ICOSLG/PLAU/RS1/IL21R/COLEC10/SELE	83
GO:0005604	basement membrane	31/1438	92/19960	0.33695652173913043	4.677087742637721	9.849761694967	1.1307882821686414e-13	1.6754988814618063e-11	1.1314804752905776e-11	NPNT/ERBIN/CCDC80/SPARC/COL8A2/FN1/SPN/SERPINF1/FRAS1/TNC/ITGB4/TGFBI/TIMP3/FREM3/VWC2/COL8A1/ANXA2/ADAMTS1/MMRN2/ENTPD2/VWA1/LAMB2/COL18A1/NID1/NTN1/HSPG2/SMOC2/LAMA5/TIMP1/COL4A6/EGFLAM	31
GO:0030055	cell-substrate junction	77/1438	434/19960	0.1774193548387097	2.462649737538696	8.583876329779235	1.2319844716630927e-13	1.6754988814618063e-11	1.1314804752905776e-11	ERBIN/ITGB1/ITGA6/DDR2/AHNAK/PALLD/VIM/SYNE2/RDX/SHROOM4/ITGB5/PAK1/MSN/FLNC/THY1/MMP14/TNC/ITGB2/TLN1/PGM5/PARVG/ANXA1/CAV1/ITGB4/CD44/PTK2B/ANXA6/MAP4K4/TNS1/LCP1/FLT1/GNA12/PTPRC/ITGA5/FBLN7/SLC4A2/STARD8/YWHAG/ALOX15B/TNS3/FAM107A/APBB1IP/ITGA1/FLNA/ARHGAP31/CDC42EP1/TGFB1I1/PXN/TGM2/VASP/HSPA1A/TRIOBP/TES/TNS2/GJA1/CNN2/CASS4/AJUBA/JUP/HSPA1B/HSPG2/FERMT3/SORBS3/PLEC/HSPB1/ICAM1/EFS/RRAS/ENG/PROCR/EPHA2/FBLIM1/PDLIM1/ITGBL1/NHERF2/SMPX/PLAU	77
GO:0005925	focal adhesion	74/1438	424/19960	0.17452830188679244	2.4225207967040174	8.249518893111661	8.702992909577176e-13	9.468856285619967e-11	6.394409527247232e-11	ITGB1/ITGA6/DDR2/AHNAK/PALLD/VIM/SYNE2/RDX/SHROOM4/ITGB5/PAK1/MSN/FLNC/THY1/MMP14/TNC/ITGB2/TLN1/PGM5/PARVG/ANXA1/CAV1/ITGB4/CD44/PTK2B/ANXA6/MAP4K4/TNS1/LCP1/FLT1/GNA12/PTPRC/ITGA5/FBLN7/SLC4A2/STARD8/YWHAG/ALOX15B/TNS3/FAM107A/APBB1IP/ITGA1/FLNA/ARHGAP31/CDC42EP1/TGFB1I1/PXN/TGM2/VASP/HSPA1A/TRIOBP/TES/TNS2/GJA1/CNN2/CASS4/AJUBA/JUP/HSPA1B/HSPG2/SORBS3/PLEC/HSPB1/ICAM1/EFS/RRAS/ENG/PROCR/EPHA2/FBLIM1/PDLIM1/ITGBL1/NHERF2/PLAU	74
GO:0045121	membrane raft	57/1438	293/19960	0.1945392491467577	2.7002805375307952	8.1694012428635	4.3705694080409485e-12	3.9626495966237936e-10	2.676015304221564e-10	ADTRP/ANGPT1/TGFBR2/ITGB1/AHNAK/CAVIN1/POPDC1/HPSE/UNC5B/INPP5D/CR1/PECAM1/MYOF/GPRC5B/THY1/ITGB2/ADD2/CAV1/TNFRSF1A/TNFRSF1B/TREM2/PTPRC/BTK/KCNE3/PTGS2/PDPN/S100A10/PLPP2/ANXA2/PODXL/NFAM1/HTR2A/MAL2/KDR/KIRREL1/RIT2/GJA1/LRP4/ABCG2/CNR1/TFPI/MYO1C/EHD2/SGCA/SMO/NOS3/CALHM1/ORAI1/CAVIN2/SERPINH1/MS4A4A/ICAM1/KCNQ1/HYAL2/NTSR1/TNFRSF10A/SELE	57
GO:0098857	membrane microdomain	57/1438	295/19960	0.19322033898305085	2.681973550835671	8.109388129154324	5.831197231141715e-12	4.5316732767729896e-10	3.060282456644299e-10	ADTRP/ANGPT1/TGFBR2/ITGB1/AHNAK/CAVIN1/POPDC1/HPSE/UNC5B/INPP5D/CR1/PECAM1/MYOF/GPRC5B/THY1/ITGB2/ADD2/CAV1/TNFRSF1A/TNFRSF1B/TREM2/PTPRC/BTK/KCNE3/PTGS2/PDPN/S100A10/PLPP2/ANXA2/PODXL/NFAM1/HTR2A/MAL2/KDR/KIRREL1/RIT2/GJA1/LRP4/ABCG2/CNR1/TFPI/MYO1C/EHD2/SGCA/SMO/NOS3/CALHM1/ORAI1/CAVIN2/SERPINH1/MS4A4A/ICAM1/KCNQ1/HYAL2/NTSR1/TNFRSF10A/SELE	57
GO:0045178	basal part of cell	59/1438	317/19960	0.1861198738170347	2.5834163291988963	7.91818663986392	1.2494595805232445e-11	8.496325147558062e-10	5.737649915823847e-10	ERBIN/SLC22A9/TGFBR3/WASF2/SVOP/SLC7A7/LDLRAP1/B4GALT1/SHROOM4/MSN/ABCA8/SLC16A12/ANXA1/CAV1/ITGB4/CD44/SLC6A9/DSP/SLC4A2/PTPRQ/FXYD5/SLCO1A2/SLCO4C1/KCNE3/SLCO2B1/ITGA1/PDPN/ANXA2/SLCO4A1/CLDN11/SLC43A3/KCNC2/KCNJ10/C5AR1/CHRM3/ERBB2/SLC4A10/FRMPD2/PHLDB1/MARVELD2/SLC6A12/AQP1/MYO1C/MTTP/PTH1R/SLC7A5/ABCC3/SLC1A5/CD34/CALHM1/ORAI1/SLC6A13/SLC51B/KCNQ1/SLC38A3/NOD2/SLC4A11/SLC26A7/VSIG1	59
GO:0045177	apical part of cell	76/1438	474/19960	0.16033755274261605	2.225547672282765	7.524244913176529	3.180005816921553e-11	1.9221368493392498e-9	1.2980374621118389e-9	DDR2/PARD3B/IL10RA/RDX/IL6R/KCNE4/CA2/SHROOM4/HVCN1/MSN/FN1/THY1/CLCA4/ANXA1/CAV1/SLC26A4/CD44/CRB2/SHROOM1/SLC12A1/SLC6A9/CLIC4/EMP2/SLC4A2/PTPRQ/ABCB1/SLCO1A2/SLC39A10/SLCO2B1/SLC47A2/ATP6V1E1/PDPN/OSMR/PODXL/TCIRG1/KCNC2/LRP2/MAL2/C5AR1/NOTCH1/ERBB2/SLC4A10/VANGL2/ZMYND10/FRMPD2/ACP3/OCLN/RAB27B/ATP6V1A/SLC52A3/GJA1/MARVELD2/ITPR3/ABCG2/AQP1/ATP6V1B2/PTH1R/HPN/TMEM235/SLC7A5/ABCC2/CD34/SLC34A3/SNX10/KCNQ1/MUC1/HYAL2/SLC38A3/VCAM1/SLC26A9/SLC6A20/SLC4A11/CYP4F12/NHERF2/SLC26A7/STC1	76
GO:0016324	apical plasma membrane	68/1438	408/19960	0.16666666666666666	2.3133982382939267	7.468541677109314	6.235598176629632e-11	3.39216540808652e-9	2.290761856467097e-9	DDR2/PARD3B/IL10RA/RDX/IL6R/KCNE4/SHROOM4/HVCN1/MSN/FN1/THY1/CLCA4/ANXA1/CAV1/SLC26A4/CD44/CRB2/SHROOM1/SLC12A1/SLC6A9/EMP2/SLC4A2/PTPRQ/ABCB1/SLCO1A2/SLC39A10/SLCO2B1/SLC47A2/ATP6V1E1/PDPN/OSMR/PODXL/TCIRG1/KCNC2/LRP2/MAL2/NOTCH1/ERBB2/SLC4A10/VANGL2/ZMYND10/OCLN/RAB27B/ATP6V1A/SLC52A3/GJA1/MARVELD2/ABCG2/AQP1/ATP6V1B2/PTH1R/HPN/TMEM235/SLC7A5/ABCC2/CD34/SLC34A3/KCNQ1/MUC1/HYAL2/SLC38A3/SLC26A9/SLC6A20/SLC4A11/CYP4F12/NHERF2/SLC26A7/STC1	68
