ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0098803	respiratory chain complex	12/42	110/19960	0.10909090909090909	51.84415584415584	24.554341886186812	4.078544972826265e-18	3.54833412635885e-16	3.091107768878853e-16	COX3/ATP8/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ATP6/ND4L/ND1	12
GO:1990204	oxidoreductase complex	10/42	150/19960	0.06666666666666667	31.682539682539684	17.320717027945822	5.081222758171537e-13	2.2103318998046186e-11	1.9255159925702667e-11	COX3/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ND4L/ND1	10
GO:1902495	transmembrane transporter complex	12/42	499/19960	0.02404809619238477	11.428571428571429	10.833372760905345	2.923827789767825e-10	7.975014104911618e-9	6.9473807084529536e-9	COX3/ATP8/COX2/ND5/CYTB/ND4/COX1/ND3/ND2/ATP6/ND4L/ND1	12
GO:0030964	NADH dehydrogenase complex	6/42	45/19960	0.13333333333333333	63.36507936507937	19.232190455291104	4.583341439604379e-10	7.975014104911618e-9	6.9473807084529536e-9	ND5/ND4/ND3/ND2/ND4L/ND1	6
GO:0045271	respiratory chain complex I	6/42	45/19960	0.13333333333333333	63.36507936507937	19.232190455291104	4.583341439604379e-10	7.975014104911618e-9	6.9473807084529536e-9	ND5/ND4/ND3/ND2/ND4L/ND1	6
GO:0070069	cytochrome complex	4/42	39/19960	0.10256410256410256	48.74236874236874	13.704142591463642	1.3201492003885463e-6	1.914216340563392e-5	1.6675568847013217e-5	COX3/COX2/CYTB/COX1	4
GO:0045277	respiratory chain complex IV	3/42	24/19960	0.125	59.404761904761905	13.146375607816752	1.7002715028130134e-5	2.1131945820676023e-4	1.8408954616922852e-4	COX3/COX2/COX1	3
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain	2/42	21/19960	0.09523809523809523	45.26077097505669	9.31854497324271	8.849798869262945e-4	0.008554805573620846	0.007452462205695112	ATP8/ATP6	2
GO:0045259	proton-transporting ATP synthase complex	2/42	21/19960	0.09523809523809523	45.26077097505669	9.31854497324271	8.849798869262945e-4	0.008554805573620846	0.007452462205695112	ATP8/ATP6	2
GO:0016469	proton-transporting two-sector ATPase complex	2/42	50/19960	0.04	19.00952380952381	5.8549443586600844	0.004966880116875134	0.04321185701681366	0.037643722991053646	ATP8/ATP6	2
