ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0042613	MHC class II protein complex	6/230	17/19960	0.35294117647058826	30.62915601023018	13.195269396298096	2.4412134659366204e-8	6.786573435303804e-6	5.756124382840031e-6	HLA-DMB/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPA1/CD74	6
GO:0042611	MHC protein complex	6/230	25/19960	0.24	20.82782608695652	10.710426119335855	3.2339288944724243e-7	4.49516116331667e-5	3.8126319597990685e-5	HLA-DMB/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPA1/CD74	6
GO:0062023	collagen-containing extracellular matrix	18/230	430/19960	0.04186046511627907	3.6327603640040445	5.95887399018769	2.740198680158672e-6	2.5392507769470365e-4	2.1537000152826053e-4	COL24A1/NPNT/AEBP1/ANGPT1/CTSS/S100A4/IMPG2/MMP2/AZGP1/FREM3/CBLN4/ENTPD2/EGFLAM/RBP3/MMRN1/PRELP/SERPINA5/FCN1	18
GO:0030665	clathrin-coated vesicle membrane	9/230	138/19960	0.06521739130434782	5.6597353497164455	5.930575284527132	3.239623708581657e-5	0.0022515384774642517	0.0019096729229533978	RASSF9/ARC/HLA-DRA/HLA-DPA1/CD74/NCALD/IL7R/GAD1/GAD2	9
GO:0009897	external side of plasma membrane	14/230	407/19960	0.0343980343980344	2.985151159064203	4.368716376562049	2.8387242386026455e-4	0.015072466201507366	0.012783916808548465	BTN3A2/CD74/CXCR4/FCGR2A/AZGP1/IL7R/FCGR2B/FCGR3B/MICB/IL21R/SERPINA5/SELE/FCN1/PRLR	14
GO:0098992	neuronal dense core vesicle	4/230	29/19960	0.13793103448275862	11.970014992503748	6.382802992157803	3.253050259318136e-4	0.015072466201507366	0.012783916808548465	CRH/SST/SCG2/PENK	4
GO:0030662	coated vesicle membrane	9/230	205/19960	0.04390243902439024	3.809968186638388	4.366259876321897	6.420834724227937e-4	0.02549988647621952	0.021628074860557258	RASSF9/ARC/HLA-DRA/HLA-DPA1/CD74/NCALD/IL7R/GAD1/GAD2	9
GO:0030136	clathrin-coated vesicle	9/230	220/19960	0.04090909090909091	3.550197628458498	4.106590217371725	0.0010585164840535388	0.036783447820860474	0.03119838058263062	RASSF9/ARC/HLA-DRA/HLA-DPA1/CD74/NCALD/IL7R/GAD1/GAD2	9
GO:0031045	dense core granule	4/230	42/19960	0.09523809523809523	8.265010351966874	5.0887109549330765	0.0013637495988449337	0.037540179412738045	0.03184021275446165	CRH/SST/SCG2/PENK	4
GO:0034774	secretory granule lumen	11/230	324/19960	0.033950617283950615	2.9463231347289316	3.8135610453053452	0.001401452094075757	0.037540179412738045	0.03184021275446165	SELENOP/TTR/CRH/LTF/PCSK1/C3/CDA/PENK/MMRN1/S100A12/FCN1	11
GO:0060205	cytoplasmic vesicle lumen	11/230	329/19960	0.03343465045592705	2.9015461873926256	3.7549432743559206	0.0015821136254675012	0.037540179412738045	0.03184021275446165	SELENOP/TTR/CRH/LTF/PCSK1/C3/CDA/PENK/MMRN1/S100A12/FCN1	11
GO:0031983	vesicle lumen	11/230	330/19960	0.03333333333333333	2.892753623188406	3.743352031015981	0.0016204393991109947	0.037540179412738045	0.03184021275446165	SELENOP/TTR/CRH/LTF/PCSK1/C3/CDA/PENK/MMRN1/S100A12/FCN1	11
GO:0043204	perikaryon	7/230	152/19960	0.046052631578947366	3.996567505720823	4.004011448407101	0.001940224062186033	0.04149094532982439	0.03519110849632967	CRH/ADCYAP1/PCSK1/ATOH7/PENK/CRYAB/RCVRN	7
GO:0030133	transport vesicle	13/230	453/19960	0.02869757174392936	2.4904501391688263	3.4645040663692646	0.0023946904111080618	0.047551709592002944	0.04033162797655683	VGF/RASSF9/RPH3A/RAB3B/PCSK1/HLA-DRA/HLA-DPA1/CD74/NCALD/SYP/PENK/SYTL3/GAD2	13
