ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0062023	collagen-containing extracellular matrix	80/637	430/19960	0.18604651162790697	5.829652075499252	18.382339387570433	1.7834602815500148e-38	7.008998906491558e-36	5.6319798364737314e-36	NPNT/OGN/SLPI/ADAMTS2/FMOD/PRELP/ECM2/ANGPT1/MFAP4/COL3A1/COL1A2/COL8A1/LAMC1/DCN/LTBP1/THSD4/SERPINA5/LTBP2/ANXA2/TGFB2/ANXA1/SFRP2/COL1A1/CCDC80/AEBP1/COL21A1/S100A4/MMRN2/COL6A3/SSC5D/GPC4/MMRN1/ANGPT2/MGP/COL9A3/ITIH2/COLEC12/CCN2/COL25A1/GPC6/VWC2/COL6A2/LAMB2/VCAN/PCOLCE/CDON/FBLN1/S100A10/COL27A1/TGFBI/SRPX2/THBS2/F13A1/HAPLN1/SULF1/ABI3BP/FN1/CCN3/SRPX/NID1/SPARC/EGFLAM/FREM3/SEMA3B/ICAM1/TGFB3/S100A9/PODN/TGFB1I1/TNC/FGL2/LUM/COL4A1/TIMP1/GPC3/S100A8/ADAMTS1/CBLN4/SERPINA3/PRTN3	80
GO:0005788	endoplasmic reticulum lumen	38/637	314/19960	0.12101910828025478	3.7920587147156755	9.054284349966151	1.7860455309986886e-12	3.509579468412423e-10	2.820071891050561e-10	VGF/IGFBP5/COL3A1/COL1A2/COL8A1/LAMC1/LTBP1/PDIA2/COL1A1/COL21A1/COL6A3/FSTL1/C4A/COL9A3/ITIH2/CERCAM/BMP4/COL25A1/COL6A2/LAMB2/CES1/VCAN/COL27A1/PENK/BDNF/CSF1/FN1/SCG2/FLT3/WNT7B/TNC/MTTP/PDGFD/COL4A1/TIMP1/GPC3/F10/CP	38
GO:0005604	basement membrane	20/637	92/19960	0.21739130434782608	6.811821718654017	10.144507087283554	8.70994176203177e-12	1.1410023708261618e-9	9.168359749507127e-10	NPNT/COL8A1/LAMC1/ANXA2/CCDC80/MMRN2/VWC2/LAMB2/FBLN1/TGFBI/THBS2/FN1/NID1/SPARC/EGFLAM/FREM3/TNC/COL4A1/TIMP1/ADAMTS1	20
GO:0031091	platelet alpha granule	17/637	91/19960	0.18681318681318682	5.853675367019166	8.425685514684357	3.8158130849053146e-9	3.749036355919472e-7	3.012484014398933e-7	SERPINA5/TGFB2/PCYOX1L/MMRN1/CD109/ISLR/EGF/PECAM1/HGF/SYTL4/THBS2/F13A1/FN1/SPARC/TGFB3/TIMP1/SERPINA3	17
GO:0045177	apical part of cell	41/637	474/19960	0.08649789029535865	2.7103577555657123	6.842528442411017	8.135368021902296e-9	6.394399265215205e-7	5.138127171727766e-7	SLC47A1/SLC6A20/SLC5A3/ANXA1/SLC26A2/CD44/DDR2/PARD3/HVCN1/DSG2/GJA1/OSMR/EZR/SPEF1/FAT1/PARD3B/SLC4A11/KCNE4/ECRG4/CDHR5/CD34/PDPN/CA2/CA14/ITPR3/FN1/TRPV5/PTPRH/SLC16A8/MUC1/MAL/TMEM235/GPIHBP1/SLCO1A2/IGFBP2/SLC52A3/MYO7B/EDA/MGAM/P2RY6/VCAM1	41
GO:0016324	apical plasma membrane	36/637	408/19960	0.08823529411764706	2.764798226983101	6.53930169602749	4.071972431373346e-8	2.6671419425495416e-6	2.14314338493334e-6	SLC47A1/SLC6A20/SLC5A3/ANXA1/SLC26A2/CD44/DDR2/PARD3/HVCN1/DSG2/GJA1/OSMR/EZR/SPEF1/FAT1/PARD3B/SLC4A11/KCNE4/ECRG4/CDHR5/CD34/PDPN/CA14/FN1/TRPV5/PTPRH/SLC16A8/MUC1/MAL/TMEM235/GPIHBP1/SLCO1A2/IGFBP2/SLC52A3/MGAM/P2RY6	36
GO:0005581	collagen trimer	15/637	86/19960	0.1744186046511628	5.465298820780548	7.5345780953051085	8.234677190804071e-8	4.623183051408572e-6	3.714891965776273e-6	COL3A1/COL1A2/COL8A1/COL1A1/COL21A1/COL6A3/COL9A3/COLEC12/COL25A1/COL6A2/COL27A1/GLDN/LUM/COL4A1/EDA	15
GO:0005796	Golgi lumen	16/637	106/19960	0.1509433962264151	4.729717721631468	6.990475472924873	2.463440250424762e-7	1.2101650230211645e-5	9.724106251676694e-6	OGN/FMOD/PRELP/DCN/GPC4/GPC6/VCAN/OMD/MUC1/MMP14/WNT7B/LUM/GPC3/MUC6/F10/MUC5B	16
GO:0031093	platelet alpha granule lumen	12/637	67/19960	0.1791044776119403	5.612127744323907	6.865788422644496	1.2122628915906284e-6	4.832058323637401e-5	3.8827306738749715e-5	TGFB2/PCYOX1L/MMRN1/ISLR/EGF/HGF/F13A1/FN1/SPARC/TGFB3/TIMP1/SERPINA3	12
GO:0045178	basal part of cell	28/637	317/19960	0.08832807570977919	2.7677054806392345	5.760198629751793	1.2881953902062828e-6	4.832058323637401e-5	3.8827306738749715e-5	DSP/SLC47A1/SLC5A3/PRCP/SLC16A12/TGFBR3/PHLDB2/LEPR/ANXA2/ANXA1/CD44/AQP4/EZR/SPEF1/SLC4A11/CD34/PDPN/CA14/SLC43A3/SLC22A6/SLC16A8/B4GALT1/GPIHBP1/SLCO4A1/SLCO1A2/MTTP/SLC6A13/P2RY6	28
