ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0015453	oxidoreduction-driven active transmembrane transporter activity	12/403	68/18737	0.17647058823529413	8.204787622244929	8.824243027122979	2.0456970281738014e-8	5.793602051724358e-6	4.840581182698309e-6	COX3/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/ND6/MTCO2P12/ND2	12
GO:0030527	structural constituent of chromatin	14/403	98/18737	0.14285714285714285	6.641970932293513	8.302233169216453	2.2905545125808276e-8	5.793602051724358e-6	4.840581182698309e-6	H2BC5/H2BC18/H2BC8/H2BC19P/H2BC6/H2BC26/H3C6/H4C8/H2BC21/H4C5/H2AC6/H1-2/H1-4/H2BC4	14
GO:0009055	electron transfer activity	15/403	116/18737	0.12931034482758622	6.012128861127749	8.028087015426124	2.8681198275863157e-8	5.793602051724358e-6	4.840581182698309e-6	COX3/CYTB/COX2/ALDH4A1/ND4/ND1/ND4L/COX1/ND5/ND3/ND6/MTCO2P12/ND2/AOC2/STEAP4	15
GO:0140662	ATP-dependent protein folding chaperone	8/403	40/18737	0.2	9.298759305210918	7.78967877079935	1.7984157978479611e-6	2.2598996189908562e-4	1.8881565341924647e-4	HSPA8/HSP90AA1/HSPA1L/HSP90B2P/HSPA7/HSPA1B/HSPA6/CCT6B	8
GO:0050786	RAGE receptor binding	5/403	11/18737	0.45454545454545453	21.13354387547936	9.902763492952884	1.8646036460320596e-6	2.2598996189908562e-4	1.8881565341924647e-4	S100B/S100A4/S100A9/S100A12/S100A8	5
GO:0005201	extracellular matrix structural constituent	15/403	166/18737	0.09036144578313253	4.201246674041077	6.142114210133554	3.1332598598969934e-6	3.164592458495963e-4	2.6440315659832526e-4	LAMB1/THBS3/COL19A1/CCN1/COL9A3/FMOD/COL1A2/MGP/MMRN1/OGN/CHI3L1/MUC6/COL6A3/TGFBI/COL15A1	15
GO:0020037	heme binding	13/403	143/18737	0.09090909090909091	4.226708775095872	5.7425359673449305	1.3292287100863034e-5	0.0010859610101113478	9.073254227263479e-4	CYGB/HBA2/COX1/CYP39A1/CYP1B1/HBA1/HBB/KCNH7/STEAP4/CYP2C8/NOS2/PTGS2/CYP4F3	13
GO:0022853	active monoatomic ion transmembrane transporter activity	19/403	287/18737	0.06620209059233449	3.0779865295994324	5.25954093405021	1.579389770172666e-5	0.0010859610101113478	9.073254227263479e-4	SLC12A2/SLC38A2/SLC5A3/COX3/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/SLC12A4/ND6/MTCO2P12/ND2/SLC13A5/SLC5A5/SLC6A20	19
GO:0016675	oxidoreductase activity, acting on a heme group of donors	5/403	16/18737	0.3125	14.52931141439206	8.02663494467518	1.612813381353487e-5	0.0010859610101113478	9.073254227263479e-4	CYGB/COX3/COX2/COX1/MTCO2P12	5
GO:0008137	NADH dehydrogenase (ubiquinone) activity	7/403	41/18737	0.17073170731707318	7.937965260545907	6.593439841282237	2.4170473677799516e-5	0.0014647307048746506	0.0012237892462127968	ND4/ND1/ND4L/ND5/ND3/ND6/ND2	7
GO:0046906	tetrapyrrole binding	13/403	153/18737	0.08496732026143791	3.9504532995994097	5.432843694627666	2.7392484745521787e-5	0.0015090768868896549	0.0012608406854158834	CYGB/HBA2/COX1/CYP39A1/CYP1B1/HBA1/HBB/KCNH7/STEAP4/CYP2C8/NOS2/PTGS2/CYP4F3	13
GO:0015078	proton transmembrane transporter activity	14/403	185/18737	0.07567567567567568	3.5184494668365636	5.103711136456306	4.9272369170930884e-5	0.0024882546431320095	0.0020789482080015576	ATP8/COX3/ATP6/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/ND6/MTCO2P12/ND2	14
GO:0005506	iron ion binding	12/403	153/18737	0.0784313725490196	3.646572276553301	4.8732896423072285	1.2020412140781174e-4	0.005603361351779532	0.004681634202198985	CYGB/HBA2/EGLN1/CYP39A1/CYP1B1/HBA1/JMJD6/P4HA3/ALOXE3/CYP2C8/PPEF2/CYP4F3	12
GO:0005344	oxygen carrier activity	4/403	14/18737	0.2857142857142857	13.283941864587026	6.816734825302371	1.7786951665667094e-4	0.007699209078138756	0.006432724624951784	CYGB/HBA2/HBA1/HBB	4
GO:0044183	protein folding chaperone	8/403	75/18737	0.10666666666666667	4.95933829611249	5.093736770826214	2.0484619124026888e-4	0.008027647787054138	0.0067071366780841425	HSPA8/HSP90AA1/HSPA1L/HSP90B2P/HSPA7/HSPA1B/HSPA6/CCT6B	8
GO:0005216	monoatomic ion channel activity	22/403	439/18737	0.05011389521640091	2.3299852473193643	4.1806096679605265	2.2773181390721713e-4	0.008027647787054138	0.0067071366780841425	ORAI2/P2RX7/KCNMB4/TTYH1/ATP8/KCNH3/ATP6/KCNIP1/KCNE4/GLRA1/KCNE5/KCNA3/GABRA4/KCNH8/KCNH7/GRIN3B/CLCNKA/GABRE/FXYD1/SCN4A/CHRNA6/CHRNA2	22
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	7/403	58/18737	0.1206896551724138	5.611320270385899	5.2146458696478675	2.36204755348239e-4	0.008027647787054138	0.0067071366780841425	ND4/ND1/ND4L/ND5/ND3/ND6/ND2	7
GO:0004129	cytochrome-c oxidase activity	4/403	15/18737	0.26666666666666666	12.398345740281224	6.547472508323154	2.3844498377388528e-4	0.008027647787054138	0.0067071366780841425	COX3/COX2/COX1/MTCO2P12	4
GO:0015399	primary active transmembrane transporter activity	12/403	166/18737	0.07228915662650602	3.360997339232862	4.529958726699358	2.582172389294493e-4	0.008235770883749804	0.00688102448338311	COX3/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/ND6/MTCO2P12/ND2	12
GO:0016836	hydro-lyase activity	7/403	61/18737	0.11475409836065574	5.335353699711183	5.028169026489578	3.24322763555387e-4	0.009826979735728226	0.008210486803691639	CA4/ENOSF1/ENO3/CA9/CYP1B1/ALOXE3/CA12	7
GO:0043177	organic acid binding	13/403	199/18737	0.06532663316582915	3.03728319014427	4.283599404394688	3.8923473947813863e-4	0.011232202482083429	0.009384556876640837	MDK/HBA2/EGLN1/GLRA1/HBA1/HBB/P4HA3/SERPINA5/CCDC144A/S100A9/GRIN3B/S100A8/NOS2	13
GO:0005539	glycosaminoglycan binding	14/403	246/18737	0.056910569105691054	2.6459884201819683	3.852800115219349	9.304178723289364e-4	0.02504032049588208	0.02092130303720563	LGR6/MDK/CRISPLD2/THBS3/RSPO2/CCN1/VIT/SERPINA5/CCN2/CXCL8/CLEC3B/LYVE1/NLRP3/CD44	14
GO:0005230	extracellular ligand-gated monoatomic ion channel activity	7/403	73/18737	0.0958904109589041	4.458309255923043	4.389198707389427	9.718129234597265e-4	0.02504032049588208	0.02092130303720563	P2RX7/GLRA1/GABRA4/GRIN3B/GABRE/CHRNA6/CHRNA2	7
GO:0022804	active transmembrane transporter activity	21/403	458/18737	0.04585152838427948	2.1318116311073068	3.6357417194915778	9.916958612230526e-4	0.02504032049588208	0.02092130303720563	SLC12A2/SLC38A2/SLC5A3/COX3/CYTB/COX2/ND4/ND1/ND4L/COX1/ND5/ND3/SLC12A4/ND6/MTCO2P12/ND2/SLCO4A1/SLC13A5/SLC5A5/SLC16A11/SLC6A20	21
GO:0031720	haptoglobin binding	3/403	10/18737	0.3	13.948138957816376	6.072053574414332	0.0010590227718168864	0.025515798459001558	0.02131856706406071	HBA2/HBA1/HBB	3
GO:0022836	gated channel activity	16/403	308/18737	0.05194805194805195	2.4152621571976414	3.7129894552665537	0.0010947372276139283	0.025515798459001558	0.02131856706406071	P2RX7/KCNMB4/TTYH1/KCNH3/KCNE4/GLRA1/KCNE5/KCNA3/GABRA4/KCNH8/KCNH7/GRIN3B/CLCNKA/GABRE/CHRNA6/CHRNA2	16
GO:0051082	unfolded protein binding	9/403	122/18737	0.07377049180327869	3.4298702355286173	3.9920302606913527	0.0012954290993207114	0.02907518645142041	0.02429245211591666	HSPA8/HSP90AA1/DNAJA1/DNAJB4/HSPA1L/HSP90B2P/HSPA1B/HSPA6/CCT6B	9
