ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005201	extracellular matrix structural constituent	50/1392	166/18737	0.30120481927710846	4.054364007755159	11.197681147115965	2.7991471068861442e-18	2.7991471068861442e-15	2.1951206259265025e-15	NPNT/COL12A1/COL24A1/AEBP1/LTBP1/SPARC/COL8A2/IGFBP7/FN1/SRPX/TNC/MMRN1/COL6A2/TGFBI/FGL2/COL1A2/COL19A1/COL27A1/BGN/COL8A1/ELN/COL5A2/COL14A1/MMRN2/ACAN/CHADL/VWA1/TINAGL1/LAMB2/PRELP/COL18A1/NID1/EMILIN1/THSD4/SRPX2/MFAP4/COL3A1/HSPG2/LAMA5/PODN/MGP/TNXB/COL1A1/COL4A6/VWF/OGN/PCOLCE/LUM/CHI3L1/COL6A3	50
GO:0140375	immune receptor activity	45/1392	154/18737	0.2922077922077922	3.9332596283027312	10.35437420590979	4.928464211602324e-16	2.4642321058011623e-13	1.9324767566545956e-13	IL13RA1/IL12RB2/HLA-DOA/IL10RA/GFRA2/CMKLR1/IL6R/IL1RAPL2/CR1/CD44/IL1RL2/LILRA4/IL7R/C3AR1/CXCR4/HLA-DPA1/HLA-DRA/CD74/CSF2RB/OSMR/IL1R1/CSF3R/LILRB4/C5AR1/FCGR2A/CXCR6/LILRA2/FCGR2B/FPR3/HLA-DRB1/IL4R/LILRB2/LILRB1/CCR5/IL18R1/PRLR/FCER1G/LILRA1/HLA-DQA1/GPR35/EBI3/HLA-DQB1/IL1R2/CCRL2/IL21R	45
GO:0005178	integrin binding	44/1392	161/18737	0.2732919254658385	3.6786428214464197	9.669912593923634	1.529207436375591e-14	5.09735812125197e-12	3.997401895087072e-12	GFAP/NPNT/ITGB1/ITGA6/FGF1/ECM2/S1PR3/ITGB5/FN1/SYK/THY1/ITGAX/MMP14/TNC/ITGB2/TLN1/ITGB4/F11R/TGFBI/ITGA10/LCP1/EMP2/ITGA5/ITGAL/CXCL12/ITGA1/KDR/TSPAN8/JAML/LAMB2/EMILIN1/GPNMB/COL3A1/HSPG2/FERMT3/LAMA5/TNXB/SPP1/ICAM1/VWF/VCAM1/ITGBL1/IGF1/IL1B	44
GO:0005518	collagen binding	27/1392	69/18737	0.391304347826087	5.26714767616192	10.059681407458573	1.357770610458546e-13	3.394426526146365e-11	2.6619450126095177e-11	AEBP1/ANTXR1/ITGB1/DDR2/SPARC/CTSS/ECM2/CRTAP/PAK1/FN1/CD44/COL6A2/TGFBI/ITGA10/DDR1/C1QTNF1/ITGA1/COL14A1/CHADL/NID1/HSPG2/PODN/TNXB/SERPINH1/VWF/PCOLCE/LUM	27
GO:0019955	cytokine binding	36/1392	143/18737	0.2517482517482518	3.3886544489992767	8.122801448449778	5.0058025804686156e-11	1.0011605160937231e-8	7.85120615252446e-9	IL13RA1/TGFBR2/LTBP1/ITGB1/IL12RB2/TGFBR3/IL10RA/A2M/IL6R/TNFRSF1A/GBP1/TNFRSF1B/CXCR4/BGN/CD74/PDPN/CASP1/OSMR/SOSTDC1/CSF3R/PLP2/CXCR6/GREM2/LRRC32/TMC8/CCR5/IL18R1/PRLR/HYAL2/ZFP36/ENG/ACVRL1/EBI3/TSKU/WFIKKN2/CCRL2	36
GO:0015103	inorganic anion transmembrane transporter activity	39/1392	166/18737	0.23493975903614459	3.1624039260490235	7.927643729983905	7.621980464025768e-11	1.270330077337628e-8	9.962062185437188e-9	OCA2/ANO6/SLC37A2/GABRG3/CLCA4/SLC26A4/SLC12A1/CLIC4/GABRA3/SLC25A14/ANO3/SLC4A2/TTYH2/APOL1/CLIC1/SLC4A10/GABRA1/SLC12A4/GABRD/ANO2/GABRG2/GLRB/UCP2/SLC6A12/GABRA6/GABRB2/ABCC3/ABCC2/SLC34A3/SLC6A13/SLC12A7/SLC13A4/CLIC6/SLC26A9/SLC4A11/SLC5A5/SLC17A6/SLC1A7/SLC26A7	39
GO:0015108	chloride transmembrane transporter activity	32/1392	120/18737	0.26666666666666666	3.5894636015325667	8.06151170413409	1.1799180620208844e-10	1.6855972314584063e-8	1.3218630920384343e-8	OCA2/ANO6/GABRG3/CLCA4/SLC26A4/SLC12A1/CLIC4/GABRA3/SLC25A14/ANO3/SLC4A2/TTYH2/APOL1/CLIC1/SLC4A10/GABRA1/SLC12A4/GABRD/ANO2/GABRG2/GLRB/UCP2/SLC6A12/GABRA6/GABRB2/SLC6A13/SLC12A7/CLIC6/SLC26A9/SLC17A6/SLC1A7/SLC26A7	32
GO:0019838	growth factor binding	32/1392	132/18737	0.24242424242424243	3.26314872866597	7.391900775056008	1.6352147736699025e-9	2.0440184670873783e-7	1.602940797873786e-7	TGFBR2/LTBP1/ITGA6/TGFBR3/IL10RA/A2M/IL6R/IGFBP7/IGFBP5/ITGB4/FLT1/COL1A2/PCSK6/NGFR/OSMR/LRP2/RHBDF2/ERBB2/KDR/FBXW7-AS1/FLT4/LRRC32/FGFRL1/SRPX2/COL3A1/COL1A1/HYAL2/ENG/ACVRL1/EPHA2/TSKU/WFIKKN2	32
GO:0004896	cytokine receptor activity	26/1392	97/18737	0.26804123711340205	3.6079659912311883	7.295175451444397	5.695600126396786e-9	6.328444584885318e-7	4.962832858673223e-7	IL13RA1/IL12RB2/IL10RA/GFRA2/CMKLR1/IL6R/IL1RAPL2/CD44/IL1RL2/IL7R/CXCR4/CD74/CSF2RB/OSMR/IL1R1/CSF3R/CXCR6/IL4R/CCR5/IL18R1/PRLR/GPR35/EBI3/IL1R2/CCRL2/IL21R	26
GO:0008509	monoatomic anion transmembrane transporter activity	33/1392	148/18737	0.22297297297297297	3.001325139794967	6.924547508096356	8.776124906966426e-9	8.776124906966426e-7	6.88232953230525e-7	OCA2/ANO6/GABRG3/CLCA4/SLC26A4/SLC12A1/CLIC4/GABRA3/SLC25A14/ANO3/SLC4A2/TTYH2/APOL1/CLIC1/SLC4A10/GABRA1/SLC12A4/GABRD/ANO2/GABRG2/GLRB/UCP2/SLC6A12/GABRA6/GABRB2/SLC6A13/SLC12A7/CLIC6/SLC26A9/SLC5A5/SLC17A6/SLC1A7/SLC26A7	33
GO:0005539	glycosaminoglycan binding	44/1392	246/18737	0.17886178861788618	2.407567049808429	6.295458282903373	4.228025845964433e-8	3.843659859967666e-6	3.014238521764117e-6	SERPINA5/TGFBR2/TGFBR3/CCDC80/FGF1/GFRA2/ECM2/LTF/FN1/NELL1/CD44/SFRP1/TREM2/PTPRC/FBLN7/ADAMTS3/BGN/TNFRSF11B/PCSK6/FGF12/NELL2/ADAMTS1/ACAN/FGF9/GREM2/CFH/PRELP/SELL/FGFRL1/GPNMB/SMOC2/STAB1/PGF/TNXB/HYAL2/H1-1/SOD3/NOD2/ENG/MPO/LGR6/PCOLCE/EGFLAM/CXCL8	44
GO:0098631	cell adhesion mediator activity	20/1392	69/18737	0.2898550724637681	3.901590871231051	6.840419398287292	7.798337987389978e-8	6.316766607416657e-6	4.953674865816221e-6	ITGB1/PALLD/ANXA1/CLSTN3/ITGA10/CD200/DSP/CNTN2/ITGA1/ANXA2/CDC42EP1/PLXNB3/ESAM/EMILIN1/JUP/BCAM/S100A11/VCAM1/PDLIM1/ROBO4	20
