ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009055	electron transfer activity	13/168	116/18737	0.11206896551724138	12.499025041050903	11.816458550513039	3.7507615538126724e-11	1.5153076677403196e-8	1.2199845475032798e-8	QDPR/NOX4/CYTB/ND5/COX1/STEAP4/ND3/ND4/COX2/ND1/ND2/COX3/ND4L	13
GO:0015453	oxidoreduction-driven active transmembrane transporter activity	10/168	68/18737	0.14705882352941177	16.40143557422969	12.101910969182452	4.766750674219696e-10	9.628836361923786e-8	7.752241885967823e-8	CYTB/ND5/COX1/ND3/ND4/COX2/ND1/ND2/COX3/ND4L	10
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	8/168	58/18737	0.13793103448275862	15.383415435139574	10.435134032701281	4.6269392661851416e-8	6.230944878462657e-6	5.016576257021786e-6	AKR1C1/AKR1C2/ND5/ND3/ND4/ND1/ND2/ND4L	8
GO:0016651	oxidoreductase activity, acting on NAD(P)H	9/168	88/18737	0.10227272727272728	11.406452922077923	9.30711557690486	9.41269980356708e-8	8.975073236993228e-6	7.225892731190485e-6	AKR1C1/AKR1C2/NOX4/ND5/ND3/ND4/ND1/ND2/ND4L	9
GO:0015078	proton transmembrane transporter activity	12/168	185/18737	0.06486486486486487	7.2343629343629345	8.105529657917511	1.1107763907169837e-7	8.975073236993228e-6	7.225892731190485e-6	SLC4A11/CYTB/ND5/COX1/ND3/ATP6/ND4/COX2/ND1/ND2/COX3/ND4L	12
GO:0008137	NADH dehydrogenase (ubiquinone) activity	6/168	41/18737	0.14634146341463414	16.321428571428573	9.341479415074094	1.6473008500146873e-6	1.1091825723432227e-4	8.930104607974358e-5	ND5/ND3/ND4/ND1/ND2/ND4L	6
GO:0015399	primary active transmembrane transporter activity	10/168	166/18737	0.060240963855421686	6.718660355708549	7.039300808872242	2.564416117820787e-6	1.4800344451422828e-4	1.1915858351979296e-4	CYTB/ND5/COX1/ND3/ND4/COX2/ND1/ND2/COX3/ND4L	10
GO:0022853	active monoatomic ion transmembrane transporter activity	12/168	287/18737	0.041811846689895474	4.663265306122449	5.948534128717349	1.1205401644160822e-5	5.658727830301215e-4	4.5558804053232813e-4	SLC5A3/SLC6A12/CYTB/ND5/COX1/ND3/ND4/COX2/ND1/ND2/COX3/ND4L	12
GO:0022804	active transmembrane transporter activity	14/168	458/18737	0.03056768558951965	3.409206695778748	4.965116072428216	6.795298171297208e-5	0.003050333845782302	0.0024558446022582897	SLC4A11/SLC5A3/SLC6A12/SLCO4A1/CYTB/ND5/COX1/ND3/ND4/COX2/ND1/ND2/COX3/ND4L	14
GO:0005178	integrin binding	8/168	161/18737	0.049689440993788817	5.541851523217982	5.505142829527255	1.0375633954261527e-4	0.004191756117521657	0.0033748114651229602	VCAM1/IL1B/SFRP2/THBS1/EGFR/ITGA10/GFAP/TNC	8
GO:0005184	neuropeptide hormone activity	4/168	31/18737	0.12903225806451613	14.390937019969277	7.097414525617821	1.6242144506593123e-4	0.005884728339118443	0.004737834957758205	CARTPT/VGF/CRH/PNOC	4
GO:0160041	neuropeptide activity	4/168	32/18737	0.125	13.941220238095237	6.9689954784968275	1.8433344344256106e-4	0.005884728339118443	0.004737834957758205	CARTPT/VGF/CRH/PNOC	4
GO:0005179	hormone activity	7/168	132/18737	0.05303030303030303	5.914457070707071	5.3894754225278545	1.8936007031816773e-4	0.005884728339118443	0.004737834957758205	CARTPT/OSTN/APLN/VGF/CRH/PNOC/HAMP	7
GO:0004129	cytochrome-c oxidase activity	3/168	15/18737	0.2	22.30595238095238	7.8518009752964515	2.976128959686404e-4	0.008588257855095052	0.006914465026639842	COX1/COX2/COX3	3
GO:0016675	oxidoreductase activity, acting on a heme group of donors	3/168	16/18737	0.1875	20.911830357142858	7.578887750579286	3.638849509935554e-4	0.009800634680093092	0.00789055788470236	COX1/COX2/COX3	3
GO:0008307	structural constituent of muscle	4/168	42/18737	0.09523809523809523	10.6218820861678	5.937734333940853	5.351355150940542e-4	0.013496207334974851	0.010865888656871362	CSRP1/SMTN/MYOT/MYH11	4
GO:0044183	protein folding chaperone	5/168	75/18737	0.06666666666666667	7.435317460317459	5.311538535960517	5.679097145905259e-4	0.013496207334974851	0.010865888656871362	HSPA1A/DNAJB1/HSPA1B/HSPA6/HSPB1	5
GO:0033293	monocarboxylic acid binding	5/168	79/18737	0.06329113924050633	7.058845690174804	5.132981685403311	7.205704921946443e-4	0.016172804380368683	0.013020835209833046	AKR1C1/AKR1C2/FABP5/ID3/SERPINA5	5
GO:0051082	unfolded protein binding	6/168	122/18737	0.04918032786885246	5.485070257611241	4.727335955713019	8.149304643171187e-4	0.0173279951360061	0.013950887173074222	HSPA1A/DNAJB1/HSPA1B/HSPA6/HSPB1/SERPINH1	6
