ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005201	extracellular matrix structural constituent	44/624	166/18737	0.26506024096385544	7.959028421377819	16.7155453197097	1.7232766172825887e-27	1.2924574629619415e-24	1.0575476503955255e-24	NPNT/OGN/FMOD/PRELP/MFAP4/COL3A1/COL1A2/COL8A1/LAMC1/DCN/LTBP1/THSD4/LTBP2/COL1A1/AEBP1/COL21A1/MMRN2/COL6A3/MMRN1/MGP/COL9A3/COL25A1/COL6A2/LAMB2/VCAN/PCOLCE/FBLN1/COL27A1/TGFBI/SRPX2/THBS2/HAPLN1/ABI3BP/FN1/SRPX/NID1/SPARC/PODN/TNC/FGL2/FBN3/LUM/COL4A1/MUC6	44
GO:0005178	integrin binding	26/624	161/18737	0.16149068322981366	4.849120082815735	9.104033291173085	2.368752226572683e-11	8.88282084964756e-9	7.268329200483548e-9	NPNT/ECM2/S1PR3/COL3A1/SFRP2/ITGA10/ITGB8/ITGA5/CCN2/ICAM2/LAMB2/ITGA6/JAM2/GFAP/FBLN1/FGF2/TGFBI/FN1/CCN4/CCN3/MADCAM1/MMP14/ICAM1/TNC/JAML/VCAM1	26
GO:0005539	glycosaminoglycan binding	32/624	246/18737	0.13008130081300814	3.9059829059829063	8.515613654883678	4.4798440047683835e-11	1.1199610011920959e-8	9.164031771157782e-9	PRELP/ECM2/DCN/CEMIP/TNFRSF11B/TGFBR3/SERPINA5/LTBP2/NDNF/CCDC80/CD44/FSTL1/ITIH2/BMP4/CCN2/COL25A1/VCAN/PCOLCE/FGF2/THBS2/HAPLN1/SULF1/FN1/CCN4/CCN3/EGFLAM/LTF/FBLN7/CFH/ADAMTS1/LYVE1/LGR6	32
GO:0005518	collagen binding	15/624	69/18737	0.21739130434782608	6.527661649944259	8.537931011381165	6.23470906331087e-9	1.1690079493707881e-6	9.565356273447994e-7	ECM2/AEBP1/ITGA10/CD44/DDR2/ANTXR1/COL6A2/PCOLCE/TGFBI/FN1/NID1/SPARC/PODN/ADGRG6/LUM	15
GO:0019838	growth factor binding	19/624	132/18737	0.14393939393939395	4.322103243978244	7.109201008979659	7.919420840618737e-8	1.1879131260928106e-5	9.720047052801524e-6	IGFBP5/COL3A1/COL1A2/LTBP1/TGFBR3/LTBP2/COL1A1/OSMR/CCN2/ITGA6/SRPX2/EPHA2/TGFB3/FLT3/IGFBP2/COL4A1/FLT1/TSKU/NGFR	19
GO:0008201	heparin binding	22/624	176/18737	0.125	3.753405448717949	6.811791654938466	1.0137973368562027e-7	1.2672466710702533e-5	1.0369190305038003e-5	PRELP/ECM2/TGFBR3/SERPINA5/LTBP2/NDNF/CCDC80/FSTL1/BMP4/CCN2/COL25A1/PCOLCE/FGF2/THBS2/FN1/CCN4/CCN3/LTF/FBLN7/CFH/ADAMTS1/LGR6	22
GO:0030020	extracellular matrix structural constituent conferring tensile strength	11/624	45/18737	0.24444444444444444	7.339992877492877	7.9031946938608435	1.8538121428098554e-7	1.986227295867702e-5	1.62522177332052e-5	COL3A1/COL1A2/COL8A1/COL1A1/COL21A1/COL6A3/COL9A3/COL25A1/COL6A2/COL27A1/COL4A1	11
GO:0030021	extracellular matrix structural constituent conferring compression resistance	8/624	22/18737	0.36363636363636365	10.91899766899767	8.640119576794492	3.060484992532317e-7	2.8692046804990472e-5	2.3477141455872907e-5	OGN/FMOD/PRELP/DCN/VCAN/HAPLN1/PODN/LUM	8
GO:1901681	sulfur compound binding	26/624	277/18737	0.09386281588447654	2.8184416365824307	5.659250829011493	2.134112866054748e-6	1.6616108876840114e-4	1.3596058210803912e-4	PRELP/ECM2/TNFRSF11B/TGFBR3/SERPINA5/LTBP2/NDNF/CCDC80/FSTL1/BMP4/CCN2/COL25A1/PCOLCE/PRMT8/FGF2/CD34/THBS2/FN1/CCN4/CCN3/HPSE2/LTF/FBLN7/CFH/ADAMTS1/LGR6	26
GO:0015453	oxidoreduction-driven active transmembrane transporter activity	12/624	68/18737	0.17647058823529413	5.298925339366517	6.591577631828578	2.2154811835786817e-6	1.6616108876840114e-4	1.3596058210803912e-4	COX3/MTCO2P12/COX2/ND3/ND2/ND1/CYTB/COX1/ND4/ND4L/ND5/ND6	12
