category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	15/201	144/9512	0.10416666666666667	4.929519071310116	6.980879831272274	3.449629392586258e-7	8.865547538946683e-5	7.625496552032781e-5	3017/440689/8339/8344/128312/8353/8365/3111/8349/8367/8334/730/718/8347/2215	15
Human Diseases	Neurodegenerative disease	hsa05020	Prion disease	20/201	278/9512	0.07194244604316546	3.4045599341422386	5.978276883608611	1.607755614015365e-6	2.065965964009744e-4	1.7769930470696137e-4	100506742/4509/4514/4508/4519/4513/4538/4535/4539/4512/4540/4537/4541/4536/3312/730/116444/3305/3304/3310	20
Metabolism	Energy metabolism	hsa00190	Oxidative phosphorylation	13/201	138/9512	0.09420289855072464	4.457999855793497	6.011944956374923	6.606211814384687e-6	5.659321454322882e-4	4.867735021125559e-4	4509/4514/4508/4519/4513/4538/4535/4539/4512/4540/4537/4541/4536	13
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	16/201	227/9512	0.07048458149779736	3.335568851776361	5.232721312695266	2.392581217632565e-5	0.001537233432328923	0.0013222159360601017	4509/4514/4508/4519/4513/4538/4535/4539/4512/4540/4537/4541/4536/1545/2353/3082	16
Metabolism	Amino acid metabolism	hsa00330	Arginine and proline metabolism	7/201	50/9512	0.14	6.6252736318407965	5.859359425228674	7.834776307721082e-5	0.003355895851807197	0.0028864965344235567	112817/8659/65263/1610/57571/283208/4843	7
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	7/201	50/9512	0.14	6.6252736318407965	5.859359425228674	7.834776307721082e-5	0.003355895851807197	0.0028864965344235567	3040/7059/3039/3043/6347/3082/3576	7
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	14/201	205/9512	0.06829268292682927	3.2318407960199007	4.746224115285452	1.0974897511624425e-4	0.004029355229267825	0.0034657571089340288	4509/4514/4508/4519/4513/4538/4535/4539/4512/4540/4537/4541/4536/1278	14
Human Diseases	Substance dependence	hsa05034	Alcoholism	13/201	191/9512	0.06806282722513089	3.220963246594254	4.555538880396	2.0006587263721949e-4	0.006427116158470676	0.005528135954449486	3017/440689/8339/8344/128312/8353/135/8365/8349/8367/8334/116444/8347	13
Organismal Systems	Immune system	hsa04613	Neutrophil extracellular trap formation	13/201	196/9512	0.0663265306122449	3.1387958168341963	4.445243729219618	2.5804684833678326e-4	0.0073686711136170336	0.0063379927661666065	3017/440689/8339/8344/128312/8353/8365/8349/8367/8334/718/8347/2215	13
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	14/201	233/9512	0.060085836909871244	2.8434650780432604	4.185768874844886	4.1491434128629654e-4	0.010565844169376544	0.009087967542777286	8515/9672/7059/2027/9124/1299/1832/11155/1278/4608/4629/6442/1293/127294	14
Organismal Systems	Environmental adaptation	hsa04714	Thermogenesis	14/201	235/9512	0.059574468085106386	2.819265375251403	4.14895919002923	4.522345753429649e-4	0.010565844169376544	0.009087967542777286	4509/4514/4508/4519/4513/4538/4535/4539/4512/4540/4537/4541/4536/55811	14
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	8/201	89/9512	0.0898876404494382	4.253787243557493	4.531088201368402	5.644690153638712e-4	0.012089044745709574	0.010398113440913414	8515/3912/7059/1101/1299/1278/1293/960	8
Human Diseases	Neurodegenerative disease	hsa05012	Parkinson disease	15/201	271/9512	0.055350553505535055	2.619375447485818	3.9736139063444966	6.169545704442615e-4	0.012196717277244246	0.010490725489335618	4509/4514/1843/4508/4519/4513/4538/4535/4539/4512/4540/4537/4541/4536/135	15
Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	8/201	95/9512	0.08421052631578947	3.9851269965959673	4.296168294920529	8.722772036988878e-4	0.016012517239329584	0.013772797953140334	2353/6347/6280/3320/727897/6279/3576/5743	8
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	6/201	56/9512	0.10714285714285714	5.070362473347548	4.4883459480592744	0.0011134649330450841	0.019077365852839107	0.016408956908032818	3312/718/3305/3576/3304/3310	6
Organismal Systems	Nervous system	hsa04723	Retrograde endocannabinoid signaling	10/201	149/9512	0.06711409395973154	3.176065978830679	3.93342286376092	0.0012124117399417704	0.019474363572814686	0.01675042535445867	4538/4535/4539/4540/4537/4541/4536/2557/2564/5743	10
NA	NA	hsa04518	Integrin signaling	10/201	154/9512	0.06493506493506493	3.072946953543968	3.8103948796659775	0.0015557768163590295	0.023110400174610354	0.0198778785036583	8515/3912/7059/55679/1101/1299/1278/3082/718/1293	10
Metabolism	Amino acid metabolism	hsa00260	Glycine, serine and threonine metabolism	5/201	41/9512	0.12195121951219512	5.7711442786069655	4.498104243944868	0.0016186272495836045	0.023110400174610354	0.0198778785036583	1757/1610/314/113675/132158	5
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	17/201	370/9512	0.04594594594594595	2.1743176011832728	3.38515672327852	0.0021387757168184474	0.028929755748544263	0.024883263187361435	5027/1903/79957/4986/2741/135/23620/150/2557/718/116444/53829/2564/8973/2834/9340/1135	17
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	8/201	112/9512	0.07142857142857142	3.3802416488983655	3.7228804550274575	0.0025166508009102618	0.03233896279169686	0.02781561411532394	3912/3111/3312/3305/4843/3304/330/3310	8
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	17/201	391/9512	0.043478260869565216	2.0575383949816137	3.137445936200286	0.0037796955761274613	0.04478818016779568	0.038523521749895935	100506742/4509/4514/4508/4519/4513/4538/4535/4539/4512/4540/4537/4541/4536/7477/4843/5743	17
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	11/201	203/9512	0.054187192118226604	2.564321250888415	3.310056486665413	0.0038340076408229762	0.04478818016779568	0.038523521749895935	8515/3912/7059/1101/1299/1278/3082/2012/1293/330/91807	11
Human Diseases	Cancer: overview	hsa05203	Viral carcinogenesis	11/201	205/9512	0.05365853658536585	2.5393034825870644	3.2734769087590707	0.004129066333694226	0.046137828163452875	0.039684390392484545	3017/440689/8339/8344/128312/8365/8349/8367/890/718/8347	11
