category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	16/102	370/9512	0.043243243243243246	4.032644409114997	6.194697574117875	1.7701000422663257e-6	3.929622093831243e-4	3.204812708103242e-4	7425/116/887/6750/187/1392/4142/7432/84539/885/2847/4887/5029/5733/135/1813	16
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	12/102	226/9512	0.05309734513274336	4.951587714731911	6.259359153260463	4.9529591367252955e-6	5.497784641765078e-4	4.4837314290355304e-4	627/116/6750/1392/7432/5058/268/196883/5733/135/5350/1813	12
NA	NA	hsa04081	Hormone signaling	11/102	219/9512	0.0502283105022831	4.684036171546244	5.742306102243251	2.1250675318746773e-5	0.0015725499735872613	0.00128249689642963	887/6750/1392/7432/84539/885/2847/268/2785/196883/1813	11
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	7/102	101/9512	0.06930693069306931	6.463211026985053	5.7465758246038305	9.993894742812187e-5	0.005546611582260764	0.004523552357272885	3553/1958/4846/1278/6347/3576/1281	7
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	11/102	298/9512	0.03691275167785235	3.4422950388208977	4.459647375008892	3.344841873720352e-4	0.014635549722152011	0.011936057620721412	3553/6349/8995/8793/3575/268/6347/8809/653/3576/6374	11
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	12/102	362/9512	0.03314917127071823	3.0913227169320763	4.22360366663411	4.7358049940515333e-4	0.014635549722152011	0.011936057620721412	627/284/8515/1292/29941/3575/2324/4846/2785/1293/1278/5105	12
Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	6/102	95/9512	0.06315789473684211	5.889783281733746	4.986702892944184	5.274071971946671e-4	0.014635549722152011	0.011936057620721412	5743/3553/6347/3576/2354/6374	6
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	6/102	95/9512	0.06315789473684211	5.889783281733746	4.986702892944184	5.274071971946671e-4	0.014635549722152011	0.011936057620721412	284/3553/6349/6347/3576/6374	6
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	6/102	100/9512	0.06	5.595294117647059	4.809398006042717	6.929066927536049e-4	0.015882728958613822	0.012953197633388229	6349/8793/6347/8809/3576/6374	6
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	9/102	227/9512	0.039647577092511016	3.6973309147447524	4.282275158390315	7.154382413790011e-4	0.015882728958613822	0.012953197633388229	5743/3553/6349/3710/2785/196883/6347/5733/3576	9
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	6/102	105/9512	0.05714285714285714	5.328851540616246	4.643657009476568	8.960812641388529e-4	0.018084549148984122	0.01474889736190265	1292/7373/85301/1293/1278/1281	6
Organismal Systems	Digestive system	hsa04971	Gastric acid secretion	5/102	76/9512	0.06578947368421052	6.135190918472652	4.679374344880222	0.0012993153686979343	0.024037334320911784	0.01960370556281094	887/6750/3710/196883/115111	5
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	5/102	78/9512	0.0641025641025641	5.977878330819507	4.595809386224029	0.0014598912832726025	0.02493045114511675	0.020332089127359322	721/720/3553/3576/6374	5
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	4/102	50/9512	0.08	7.460392156862746	4.768379108250817	0.0019662360865026003	0.031178886514541235	0.025428015554770467	3553/3039/6347/3576	4
Organismal Systems	Endocrine system	hsa04911	Insulin secretion	5/102	86/9512	0.05813953488372093	5.421796625626995	4.28847257262937	0.0022513878127074062	0.03332053962806961	0.027174645879696414	116/885/3710/196883/6616	5
