category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	43/772	160/9512	0.26875	3.311334196891192	8.762671114216383	8.543019494339291e-13	2.7081371797055553e-10	1.843493680357426e-10	3688/3655/3111/3109/942/6614/3115/5175/6693/9369/3689/50848/3108/5788/6900/3113/3122/933/24146/3683/3106/3133/5010/26047/3107/100506658/120425/90952/6402/3123/257194/7122/64115/1003/947/3383/3117/7412/3119/23308/10686/3127/6401	43
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	30/772	95/9512	0.3157894736842105	3.890919007362967	8.416033716082177	3.183917454302724e-11	5.046509165069818e-9	3.4352793585897817e-9	284/3111/3109/942/3115/534/3689/1435/3108/3606/2321/3113/3122/3683/6387/529/10312/7040/6349/523/3123/6374/526/3383/3117/54/3119/3127/3553/3576	30
NA	NA	hsa04518	Integrin signaling	39/772	154/9512	0.2532467532467532	3.120314918242379	7.883793379819482	7.262445827183855e-11	7.673984424057608e-9	5.223864542360318e-9	255743/718/3688/3655/3693/2335/3687/80144/3371/3689/7094/64098/3691/1292/8515/2321/1278/3678/3683/3672/2316/7040/2064/3791/5829/2324/3913/83706/3911/5228/7148/1277/6696/3383/1288/7450/7412/3479/1293	39
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	30/772	102/9512	0.29411764705882354	3.6238951539164885	7.918041548183908	2.300033430738422e-10	1.8227764938601994e-8	1.2408075086878328e-8	721/3872/718/5724/3111/3109/720/716/3115/3689/5648/3108/719/3113/3122/3683/3426/715/728/2212/3075/2213/2359/3123/714/3383/3117/3119/3127/3880	30
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	18/772	44/9512	0.4090909090909091	5.040508714083844	7.983609495626423	2.6273177198508e-9	1.6657194343854072e-7	1.1338950159356084e-7	3111/3109/942/3115/3108/3113/3122/3106/3133/3107/2571/3123/3117/2572/3119/5551/3127/3553	18
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	28/772	100/9512	0.28	3.4499481865284976	7.319509269033984	3.1668021630498372e-9	1.6731271428113307e-7	1.1389376200442396e-7	3655/3111/3109/3570/1378/3115/1435/960/3108/951/3575/3678/3113/3122/933/3672/3554/1441/3123/3566/945/290/947/3117/3119/7850/3127/3553	28
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	25/772	88/9512	0.2840909090909091	3.500353273669336	7.003112391400931	1.6056905693102284e-8	7.271484435304892e-7	4.949873183587921e-7	5104/721/718/720/2/716/1378/3687/3689/5054/5648/730/719/3426/715/7056/728/3075/7035/714/10544/7450/2162/5265/5328	25
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	25/772	89/9512	0.2808988764044944	3.4610234616056355	6.932377218955006	2.064362442372625e-8	8.180036177901526e-7	5.568346061663001e-7	255743/3688/3655/3693/2335/80144/3371/3691/960/1292/9899/9900/8515/1278/3678/3672/3913/3339/3911/7148/1277/6696/1288/7450/1293	25
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	21/772	66/9512	0.3181818181818182	3.920395666509656	7.075476895937827	2.5386280730397083e-8	8.941612212817639e-7	6.086769064013335e-7	3595/3111/3109/7100/3115/6775/3108/4772/3606/3113/3122/7040/3123/3566/8809/64127/3117/3119/50615/3127/3553	21
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	35/772	159/9512	0.22012578616352202	2.712223417082152	6.470674475368074	3.557754504101153e-8	1.1278081778000653e-6	7.677259719376171e-7	81035/718/3688/3111/3109/1520/3693/3115/1780/534/3689/4481/3108/3678/3113/3122/7277/3106/7280/64581/529/715/3133/10312/2212/3107/523/2213/3123/526/3117/4353/8685/3119/3127	35
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	26/772	101/9512	0.25742574257425743	3.1718052634278973	6.521232828891797	7.672480085789994e-8	2.0240479773978246e-6	1.3778178162595186e-6	51196/7048/2308/5581/6776/2335/23236/5054/4313/4772/1278/5579/113026/1958/7056/7040/1281/4846/1277/5331/3383/1288/7412/3553/6401/3576	26
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	21/772	70/9512	0.3	3.6963730569948186	6.729193636003087	8.036449016503354e-8	2.0240479773978246e-6	1.3778178162595186e-6	1837/3111/3109/942/3115/3689/857/3108/3113/3122/3683/3106/3133/3107/3123/6442/3383/3117/3119/5551/3127	21
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	44/772	233/9512	0.1888412017167382	2.3267584335875826	6.093758723532199	8.300512210148807e-8	2.0240479773978246e-6	1.3778178162595186e-6	255631/1837/3688/3655/161176/7431/23224/8736/3693/2335/2318/2026/7094/3691/1292/8515/1832/8572/1278/3678/85301/633/23500/3672/2006/1290/25802/7138/478/4811/3728/6442/1281/3339/5339/1277/4629/7169/1288/9124/10398/72/1674/1293	44
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	60/772	370/9512	0.16216216216216217	1.9980394902674699	5.81961164151472	1.2704075018922464e-7	2.876565557856015e-6	1.958146901412861e-6	2918/187/718/5724/4142/59350/140/1903/2567/9568/2847/84539/2915/4889/2892/1128/6750/2846/116/719/2556/7432/885/1816/887/5746/1132/3356/3361/2903/728/1131/5646/2554/1902/2563/2566/1392/2743/1268/2559/2359/53637/5029/2561/5745/6866/6863/2150/3062/4887/5618/4160/4923/2859/2696/130576/7425/151/5368	60
Human Diseases	Immune disease	hsa05330	Allograft rejection	15/772	39/9512	0.38461538461538464	4.738939816660024	6.953493198637885	1.509072877315974e-7	3.1891740140610913e-6	2.1709469463142082e-6	3111/3109/942/3115/3108/3113/3122/3106/3133/3107/3123/3117/3119/5551/3127	15
NA	NA	hsa04082	Neuroactive ligand signaling	39/772	199/9512	0.19597989949748743	2.4147160673835497	5.994004261755356	1.6581804749993996e-7	3.2852700660925605e-6	2.2363618248347166e-6	2918/140/2567/9568/2785/23236/2915/6511/9177/2892/1128/6536/2556/5579/1816/1132/3356/3361/2903/1131/2554/2563/2566/2743/6539/2559/5029/2561/6866/196883/6863/5582/6540/5331/4160/151/57084/6512/5368	39
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	16/772	45/9512	0.35555555555555557	4.380886586067933	6.756109741799647	2.0878688132477913e-7	3.893261257644411e-6	2.650235954896577e-6	3111/3109/942/3115/3108/3113/3122/3106/3133/3107/3123/3117/3119/5551/3127/3553	16
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	39/772	203/9512	0.1921182266009852	2.3671354552183566	5.851592504156028	2.860434809275252e-7	5.037543525223638e-6	3.429176233341676e-6	3688/3655/3693/2012/5058/2335/5923/3371/7094/64098/857/3691/1292/8515/2321/2013/1278/3678/5579/3672/2316/2064/3791/5829/7408/2324/3913/5582/3911/5228/7148/1277/91807/6696/1288/7450/10398/3479/1293	39
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	58/772	362/9512	0.16022099447513813	1.9741218904760542	5.61594784467383	3.1588355832220793e-7	5.27026778884947e-6	3.587597199781309e-6	284/3688/64764/3655/2246/3570/23533/3693/4170/2335/6850/2785/3371/1435/3691/1292/1128/8515/3575/7157/2846/2321/1278/3678/7532/3672/4804/9180/1441/57121/1017/29941/118788/2064/3791/2254/1902/2250/2324/3913/7533/3566/4846/3911/285/5228/7148/6256/1277/6696/5618/5105/1288/7450/1026/1969/3479/1293	58
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	16/772	50/9512	0.32	3.94279792746114	6.200404124814903	1.0800059928173095e-6	1.7118094986154353e-5	1.1652696238292023e-5	3111/3109/942/3115/3108/7852/3113/3122/6387/7040/4055/3123/3117/3119/23308/3127	16
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	35/772	182/9512	0.19230769230769232	2.369469908330012	5.543874504091238	1.138608550879837e-6	1.7187567172805158e-5	1.1699987615557221e-5	718/3111/3109/1520/843/3587/1378/3115/6850/3687/3689/4261/7132/3108/8877/3606/3113/3122/972/4843/808/64581/10312/7040/2212/26253/2213/3123/4046/2207/64127/3117/3119/3127/3553	35
Organismal Systems	Immune system	hsa04670	Leukocyte transendothelial migration	26/772	116/9512	0.22413793103448276	2.761658031088083	5.673422455409858	1.4218168912935764e-6	2.0118260295279464e-5	1.3694980443407903e-5	3688/4478/5175/7070/3689/50848/2185/4313/7852/24146/5579/3683/6387/6494/5010/5829/7408/100506658/90952/7122/1003/5582/3383/7412/10398/10686	26
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	40/772	224/9512	0.17857142857142858	2.200222057735011	5.402447242444857	1.4596845009193303e-6	2.0118260295279464e-5	1.3694980443407903e-5	4773/7048/64764/3111/3109/6776/1030/3115/3689/7094/7132/3108/4772/7157/4487/3113/3122/3683/3106/3133/3554/1958/2113/7040/1959/1017/4055/4791/3107/3123/6929/6688/196883/3383/7538/3117/1026/3119/7850/3127	40
Environmental Information Processing	Signal transduction	hsa04020	Calcium signaling pathway	43/772	254/9512	0.16929133858267717	2.0858798090653177	5.213219999452425	2.573031110962891e-6	3.398545259063486e-5	2.313470955032424e-5	51196/4773/5724/3707/2246/57172/23236/2915/1128/2185/8877/4772/7942/2321/7852/4843/5579/113026/808/1816/887/844/3356/3361/2903/1131/814/2064/3791/2254/2250/2324/3710/196883/4846/5582/84876/91807/5331/845/5350/4923/3270	43
