category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	16/100	227/9512	0.07048458149779736	6.704493392070486	8.96625709573743	1.4856004989230897e-9	2.896920972900025e-7	2.548977698152249e-7	1645/1646/50507/4233/4519/4540/1956/4512/4537/4508/4538/4513/4535/4536/4514/4539	16
Human Diseases	Neurodegenerative disease	hsa05020	Prion disease	15/100	278/9512	0.0539568345323741	5.132374100719424	7.2077418783625955	1.8101663340770237e-7	1.2301652378569241e-5	1.0824125979523813e-5	3303/3553/3304/4519/4540/4512/4537/4508/3310/4538/4513/4535/4536/4514/4539	15
Metabolism	Energy metabolism	hsa00190	Oxidative phosphorylation	11/100	138/9512	0.07971014492753623	7.582028985507247	8.028030072783833	1.8925619043952678e-7	1.2301652378569241e-5	1.0824125979523813e-5	4519/4540/4512/4537/4508/4538/4513/4535/4536/4514/4539	11
Human Diseases	Neurodegenerative disease	hsa05012	Parkinson disease	13/100	271/9512	0.04797047970479705	4.562952029520296	6.13348442915872	4.747414039699971e-6	2.314364344353736e-4	2.0363907591344616e-4	1843/4519/4540/4512/4537/4508/4538/4513/4535/4536/1813/4514/4539	13
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	11/100	205/9512	0.05365853658536585	5.104	6.122820918098318	9.433173215727368e-6	3.678937554133674e-4	3.237067861396971e-4	4519/4540/4512/4537/4508/4538/4513/4535/4536/4514/4539	11
Environmental Information Processing	Signal transduction	hsa04010	MAPK signaling pathway	13/100	300/9512	0.043333333333333335	4.121866666666667	5.6633075237070685	1.4254640392346549e-5	4.6327581275126286e-4	4.076326989390329e-4	22808/3303/1843/9448/3553/4233/3304/1956/1846/5228/3310/3315/285	13
Organismal Systems	Environmental adaptation	hsa04714	Thermogenesis	11/100	235/9512	0.04680851063829787	4.452425531914893	5.5236557481777755	3.3845011693172145e-5	9.428253257383669e-4	8.295844971409113e-4	4519/4540/4512/4537/4508/4538/4513/4535/4536/4514/4539	11
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	14/100	391/9512	0.03580562659846547	3.405831202046036	5.007309496589481	5.469494307229852e-5	0.0013331892373872763	0.0011730625948400868	50507/3553/4519/4540/4512/4537/4508/4538/4513/4535/8326/4536/4514/4539	14
Human Diseases	Neurodegenerative disease	hsa05022	Pathways of neurodegeneration - multiple diseases	15/100	483/9512	0.031055900621118012	2.9540372670807455	4.543167121174963	1.4505537292163286e-4	0.0031428664133020456	0.002765383132891948	50507/3553/4519/4540/4512/4537/4508/4538/4513/5173/4535/8326/4536/4514/4539	15
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	5/100	50/9512	0.1	9.512	6.220098710804523	1.6913329365691134e-4	0.003298099226309771	0.0029019712490606893	7412/3040/3553/4233/7057	5
Human Diseases	Neurodegenerative disease	hsa05016	Huntington disease	11/100	311/9512	0.03536977491961415	3.364372990353698	4.369691735070197	4.047844437089039e-4	0.007175724229385115	0.006313862614789603	4519/4540/4512/4537/4508/4538/4513/4535/4536/4514/4539	11
NA	NA	hsa04081	Hormone signaling	9/100	219/9512	0.0410958904109589	3.9090410958904105	4.489170258467548	4.77499731856659e-4	0.007759370642670708	0.006827408446722406	84539/146/5618/1392/5368/5173/57817/2852/1813	9
Human Diseases	Infectious disease: parasitic	hsa05143	African trypanosomiasis	4/100	37/9512	0.10810810810810811	10.283243243243243	5.831538060397409	5.819836509404476e-4	0.008729754764106715	0.00768124170876866	7412/3040/3553/3250	4
Organismal Systems	Nervous system	hsa04723	Retrograde endocannabinoid signaling	7/100	149/9512	0.04697986577181208	4.468724832214765	4.398733021164799	9.53759458209592e-4	0.013284506739347888	0.011688931705876955	4540/4537/55879/4538/4535/4536/4539	7
NA	NA	hsa04518	Integrin signaling	7/100	154/9512	0.045454545454545456	4.323636363636364	4.286022765327496	0.0011569846755632124	0.015040800782321761	0.01323428085030201	7412/4233/7057/1956/8515/5228/3371	7
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	11/100	370/9512	0.02972972972972973	2.827891891891892	3.696603680331871	0.0016873417507878036	0.01867530955719462	0.016432256182578805	84539/8862/146/5618/7425/1902/55879/1392/5368/5173/1813	11
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	8/100	212/9512	0.03773584905660377	3.5894339622641507	3.9300984305738567	0.0017140168721237268	0.01867530955719462	0.016432256182578805	22808/4233/7057/1956/1902/5228/285/1813	8
Human Diseases	Neurodegenerative disease	hsa05014	Amyotrophic lateral sclerosis	11/100	371/9512	0.029649595687331536	2.8202695417789756	3.6863616052770922	0.0017238747283564266	0.01867530955719462	0.016432256182578805	4519/4540/4512/4537/4508/4538/4513/4535/4536/4514/4539	11
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	4/100	56/9512	0.07142857142857142	6.7942857142857145	4.482417650896366	0.0027791514531260433	0.02852287017681992	0.0250970463634097	3303/3553/3304/3310	4
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	10/100	362/9512	0.027624309392265192	2.6276243093922655	3.2543933023876273	0.004636340573684044	0.04520432059341943	0.03977492176371049	54541/4233/5618/7057/1956/1902/8515/5228/3371/285	10
