category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Energy metabolism	hsa00190	Oxidative phosphorylation	14/32	138/9512	0.10144927536231885	30.155797101449277	20.044069466316593	3.5318341940569195e-18	3.3905608262946425e-16	2.9369989613736485e-16	4514/4509/4513/4540/4519/4538/4512/4537/4536/4508/4541/4539/4535/64077	14
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	14/32	205/9512	0.06829268292682927	20.3	16.22980470359215	1.0023854604017646e-15	4.81145020992847e-14	4.1678132300915474e-14	4514/4509/4513/4540/4519/4538/4512/4537/4536/4508/4541/4539/4535/7043	14
Human Diseases	Neurodegenerative disease	hsa05020	Prion disease	14/32	278/9512	0.050359712230215826	14.969424460431654	13.733773724585864	7.054152619586269e-14	2.257328838267606e-12	1.955361603323913e-12	4514/4509/4513/4540/4519/4538/4512/4537/4536/4508/4541/4539/4535/3304	14
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	13/32	227/9512	0.05726872246696035	17.023127753303964	14.19558129790408	1.3448894709660462e-13	3.227734730318511e-12	2.7959544264820437e-12	4514/4509/4513/4540/4519/4538/4512/4537/4536/4508/4541/4539/4535	13
Organismal Systems	Environmental adaptation	hsa04714	Thermogenesis	13/32	235/9512	0.05531914893617021	16.443617021276594	13.927176754087728	2.1033824673705265e-13	4.0384943373514106e-12	3.498257156258349e-12	4514/4509/4513/4540/4519/4538/4512/4537/4536/4508/4541/4539/4535	13
Human Diseases	Neurodegenerative disease	hsa05012	Parkinson disease	13/32	271/9512	0.04797047970479705	14.259225092250924	12.86551617126879	1.3114458593856911e-12	2.0983133750171058e-11	1.8176179454643787e-11	4514/4509/4513/4540/4519/4538/4512/4537/4536/4508/4541/4539/4535	13
Human Diseases	Neurodegenerative disease	hsa05016	Huntington disease	13/32	311/9512	0.04180064308681672	12.42524115755627	11.901781313853956	7.559339839720506e-12	1.036709463733098e-10	8.980268381021354e-11	4514/4509/4513/4540/4519/4538/4512/4537/4536/4508/4541/4539/4535	13
Human Diseases	Neurodegenerative disease	hsa05014	Amyotrophic lateral sclerosis	13/32	371/9512	0.03504043126684636	10.41576819407008	10.748052268652891	6.960467987114375e-11	8.35256158453725e-10	7.235223302395205e-10	4514/4509/4513/4540/4519/4538/4512/4537/4536/4508/4541/4539/4535	13
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	13/32	391/9512	0.03324808184143223	9.882992327365729	10.421022873624489	1.3401796633697316e-10	1.429524974261047e-9	1.2382946597217403e-9	4514/4509/4513/4540/4519/4538/4512/4537/4536/4508/4541/4539/4535	13
Human Diseases	Neurodegenerative disease	hsa05022	Pathways of neurodegeneration - multiple diseases	13/32	483/9512	0.026915113871635612	8.000517598343686	9.174191513435124	1.819083430647214e-9	1.7463200934213254e-8	1.5127114844329463e-8	4514/4509/4513/4540/4519/4538/4512/4537/4536/4508/4541/4539/4535	13
Organismal Systems	Nervous system	hsa04723	Retrograde endocannabinoid signaling	8/32	149/9512	0.053691275167785234	15.95973154362416	10.692846537150901	2.2976080586289428e-8	2.0051852148034408e-7	1.736947718963507e-7	4540/4538/4537/4536/4541/4539/4535/2788	8
Organismal Systems	Circulatory system	hsa04260	Cardiac muscle contraction	4/32	87/9512	0.04597701149425287	13.666666666666666	6.895491065587316	1.9308342655408538e-4	0.001544667412432683	0.0013380342717344512	4514/4513/4519/4512	4
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	4/32	157/9512	0.025477707006369428	7.573248407643312	4.824939660079664	0.0017919762729426466	0.013233055554038007	0.01146284417509871	4514/4513/4519/4512	4
