category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	17/131	182/9512	0.09340659340659341	6.7823169197215	9.307240446851795	4.093405287854804e-10	8.104942469952513e-8	6.463271507139165e-8	3587/3109/1520/3111/4261/3108/3122/3113/972/718/1378/2212/2213/4046/64127/2215/3553	17
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	13/131	102/9512	0.12745098039215685	9.254303248016763	9.903982513183724	1.1617946714305782e-9	1.1501767247162724e-7	9.172063195504564e-8	721/6404/3109/3111/5724/3108/3122/3113/718/720/2212/2213/2215	13
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	10/131	66/9512	0.15151515151515152	11.001619245894055	9.634795144472012	1.9063972226904617e-8	1.2582221669757047e-6	1.0033669593107693e-6	7100/3109/3111/3108/3122/3113/6775/64127/50615/3553	10
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	11/131	95/9512	0.11578947368421053	8.407553234230615	8.574414405318306	6.480850706568877e-8	3.2080210997515944e-6	2.5582305420666623e-6	3109/284/3111/3108/3122/3113/6349/6352/3576/6374/3553	11
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	10/131	79/9512	0.12658227848101267	9.191226205430477	8.63896507951768	1.118996824301297e-7	4.026745329238589e-6	3.2111206772237556e-6	3109/3111/3108/3122/3113/718/1378/2212/2215/3553	10
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	8/131	44/9512	0.18181818181818182	13.201943095072867	9.586285953001553	1.220225857345027e-7	4.026745329238589e-6	3.2111206772237556e-6	3109/3111/3108/3122/3113/2571/2572/3553	8
Organismal Systems	Immune system	hsa04612	Antigen processing and presentation	10/131	82/9512	0.12195121951219512	8.854961832061068	8.44149426227181	1.6046000989217398e-7	4.538725994092921e-6	3.6193987193723457e-6	3109/1520/3111/4261/3108/3122/3113/972/3303/3304	10
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	8/131	56/9512	0.14285714285714285	10.372955288985823	8.312678761419493	8.514924923378571e-7	2.1074439185361962e-5	1.6805772875089285e-5	7100/834/718/1378/3303/3576/3304/3553	8
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	10/131	100/9512	0.1	7.261068702290077	7.43758052427205	1.0530488584522916e-6	2.3167074885950414e-5	1.8474541376355996e-5	3109/3111/951/3108/3122/3113/1378/3575/7850/3553	10
Human Diseases	Infectious disease: viral	hsa05164	Influenza A	12/131	173/9512	0.06936416184971098	5.036579446675197	6.331557264202953	4.341749634642746e-6	8.596664276592638e-5	6.855394159962231e-5	3109/834/3111/4261/51284/3108/3122/3113/8797/6352/3576/3553	12
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	17/131	370/9512	0.04594594594594595	3.3361667010521976	5.416369122259728	1.1967767079916851e-5	2.1541980743850333e-4	1.7178613033373472e-4	7425/4142/1392/6750/116/187/5724/1146/718/6863/1816/5179/2559/7432/5733/4887/5618	17
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	15/131	298/9512	0.050335570469798654	3.654900353501716	5.502454044505317	1.394315377492474e-5	2.300620372862582e-4	1.8346254967006238e-4	3587/8793/7852/9235/6349/3575/8797/50615/6352/3576/6374/653/5618/7850/3553	15
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	9/131	112/9512	0.08035714285714286	5.834787350054526	6.082003032520724	2.2466599046832675e-5	3.421835854825284e-4	2.728736726335952e-4	3587/3109/3111/4261/3108/3122/3113/3303/3304	9
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	10/131	144/9512	0.06944444444444445	5.042408821034775	5.775933821621196	2.799126160646273e-5	3.958764141485443e-4	3.156909203736398e-4	721/3109/3111/3108/3122/3113/718/720/2212/2215	10
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	6/131	45/9512	0.13333333333333333	9.681424936386769	6.897873943388803	3.1894153293333556e-5	4.210028234720029e-4	3.357279294035111e-4	3109/3111/3108/3122/3113/3553	6
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	8/131	93/9512	0.08602150537634409	6.246080604120496	6.007561225835634	3.985747826015475e-5	4.928439337062652e-4	3.9301749099383197e-4	3109/3111/3108/3122/3113/6775/864/54567	8
Human Diseases	Infectious disease: viral	hsa05168	Herpes simplex virus 1 infection	11/131	183/9512	0.060109289617486336	4.364576815584199	5.430785090107445	4.231488319700257e-5	4.928439337062652e-4	3.9301749099383197e-4	3109/3111/3108/3122/3113/972/718/6672/684/6352/3553	11
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	6/131	50/9512	0.12	8.713282442748092	6.461850938425481	5.88174771535758e-5	6.464629301435561e-4	5.155206779454195e-4	3109/3111/3108/3122/3113/7852	6
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	10/131	159/9512	0.06289308176100629	4.566709875654136	5.35938615427041	6.532174179260379e-5	6.464629301435561e-4	5.155206779454195e-4	3109/1520/3111/3108/3122/3113/718/2212/2213/2215	10
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	8/131	100/9512	0.08	5.808854961832061	5.7124825982326515	6.719457289676798e-5	6.464629301435561e-4	5.155206779454195e-4	3587/8793/7852/6349/8797/6352/3576/6374	8
Human Diseases	Immune disease	hsa05310	Asthma	5/131	32/9512	0.15625	11.345419847328245	6.926966885229742	6.85642501667408e-5	6.464629301435561e-4	5.155206779454195e-4	3109/3111/3108/3122/3113	5
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	7/131	78/9512	0.08974358974358974	6.516343707183402	5.780625761954992	9.382459826260798e-5	8.444213843634719e-4	6.73382284181397e-4	721/834/718/720/3576/6374/3553	7
Human Diseases	Immune disease	hsa05330	Allograft rejection	5/131	39/9512	0.1282051282051282	9.30906243883343	6.14419128608186	1.8147328284167744e-4	0.0015622482609848752	0.0012458120103547652	3109/3111/3108/3122/3113	5
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	9/131	160/9512	0.05625	4.084351145038169	4.649387336363878	3.535094032554373e-4	0.002916452576857358	0.0023257197582594556	6404/3109/3111/6614/3108/3122/3113/100506658/6401	9
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	7/131	109/9512	0.06422018348623854	4.663071643672526	4.545164588669622	7.43833590498954e-4	0.005891162036751716	0.0046978963610460256	3109/3111/3108/3122/3113/50615/3553	7
Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	5/131	54/9512	0.09259259259259259	6.7232117613797	4.983806946156382	8.452645829584432e-4	0.006437014900991221	0.005133185726468279	3109/3111/3108/3122/3113	5
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	5/131	70/9512	0.07142857142857142	5.1864776444929115	4.15422456109391	0.0027151568053545875	0.01991114990593364	0.015878109972833843	3109/3111/3108/3122/3113	5
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	9/131	216/9512	0.041666666666666664	3.025445292620865	3.5581438841827877	0.002933389593716354	0.020743254984137073	0.016541670641257635	834/6349/8797/3303/6352/3576/3304/6401/3553	9
Organismal Systems	Development and regeneration	hsa04380	Osteoclast differentiation	7/131	143/9512	0.04895104895104895	3.5543692948273105	3.6368823732173183	0.003550859302809033	0.02424379799848926	0.019333172247599093	23547/7305/2212/2213/2215/10990/3553	7
Organismal Systems	Immune system	hsa04620	Toll-like receptor signaling pathway	6/131	109/9512	0.05504587155963303	3.996918551719309	3.718597232443153	0.0038723468494958786	0.025557489206672796	0.02038077289208357	7100/51284/6349/6352/3576/3553	6
