category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
NA	NA	hsa04518	Integrin signaling	24/348	154/9512	0.15584415584415584	4.25974025974026	7.947160953456886	1.5110051440112664e-9	2.17802473134288e-7	1.8758107734053512e-7	255743/1278/3915/1277/8515/3696/1293/3678/1299/3384/1292/1950/3913/3655/3082/7058/2335/8174/3383/3371/80310/1282/2321/7412	24
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	30/348	233/9512	0.12875536480686695	3.5193133047210297	7.586993743416834	1.5230942177222936e-9	2.17802473134288e-7	1.8758107734053512e-7	1832/1281/1278/1634/57644/11155/1277/8515/3696/1293/5318/57159/1837/3678/1829/1299/1292/3655/1462/7431/4629/2192/85301/9124/7058/2335/4811/8572/84467/1282	30
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	37/348	362/9512	0.10220994475138122	2.7937384898710866	6.7805205739842185	1.1905690512398711e-8	1.1350091621820104e-6	9.775198525969469e-7	284/1278/3915/55970/1277/8515/3696/1293/285/3678/9180/1299/1292/1950/3913/3655/2846/1017/2247/3082/627/7058/7099/1435/2335/1969/2322/3371/1902/80310/10110/1282/4846/2321/94235/4804/5618	37
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	17/348	89/9512	0.19101123595505617	5.2209737827715355	7.796025213073776	1.751258872686392e-8	1.2521500939707702e-6	1.0784067794963571e-6	255743/1278/3915/1277/8515/3696/960/1293/3678/1299/1292/3913/3655/7058/2335/3371/1282	17
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	12/348	50/9512	0.24	6.5600000000000005	7.6811897630329495	1.6482885802008248e-7	9.428210678748718e-6	8.119990058252485e-6	7042/3040/5175/3039/3082/7058/7099/3043/3383/7043/6347/7412	12
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	23/348	203/9512	0.11330049261083744	3.09688013136289	5.8847806696357825	1.3372327096077595e-6	5.954859890460033e-5	5.128587465467972e-5	1278/3915/824/1277/8515/3696/1293/2012/2002/3678/1299/1292/1950/3913/3655/3082/7058/2335/3371/80310/1282/2321/91807	23
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	23/348	204/9512	0.11274509803921569	3.081699346405229	5.856863126817898	1.4574831899727355e-6	5.954859890460033e-5	5.128587465467972e-5	22808/1278/51196/1634/7042/1277/8324/960/2002/3678/8321/7430/3709/2247/3082/6608/7099/3710/2335/60495/7477/4060/2719	23
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	21/348	205/9512	0.1024390243902439	2.8	5.07697180117618	1.8786513645244403e-5	6.716178628174874e-4	5.784268674983146e-4	1281/1278/7042/1277/5350/4514/6517/4508/4513/4537/4509/4536/4535/4519/4512/4538/7043/4846/4539/4540/4541	21
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	30/348	370/9512	0.08108108108108109	2.2162162162162167	4.649981401161832	3.460566664045862e-5	0.0010996911843523518	9.471024554230782e-4	7425/1903/79957/2897/1392/6750/7432/3953/187/116/6863/8862/2564/5029/2740/2846/6866/5179/5368/53829/146/6869/1815/2834/1902/4142/5737/116444/5618/5031	30
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	13/348	101/9512	0.12871287128712872	3.5181518151815183	4.957752956427473	7.462708868958805e-5	0.0021343347365222185	0.0018381830266698534	1281/1278/51196/7042/1277/2335/3383/1958/7043/1282/4846/6347/7412	13
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	21/348	227/9512	0.09251101321585903	2.5286343612334803	4.542404074161796	8.510733589290256e-5	0.0022127907332154667	0.001905752784587483	1545/1646/1836/4792/4514/1950/1645/4508/4513/3082/4537/4509/4536/4535/4519/4512/4538/4539/1728/4540/4541	21
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	13/348	105/9512	0.12380952380952381	3.384126984126984	4.786947156419889	1.1190750822145872e-4	0.002667128945944766	0.0022970488529667843	54407/1281/1278/1295/5547/1277/81578/1293/1299/84570/1292/85301/1282	13
Environmental Information Processing	Signal transduction	hsa04350	TGF-beta signaling pathway	13/348	110/9512	0.11818181818181818	3.23030303030303	4.58469306747564	1.8027041598946494e-4	0.003965949151768229	0.003415649987168809	2331/1634/4052/2014/79875/654/7042/3399/652/3400/7043/4091/57817	13
Environmental Information Processing	Signal transduction	hsa04390	Hippo signaling pathway	16/348	157/9512	0.10191082802547771	2.785562632696391	4.396055750763794	1.968694677052172e-4	0.0040217619831208655	0.003463718454362468	654/7042/8463/25937/10413/26524/8324/56288/8321/652/1490/29119/7005/7043/7477/84962	16
