TF,Target,Tissue,mode
GATA2,NOS3,TC,0.457632068121291
FLI1,ERG,TC,0.745498979891455
SPI1,WAS,PG,0.935968465299511
SPI1,WAS,STG,6.90775527896776
SPI1,NCF4,PG,0.410368970376796
SP1,IGF1R,CB,0.339926045067255
ELF1,FLI1,STG,1.1293662186661
XBP1,HSPA5,HCN,0.98596423337194
MEF2C,CDKL5,IFG,6.90775527896776
MEF2C,CDKL5,PG,1.38811902762134
STAT3,TP53,PG,0.709211141971394
STAT3,TP53,TC,0.377708302467818
RELA,HDAC7,IFG,6.90775527896776
FOS,HSPA1A,STG,0.389054124695847
STAT3,MUC1,PG,0.517804865843362
BCL6,STAT3,DLPC,0.393243282033874
BCL6,STAT3,PG,0.711336020688276
RELA,NFKB2,IFG,6.90775527896776
RELA,NFKB2,PG,0.916287423094099
STAT3,IFITM3,TC,0.602995207707012
FLI1,LYL1,IFG,0.757628028230142
E2F1,TOP1,CB,-0.333746064929035
EPAS1,TEK,TC,0.51482213387384
GLI1,PTCH1,HCN,0.200262966528171
GLI1,PTCH1,PCC,0.47896786828259
ETS1,ERG,PG,0.726511126282435
CIITA,IRF1,PG,0.583358888225226
ETS1,TCN2,TC,0.589253300102803
CEBPB,XBP1,PG,0.137689099046352
IRF8,CYBB,PG,0.290641495506183
SPI1,TYROBP,STG,0.61879853926287
RELA,CSF1,IFG,6.90775527896776
RELA,CSF1,PG,1.04505512553164
SPI1,EBI3,PG,0.514971416981179
SPI1,EBI3,STG,0.831352307767482
NFKB2,RELA,PG,0.916287423094099
NFKB2,RELA,TC,0.865673571857288
ETS1,FLT1,PG,0.679010668336875
RELA,F8,PG,-0.396010700263287
PPARA,CPT1A,PG,0.755083544232632
CEBPD,GADD45G,TC,0.25747397413763
SPI1,CD40,PG,0.578745841449814
PGR,ABCG2,PG,0.342362774638357
NFE2L2,MTHFR,CB,-0.578202328318463
HDAC1,SP1,IFG,6.90775527896776
HDAC7,MAML1,IFG,6.90775527896776
HDAC7,MAML1,PG,1.07575416948714
XBP1,HSPA1A,HCN,0.281100979397247
SP1,NFKB1,CB,0.486018178011614
SP1,NFKB1,PG,0.35146206402057
IRF8,NCF2,PG,0.223178290086276
STAT3,BCL6,PG,0.711336020688276
