UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q9H9S0	O94907	79923	22943	NANOG	DKK1	chromatin immunoprecipitation assay;inferred by curator	19148141;29087512;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	-	-	Dr:Q9PWH3;Dr:F1RBK0;Mm:O54908	Rn:D3Z9J1
P37231	P10826	5468	5915	PPARG	RARB	chromatin immunoprecipitation assay;inferred by curator	17202159;12839938;29087512;27924024	Homo sapiens	GTRD;TRED;TRRUST	Yes	-	-	Mm:P22605;Rn:D3ZFD9	-
P10242	P08047	4602	6667	MYB	SP1	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:F1QP24;Rn:A0A0G2K2A4	Mm:A0A087WPA7	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0
P31269	Q02363	3205	3398	HOXA9	ID2	inferred by curator	29087512;20565746	Homo sapiens	TRRUST	Yes	Mm:P09631	Rn:D3ZSU5	Dr:Q7SZQ2;Mm:P41136;Rn:P41137	-
P03372	P17275	2099	3726	ESR1	JUNB	chromatin immunoprecipitation assay;inferred by curator	29126285;18971253;27924024;11477071;17202159;29087512	Homo sapiens	GTRD;PAZAR;ReMap;TRED;TRRUST	Yes	Mm:P19785	Rn:A0A0G2K0D4	Dr:A8E7N0;Mm:P09450;Rn:A0A0G2JSY8	-
P04637	P52429	7157	8526	TP53	DGKE	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Mm:P02340	Dr:B0R0M3;Rn:M0R497	Ce:H2KYI9;Dm:Q7K579;Mm:Q9R1C6;Rn:A0A096UWG9	Dr:A0A0R4IE50
P13631	P05412	5916	3725	RARG	JUN	inferred by curator	17202159	Homo sapiens	TRED	Yes	Dr:Q91392;Mm:P18911	Rn:D3ZF61	Dr:Q6NZT5;Mm:P05627;Rn:P17325	-
P18846	Q16288	466	4916	ATF1	NTRK3	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Dr:Q7T351;Mm:P81269;Rn:F7FD47	-	Mm:Q6VNS1;Rn:Q03351	Dr:F1QKJ0
O15105	P02452	4092	1277	SMAD7	COL1A1	inferred by curator	11279127;22761861	Homo sapiens	TFactS_via_DoRothea	Yes	Dr:Q8AWR7;Mm:O35253;Rn:A0A0G2JSQ5	-	-	-
P16415	P10145	55552	3576	ZNF823	CXCL8	inferred by curator	29087512;21593445	Homo sapiens	TRRUST	Yes	Mm:Q7TPX5	-	-	Dr:N0GW19
P25490	Q13492	7528	8301	YY1	PICALM	chromatin immunoprecipitation assay;inferred by curator	22951020;29126285;27924024;26578589	Homo sapiens	GTRD;ORegAnno;ReMap	Yes	Mm:Q00899;Rn:Q8CHJ4	-	Dr:F1QKW9;Mm:Q7M6Y3	Rn:A0A0G2JTT2
Q06413	Q92523	4208	1375	MEF2C	CPT1B	inferred by curator	15356291;29087512	Homo sapiens	TRRUST	Yes	-	Dr:E9QCL1;Dr:A2BGA7;Mm:A0A0H2UH28;Rn:A0A096MJY4	Mm:Q924X2	Rn:Q63704
P04150	Q99102	2908	4585	NR3C1	MUC4	chromatin immunoprecipitation assay;inferred by curator	29087512;11418607;27924024	Homo sapiens	GTRD;TRRUST	Yes	Dr:Q1XHK0	Mm:E9PYV1	-	-
P10275	P02647	367	335	AR	APOA1	inferred by curator	17202159	Homo sapiens	TRED	Yes	Mm:P19091;Rn:A0A0G2JSI8	-	Mm:Q00623;Rn:P04639	Dr:A0A0R4IKF0
Q7RTS3	P19835	256297	-	PTF1A	CEL	inferred by curator	11023822;29087512	Homo sapiens	TRRUST	Yes	Dr:Q7ZSX3;Mm:Q9QX98	Rn:Q64305	-	-
P10275	Q16666	367	3428	AR	IFI16	chromatin immunoprecipitation array;chromatin immunoprecipitation assay;inferred by curator	16494870;29126285;20610535;27924024;29087512;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRRUST	Yes	Mm:P19091;Rn:A0A0G2JSI8	-	-	-
P08047	P13866	6667	6523	SP1	SLC5A1	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	Mm:Q9QXI6;Rn:P53790	Dr:F1QBX6
Q04206	P25025	5970	3579	RELA	CXCR2	chromatin immunoprecipitation assay;inferred by curator	19156404;18555777;29087512;27924024	Homo sapiens	GTRD;TRRUST	Yes	Mm:Q04207;Rn:Q7TQN4	-	-	-
Q01196	P02776	861	5196	RUNX1	PF4	chromatin immunoprecipitation assay;inferred by curator	21129147;29126285;17150917;29087512;23848403	Homo sapiens	ReMap;TRRUST	Yes	-	Mm:Q3UM65;Rn:A0A0G2JYQ4	-	-
Q9NQB0	P36402	6934	6932	TCF7L2	TCF7	chromatin immunoprecipitation assay;inferred by curator	29126285;22761861;27924024;10489374;15473860	Homo sapiens	GTRD;ReMap;TFactS_via_DoRothea	Yes	Rn:D4A8X6	Dr:B3DKP7;Mm:E9QQ91	Rn:D3ZLD0	Dr:F8W4S5;Mm:A0A5K1VVQ7
Q92922	P12830	6599	999	SMARCC1	CDH1	chromatin immunoprecipitation assay;inferred by curator	27924024;24234451;24434208	Homo sapiens	GTRD;IntAct_via_DoRothEA	Yes	Mm:P97496;Rn:A0A0G2K9D6	Dr:F1Q9K1	-	-
Q01094	Q9UIJ7	1869	50808	E2F1	AK3	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17202159	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRED	Yes	Mm:Q61501;Rn:O09139	-	Ce:Q09629;Dr:F1R4S7;Mm:Q9WTP7;Rn:Q6P2A5	-
P01106	Q9NZJ7	4609	23787	MYC	MTCH1	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:F1RC36;Mm:P01108	-	Mm:Q791T5;Rn:B0BN30	-
